GeographyCode,KS210NI0001,KS210NI0002,KS210NI0003,KS210NI0004,KS210NI0005,KS210NI0006,KS210NI0007,KS210NI0008,KS210NI0009,KS210NI0010,KS210NI0011,KS210NI0012,KS210NI0013,KS210NI0014,KS210NI0015
N92000002,1735711,92040,10265,7801,16373,13725,140204,1595507,5.30,0.59,0.45,0.94,0.79,8.08,91.92
BHSCT,334560,12503,935,632,2397,2304,18771,315789,3.74,0.28,0.19,0.72,0.69,5.61,94.39
NHSCT,444578,39636,6026,4434,7118,5264,62478,382100,8.92,1.36,1.00,1.60,1.18,14.05,85.95
SEHSCT,333088,18498,1524,1317,2695,2760,26794,306294,5.55,0.46,0.40,0.81,0.83,8.04,91.96
SHSCT,341383,11698,911,802,2275,1915,17601,323782,3.43,0.27,0.23,0.67,0.56,5.16,94.84
WHSCT,282102,9705,869,616,1888,1482,14560,267542,3.44,0.31,0.22,0.67,0.53,5.16,94.84
BELB,269804,9272,739,499,1918,1753,14181,255623,3.44,0.27,0.18,0.71,0.65,5.26,94.74
NEELB,409258,38103,5913,4330,6863,5026,60235,349023,9.31,1.44,1.06,1.68,1.23,14.72,85.28
SEELB,397844,21729,1720,1450,3174,3311,31384,366460,5.46,0.43,0.36,0.80,0.83,7.89,92.11
SELB,376703,13231,1024,906,2530,2153,19844,356859,3.51,0.27,0.24,0.67,0.57,5.27,94.73
WELB,282102,9705,869,616,1888,1482,14560,267542,3.44,0.31,0.22,0.67,0.53,5.16,94.84
UKN01,269804,9272,739,499,1918,1753,14181,255623,3.44,0.27,0.18,0.71,0.65,5.26,94.74
UKN02,374966,19802,1462,1163,3210,3085,28722,346244,5.28,0.39,0.31,0.86,0.82,7.66,92.34
UKN03,420580,30379,3684,2996,4982,4234,46275,374305,7.22,0.88,0.71,1.18,1.01,11.00,89.00
UKN04,277050,19399,3308,2192,3777,2564,31240,245810,7.00,1.19,0.79,1.36,0.93,11.28,88.72
UKN05,393311,13188,1072,951,2486,2089,19786,373525,3.35,0.27,0.24,0.63,0.53,5.03,94.97
95AA,51042,3391,304,262,511,418,4886,46156,6.64,0.60,0.51,1.00,0.82,9.57,90.43
95BB,75313,6640,802,659,945,945,9991,65322,8.82,1.06,0.88,1.25,1.25,13.27,86.73
95CC,56792,2225,156,157,370,405,3313,53479,3.92,0.27,0.28,0.65,0.71,5.83,94.17
95DD,61601,8542,1365,1131,1458,1146,13642,47959,13.87,2.22,1.84,2.37,1.86,22.15,77.85
95EE,29937,4959,1384,851,1054,563,8811,21126,16.56,4.62,2.84,3.52,1.88,29.43,70.57
95FF,46112,2439,181,192,424,389,3625,42487,5.29,0.39,0.42,0.92,0.84,7.86,92.14
95GG,269804,9272,739,499,1918,1753,14181,255623,3.44,0.27,0.18,0.71,0.65,5.26,94.74
95HH,37739,2387,206,148,413,389,3543,34196,6.33,0.55,0.39,1.09,1.03,9.39,90.61
95II,64756,3231,196,133,479,551,4590,60166,4.99,0.30,0.21,0.74,0.85,7.09,92.91
95JJ,56990,6001,769,583,878,847,9078,47912,10.53,1.35,1.02,1.54,1.49,15.93,84.07
95KK,35320,1533,113,104,255,238,2243,33077,4.34,0.32,0.29,0.72,0.67,6.35,93.65
95LL,88565,2981,229,160,626,513,4509,84056,3.37,0.26,0.18,0.71,0.58,5.09,94.91
95MM,103341,3098,232,184,656,465,4635,98706,3.00,0.22,0.18,0.63,0.45,4.49,95.51
95NN,66882,2552,174,171,367,394,3658,63224,3.82,0.26,0.26,0.55,0.59,5.47,94.53
95OO,55075,1755,131,117,356,290,2649,52426,3.19,0.24,0.21,0.65,0.53,4.81,95.19
95PP,59282,1544,130,99,289,311,2373,56909,2.60,0.22,0.17,0.49,0.52,4.00,96.00
95QQ,31065,3834,629,421,651,429,5964,25101,12.34,2.02,1.36,2.10,1.38,19.20,80.80
95RR,32150,1656,191,119,312,241,2519,29631,5.15,0.59,0.37,0.97,0.75,7.84,92.16
95SS,114825,5028,305,237,771,734,7075,107750,4.38,0.27,0.21,0.67,0.64,6.16,93.84
95TT,42883,2155,190,214,447,295,3301,39582,5.03,0.44,0.50,1.04,0.69,7.70,92.30
95UU,16423,1956,554,325,516,215,3566,12857,11.91,3.37,1.98,3.14,1.31,21.71,78.29
95VV,94839,2298,214,176,499,318,3505,91334,2.42,0.23,0.19,0.53,0.34,3.70,96.30
95WW,81578,4878,512,395,935,724,7444,74134,5.98,0.63,0.48,1.15,0.89,9.13,90.87
95XX,76068,4278,243,250,612,687,6070,69998,5.62,0.32,0.33,0.80,0.90,7.98,92.02
95YY,49120,1678,138,84,270,232,2402,46718,3.42,0.28,0.17,0.55,0.47,4.89,95.11
95ZZ,38209,1729,178,130,361,233,2631,35578,4.53,0.47,0.34,0.94,0.61,6.89,93.11
