GeographyCode,KS401NI0001,KS401NI0002,KS401NI0003,KS401NI0004,KS401NI0005,KS401NI0006,KS401NI0007,KS401NI0008,KS401NI0009,KS401NI0010,KS401NI0011,KS401NI0012,KS401NI0013,KS401NI0014,KS401NI0015,KS401NI0016,KS401NI0017,KS401NI0018,KS401NI0019,KS401NI0020
N92000002,748048,747968,80,748235,703275,44960,277132,207904,187678,64518,7399,2492,1112,37.04,27.79,25.08,8.62,0.99,0.33,0.15
BHSCT,158435,158394,41,158510,148328,10182,21390,47360,60036,25427,3814,456,27,13.49,29.88,37.88,16.04,2.41,0.29,0.02
NHSCT,190156,190148,8,190168,177914,12254,82654,50414,40575,14613,1007,627,278,43.46,26.51,21.34,7.68,0.53,0.33,0.15
SEHSCT,144905,144892,13,144942,136698,8244,57093,41084,32948,12104,1030,438,245,39.39,28.35,22.73,8.35,0.71,0.30,0.17
SHSCT,138904,138900,4,138913,131129,7784,64204,38513,28660,5915,725,485,411,46.22,27.72,20.63,4.26,0.52,0.35,0.30
WHSCT,115648,115634,14,115702,109206,6496,51791,30533,25459,6459,823,486,151,44.76,26.39,22.00,5.58,0.71,0.42,0.13
BELB,129688,129648,40,129761,120595,9166,13822,35840,54087,21839,3732,420,21,10.65,27.62,41.68,16.83,2.88,0.32,0.02
NEELB,176499,176492,7,176510,165010,11500,74761,47406,38328,14248,963,577,227,42.36,26.86,21.71,8.07,0.55,0.33,0.13
SEELB,173652,173638,14,173691,164431,9260,64661,52604,38897,15692,1112,474,251,37.23,30.29,22.39,9.03,0.64,0.27,0.14
SELB,152561,152556,5,152571,144033,8538,72097,41521,30907,6280,769,535,462,47.25,27.21,20.26,4.12,0.50,0.35,0.30
WELB,115648,115634,14,115702,109206,6496,51791,30533,25459,6459,823,486,151,44.76,26.39,22.00,5.58,0.71,0.42,0.13
UKN01,129688,129648,40,129761,120595,9166,13822,35840,54087,21839,3732,420,21,10.65,27.62,41.68,16.83,2.88,0.32,0.02
UKN02,163937,163926,11,163971,156882,7089,54520,52392,37648,18018,912,327,154,33.25,31.95,22.96,10.99,0.56,0.20,0.09
UKN03,180446,180437,9,180459,170132,10327,76703,46109,44830,10913,963,595,346,42.50,25.55,24.84,6.05,0.53,0.33,0.19
UKN04,118271,118256,15,118324,109318,9006,47115,34543,26762,8279,1023,487,115,39.82,29.19,22.62,7.00,0.86,0.41,0.10
UKN05,155706,155701,5,155720,146348,9372,84972,39020,24351,5469,769,663,476,54.57,25.06,15.64,3.51,0.49,0.43,0.31
