GeographyCode,KS403NI0001,KS403NI0002,KS403NI0003,KS403NI0004,KS403NI0005,KS403NI0006,KS403NI0007,KS403NI0008,KS403NI0009,KS403NI0010,KS403NI0011,KS403NI0012,KS403NI0013,KS403NI0014,KS403NI0015,KS403NI0016,KS403NI0017,KS403NI0018
N92000002,703275,196414,212286,117920,103137,49370,18209,3919,2020,2.54,27.93,30.19,16.77,14.67,7.02,2.59,0.56,0.29
BHSCT,148328,50611,45387,23640,17941,7377,2517,553,302,2.31,34.12,30.60,15.94,12.10,4.97,1.70,0.37,0.20
NHSCT,177914,46858,55248,30174,27012,12774,4432,928,488,2.57,26.34,31.05,16.96,15.18,7.18,2.49,0.52,0.27
SEHSCT,136698,36574,44255,23269,20450,8666,2640,580,264,2.50,26.76,32.37,17.02,14.96,6.34,1.93,0.42,0.19
SHSCT,131129,32965,37040,22440,20828,11558,4801,1015,482,2.71,25.14,28.25,17.11,15.88,8.81,3.66,0.77,0.37
WHSCT,109206,29406,30356,18397,16906,8995,3819,843,484,2.66,26.93,27.80,16.85,15.48,8.24,3.50,0.77,0.44
BELB,120595,42401,36385,19166,13886,5896,2120,479,262,2.29,35.16,30.17,15.89,11.51,4.89,1.76,0.40,0.22
NEELB,165010,43835,51762,28079,24874,11395,3844,796,425,2.55,26.57,31.37,17.02,15.07,6.91,2.33,0.48,0.26
SEELB,164431,44784,53257,27743,24505,10147,3037,654,304,2.49,27.24,32.39,16.87,14.90,6.17,1.85,0.40,0.18
SELB,144033,35988,40526,24535,22966,12937,5389,1147,545,2.72,24.99,28.14,17.03,15.94,8.98,3.74,0.80,0.38
WELB,109206,29406,30356,18397,16906,8995,3819,843,484,2.66,26.93,27.80,16.85,15.48,8.24,3.50,0.77,0.44
UKN01,120595,42401,36385,19166,13886,5896,2120,479,262,2.29,35.16,30.17,15.89,11.51,4.89,1.76,0.40,0.22
UKN02,156882,43525,51209,26741,23182,8981,2461,545,238,2.45,27.74,32.64,17.05,14.78,5.72,1.57,0.35,0.15
UKN03,170132,44655,53121,29312,26165,11921,3821,751,386,2.55,26.25,31.22,17.23,15.38,7.01,2.25,0.44,0.23
UKN04,109318,29564,32001,18607,16471,8340,3248,702,385,2.60,27.04,29.27,17.02,15.07,7.63,2.97,0.64,0.35
UKN05,146348,36269,39570,24094,23433,14232,6559,1442,749,2.79,24.78,27.04,16.46,16.01,9.72,4.48,0.99,0.51
95AA,20064,5093,5960,3555,3282,1542,470,114,48,2.62,25.38,29.70,17.72,16.36,7.69,2.34,0.57,0.24
95BB,31514,8310,10811,5258,4708,1804,500,84,39,2.46,26.37,34.31,16.68,14.94,5.72,1.59,0.27,0.12
95CC,21594,5464,6080,3655,3368,1971,813,162,81,2.72,25.30,28.16,16.93,15.60,9.13,3.76,0.75,0.38
95DD,24817,6381,7927,4335,3726,1717,558,105,68,2.55,25.71,31.94,17.47,15.01,6.92,2.25,0.42,0.27
95EE,11508,2741,3451,1978,1879,964,377,75,43,2.70,23.82,29.99,17.19,16.33,8.38,3.28,0.65,0.37
95FF,18303,4613,5539,3067,3055,1433,469,86,41,2.62,25.20,30.26,16.76,16.69,7.83,2.56,0.47,0.22
95GG,120595,42401,36385,19166,13886,5896,2120,479,262,2.29,35.16,30.17,15.89,11.51,4.89,1.76,0.40,0.22
95HH,16200,4674,5293,2808,2353,815,203,43,11,2.39,28.85,32.67,17.33,14.52,5.03,1.25,0.27,0.07
95II,27733,8210,9002,4474,4055,1481,397,74,40,2.40,29.60,32.46,16.13,14.62,5.34,1.43,0.27,0.14
95JJ,23508,6715,7651,3819,3193,1500,481,96,53,2.46,28.56,32.55,16.25,13.58,6.38,2.05,0.41,0.23
95KK,12904,3023,3486,2095,2138,1379,588,132,63,2.84,23.43,27.01,16.24,16.57,10.69,4.56,1.02,0.49
95LL,35931,9528,10740,6389,5561,2593,870,165,85,2.57,26.52,29.89,17.78,15.48,7.22,2.42,0.46,0.24
95MM,40779,11366,11364,7079,6130,3129,1239,304,168,2.61,27.87,27.87,17.36,15.03,7.67,3.04,0.75,0.41
95NN,26206,6888,7708,4477,4038,2106,752,155,82,2.62,26.28,29.41,17.08,15.41,8.04,2.87,0.59,0.31
95OO,20270,4856,5341,3424,3321,2053,977,211,87,2.83,23.96,26.35,16.89,16.38,10.13,4.82,1.04,0.43
95PP,23069,6356,6549,3696,3489,1842,825,178,134,2.65,27.55,28.39,16.02,15.12,7.98,3.58,0.77,0.58
95QQ,13297,3842,4436,2231,1795,726,202,42,23,2.40,28.89,33.36,16.78,13.50,5.46,1.52,0.32,0.17
95RR,12098,2811,3562,2219,2003,975,398,89,41,2.72,23.24,29.44,18.34,16.56,8.06,3.29,0.74,0.34
95SS,45723,11384,14276,8238,7256,3140,1046,271,112,2.59,24.90,31.22,18.02,15.87,6.87,2.29,0.59,0.24
95TT,15037,3174,3933,2420,2664,1685,857,196,108,2.98,21.11,26.16,16.09,17.72,11.21,5.70,1.30,0.72
95UU,6608,1950,1933,1008,912,517,223,38,27,2.56,29.51,29.25,15.25,13.80,7.82,3.37,0.58,0.41
