ColumnVariableCode,ColumnVariableMeasurementUnit,ColumnVariableStatisticalUnit,ColumnVariableDescription
"KS203NI0001","Count","PERSONS","All usual residents"
"KS203NI0002","Count","PERSONS","National Identity: British"
"KS203NI0003","Count","PERSONS","National Identity: Irish"
"KS203NI0004","Count","PERSONS","National Identity: Northern Irish"
"KS203NI0005","Count","PERSONS","National Identity: English"
"KS203NI0006","Count","PERSONS","National Identity: Scottish"
"KS203NI0007","Count","PERSONS","National Identity: Welsh"
"KS203NI0008","Count","PERSONS","National Identity: Other"
"KS203NI0009","Percentage","PERSONS","National Identity: British"
"KS203NI0010","Percentage","PERSONS","National Identity: Irish"
"KS203NI0011","Percentage","PERSONS","National Identity: Northern Irish"
"KS203NI0012","Percentage","PERSONS","National Identity: English"
"KS203NI0013","Percentage","PERSONS","National Identity: Scottish"
"KS203NI0014","Percentage","PERSONS","National Identity: Welsh"
"KS203NI0015","Percentage","PERSONS","National Identity: Other"
