GeographyCode,KS207NI0001,KS207NI0002,KS207NI0003,KS207NI0004,KS207NI0005,KS207NI0006,KS207NI0007,KS207NI0008,KS207NI0009,KS207NI0010,KS207NI0011,KS207NI0012,KS207NI0013,KS207NI0014,KS207NI0015,KS207NI0016,KS207NI0017,KS207NI0018,KS207NI0019,KS207NI0020,KS207NI0021,KS207NI0022,KS207NI0023,KS207NI0024,KS207NI0025,KS207NI0026,KS207NI0027
N00000001,1003,976,0,4,1,0,0,0,0,0,1,0,0,21,97.31,0,0.40,0.10,0,0,0,0,0,0.10,0,0,2.09
N00000002,332,321,9,0,1,0,0,0,0,0,0,0,0,1,96.69,2.71,0,0.30,0,0,0,0,0,0,0,0,0.30
N00000003,236,233,1,0,0,0,0,0,0,0,0,0,0,2,98.73,0.42,0,0,0,0,0,0,0,0,0,0,0.85
N00000004,595,592,1,0,0,0,0,0,0,0,0,0,0,2,99.50,0.17,0,0,0,0,0,0,0,0,0,0,0.34
N00000005,359,356,0,0,3,0,0,0,0,0,0,0,0,0,99.16,0,0,0.84,0,0,0,0,0,0,0,0,0
N00000006,242,240,0,2,0,0,0,0,0,0,0,0,0,0,99.17,0,0.83,0,0,0,0,0,0,0,0,0,0
N00000007,238,230,0,0,0,0,0,0,0,0,0,0,4,4,96.64,0,0,0,0,0,0,0,0,0,0,1.68,1.68
N00000008,277,261,6,3,0,0,0,0,0,0,0,0,3,4,94.22,2.17,1.08,0,0,0,0,0,0,0,0,1.08,1.44
N00000009,688,669,9,0,0,1,1,0,0,0,0,0,3,5,97.24,1.31,0,0,0.15,0.15,0,0,0,0,0,0.44,0.73
N00000010,232,228,0,1,0,0,1,0,0,0,1,0,0,1,98.28,0,0.43,0,0,0.43,0,0,0,0.43,0,0,0.43
N00000011,284,274,5,0,0,0,0,0,0,0,0,0,0,5,96.48,1.76,0,0,0,0,0,0,0,0,0,0,1.76
N00000012,259,252,2,0,0,0,2,0,0,0,0,0,0,3,97.30,0.77,0,0,0,0.77,0,0,0,0,0,0,1.16
N00000013,257,247,4,1,0,0,3,0,0,0,0,0,0,2,96.11,1.56,0.39,0,0,1.17,0,0,0,0,0,0,0.78
N00000014,444,423,12,0,0,0,3,0,0,0,0,0,5,1,95.27,2.70,0,0,0,0.68,0,0,0,0,0,1.13,0.23
N00000015,222,220,0,0,0,0,0,0,1,0,0,0,0,1,99.10,0,0,0,0,0,0,0.45,0,0,0,0,0.45
N00000016,217,203,2,2,0,0,5,2,0,0,0,0,3,0,93.55,0.92,0.92,0,0,2.30,0.92,0,0,0,0,1.38,0
N00000017,319,314,2,0,0,0,0,0,0,0,0,0,1,2,98.43,0.63,0,0,0,0,0,0,0,0,0,0.31,0.63
N00000018,215,208,2,1,0,0,0,0,1,0,0,0,2,1,96.74,0.93,0.47,0,0,0,0,0.47,0,0,0,0.93,0.47
N00000019,250,244,3,0,0,0,0,0,0,0,0,0,1,2,97.60,1.20,0,0,0,0,0,0,0,0,0,0.40,0.80
N00000020,221,219,2,0,0,0,0,0,0,0,0,0,0,0,99.10,0.90,0,0,0,0,0,0,0,0,0,0,0
N00000021,261,258,0,0,0,0,2,0,0,0,0,0,0,1,98.85,0,0,0,0,0.77,0,0,0,0,0,0,0.38
N00000022,260,250,6,1,0,0,0,0,1,0,0,0,0,2,96.15,2.31,0.38,0,0,0,0,0.38,0,0,0,0,0.77
N00000023,210,206,3,0,0,0,0,0,0,0,0,0,0,1,98.10,1.43,0,0,0,0,0,0,0,0,0,0,0.48
N00000024,520,519,0,0,0,0,0,0,0,0,0,0,0,1,99.81,0,0,0,0,0,0,0,0,0,0,0,0.19
N00000025,454,454,0,0,0,0,0,0,0,0,0,0,0,0,100.00,0,0,0,0,0,0,0,0,0,0,0,0
N00000026,448,448,0,0,0,0,0,0,0,0,0,0,0,0,100.00,0,0,0,0,0,0,0,0,0,0,0,0
N00000027,508,500,0,0,0,0,2,0,0,0,4,0,0,2,98.43,0,0,0,0,0.39,0,0,0,0.79,0,0,0.39
N00000028,233,233,0,0,0,0,0,0,0,0,0,0,0,0,100.00,0,0,0,0,0,0,0,0,0,0,0,0
N00000029,395,392,0,0,0,0,0,1,0,0,0,0,0,2,99.24,0,0,0,0,0,0.25,0,0,0,0,0,0.51
N00000030,364,360,0,0,0,0,4,0,0,0,0,0,0,0,98.90,0,0,0,0,1.10,0,0,0,0,0,0,0
N00000031,680,675,0,0,3,0,0,0,0,0,0,0,0,2,99.26,0,0,0.44,0,0,0,0,0,0,0,0,0.29
N00000032,371,369,0,0,0,0,0,0,0,0,0,0,0,2,99.46,0,0,0,0,0,0,0,0,0,0,0,0.54
N00000033,478,474,0,0,2,0,2,0,0,0,0,0,0,0,99.16,0,0,0.42,0,0.42,0,0,0,0,0,0,0
N00000034,452,440,4,3,0,0,0,0,0,0,3,0,0,2,97.35,0.88,0.66,0,0,0,0,0,0,0.66,0,0,0.44
N00000035,278,258,0,9,0,4,0,0,0,0,0,0,0,7,92.81,0,3.24,0,1.44,0,0,0,0,0,0,0,2.52
N00000036,327,321,0,0,0,0,0,0,3,0,0,0,0,3,98.17,0,0,0,0,0,0,0.92,0,0,0,0,0.92
