GeographyCode,KS208NI0001,KS208NI0002,KS208NI0003,KS208NI0004,KS208NI0005,KS208NI0006,KS208NI0007,KS208NI0008,KS208NI0009
N00000001,310,293,10,0,7,94.52,3.23,0,2.26
N00000002,141,137,1,0,3,97.16,0.71,0,2.13
N00000003,78,75,3,0,0,96.15,3.85,0,0
N00000004,195,192,3,0,0,98.46,1.54,0,0
N00000005,124,123,1,0,0,99.19,0.81,0,0
N00000006,86,85,1,0,0,98.84,1.16,0,0
N00000007,89,86,0,0,3,96.63,0,0,3.37
N00000008,138,130,1,0,7,94.20,0.72,0,5.07
N00000009,275,268,0,0,7,97.45,0,0,2.55
N00000010,86,85,0,0,1,98.84,0,0,1.16
N00000011,136,131,1,0,4,96.32,0.74,0,2.94
N00000012,121,116,1,0,4,95.87,0.83,0,3.31
N00000013,136,128,2,0,6,94.12,1.47,0,4.41
N00000014,205,198,2,0,5,96.59,0.98,0,2.44
N00000015,119,117,1,0,1,98.32,0.84,0,0.84
N00000016,122,117,2,0,3,95.90,1.64,0,2.46
N00000017,144,140,3,0,1,97.22,2.08,0,0.69
N00000018,94,90,2,0,2,95.74,2.13,0,2.13
N00000019,116,113,1,0,2,97.41,0.86,0,1.72
N00000020,122,121,0,0,1,99.18,0,0,0.82
N00000021,128,126,0,0,2,98.44,0,0,1.56
N00000022,126,121,2,0,3,96.03,1.59,0,2.38
N00000023,115,112,0,0,3,97.39,0,0,2.61
N00000024,174,173,1,0,0,99.43,0.57,0,0
N00000025,159,159,0,0,0,100.00,0,0,0
N00000026,151,151,0,0,0,100.00,0,0,0
N00000027,178,174,3,0,1,97.75,1.69,0,0.56
N00000028,85,85,0,0,0,100.00,0,0,0
N00000029,136,134,2,0,0,98.53,1.47,0,0
N00000030,131,130,0,0,1,99.24,0,0,0.76
N00000031,201,198,2,0,1,98.51,1.00,0,0.50
N00000032,133,131,2,0,0,98.50,1.50,0,0
N00000033,166,163,2,0,1,98.19,1.20,0,0.60
N00000034,158,155,0,0,3,98.10,0,0,1.90
N00000035,128,121,0,0,7,94.53,0,0,5.47
N00000036,134,131,2,0,1,97.76,1.49,0,0.75
N00000037,124,123,0,0,1,99.19,0,0,0.81
N00000038,138,135,1,0,2,97.83,0.72,0,1.45
N00000039,448,438,7,1,2,97.77,1.56,0.22,0.45
N00000040,114,112,0,0,2,98.25,0,0,1.75
N00000041,144,139,2,0,3,96.53,1.39,0,2.08
N00000042,126,125,1,0,0,99.21,0.79,0,0
N00000043,368,355,7,0,6,96.47,1.90,0,1.63
N00000044,108,107,0,0,1,99.07,0,0,0.93
N00000045,170,169,0,0,1,99.41,0,0,0.59
N00000046,129,128,1,0,0,99.22,0.78,0,0
N00000047,138,136,2,0,0,98.55,1.45,0,0
N00000048,125,116,1,0,8,92.80,0.80,0,6.40
N00000049,123,115,3,0,5,93.50,2.44,0,4.07
N00000050,135,134,0,0,1,99.26,0,0,0.74
N00000051,124,119,1,1,3,95.97,0.81,0.81,2.42
N00000052,120,117,0,0,3,97.50,0,0,2.50
N00000053,108,95,4,0,9,87.96,3.70,0,8.33
N00000054,111,109,1,0,1,98.20,0.90,0,0.90
N00000055,117,114,1,0,2,97.44,0.85,0,1.71
N00000056,119,113,1,0,5,94.96,0.84,0,4.20
N00000057,118,112,3,0,3,94.92,2.54,0,2.54
N00000058,121,110,3,2,6,90.91,2.48,1.65,4.96
N00000059,110,107,0,1,2,97.27,0,0.91,1.82
N00000060,180,171,2,3,4,95.00,1.11,1.67,2.22
N00000061,129,128,0,0,1,99.22,0,0,0.78
N00000062,130,126,1,0,3,96.92,0.77,0,2.31
N00000063,155,145,6,1,3,93.55,3.87,0.65,1.94
N00000064,133,126,2,0,5,94.74,1.50,0,3.76
