GeographyCode,KS211NI0001,KS211NI0002,KS211NI0003,KS211NI0004,KS211NI0005,KS211NI0006,KS211NI0007,KS211NI0008,KS211NI0009,KS211NI0010,KS211NI0011,KS211NI0012,KS211NI0013,KS211NI0014,KS211NI0015,KS211NI0016,KS211NI0017
N00000001,1113,141,72,53,12,321,23,482,9,12.67,6.47,4.76,1.08,28.84,2.07,43.31,0.81
N00000002,351,219,36,33,4,7,3,23,26,62.39,10.26,9.40,1.14,1.99,0.85,6.55,7.41
N00000003,237,109,38,25,18,26,0,15,6,45.99,16.03,10.55,7.59,10.97,0,6.33,2.53
N00000004,616,296,92,103,21,20,0,63,21,48.05,14.94,16.72,3.41,3.25,0,10.23,3.41
N00000005,374,171,85,30,4,15,0,50,19,45.72,22.73,8.02,1.07,4.01,0,13.37,5.08
N00000006,251,144,39,28,3,8,4,19,6,57.37,15.54,11.16,1.20,3.19,1.59,7.57,2.39
N00000007,245,55,69,52,5,10,0,38,16,22.45,28.16,21.22,2.04,4.08,0,15.51,6.53
N00000008,288,76,70,32,5,22,2,60,21,26.39,24.31,11.11,1.74,7.64,0.69,20.83,7.29
N00000009,727,121,296,68,8,70,11,111,42,16.64,40.72,9.35,1.10,9.63,1.51,15.27,5.78
N00000010,242,24,124,17,2,28,0,26,21,9.92,51.24,7.02,0.83,11.57,0,10.74,8.68
N00000011,293,78,84,60,1,15,3,25,27,26.62,28.67,20.48,0.34,5.12,1.02,8.53,9.22
N00000012,264,76,78,58,2,6,2,24,18,28.79,29.55,21.97,0.76,2.27,0.76,9.09,6.82
N00000013,268,78,59,57,4,11,0,36,23,29.10,22.01,21.27,1.49,4.10,0,13.43,8.58
N00000014,460,158,109,73,9,9,1,66,35,34.35,23.70,15.87,1.96,1.96,0.22,14.35,7.61
N00000015,226,69,70,45,2,4,0,24,12,30.53,30.97,19.91,0.88,1.77,0,10.62,5.31
N00000016,223,45,61,55,2,14,0,29,17,20.18,27.35,24.66,0.90,6.28,0,13.00,7.62
N00000017,340,33,123,69,9,28,3,57,18,9.71,36.18,20.29,2.65,8.24,0.88,16.76,5.29
N00000018,229,24,80,48,8,16,2,32,19,10.48,34.93,20.96,3.49,6.99,0.87,13.97,8.30
N00000019,261,4,86,90,3,10,8,40,20,1.53,32.95,34.48,1.15,3.83,3.07,15.33,7.66
