GeographyCode,KS603NI0001,KS603NI0002,KS603NI0003,KS603NI0004,KS603NI0005,KS603NI0006,KS603NI0007,KS603NI0008,KS603NI0009,KS603NI0010,KS603NI0011,KS603NI0012,KS603NI0013,KS603NI0014,KS603NI0015,KS603NI0016,KS603NI0017,KS603NI0018,KS603NI0019,KS603NI0020,KS603NI0021,KS603NI0022,KS603NI0023,KS603NI0024,KS603NI0025,KS603NI0026,KS603NI0027,KS603NI0028,KS603NI0029,KS603NI0030,KS603NI0031
N00000001,317,70,97,10,31,3,1,10,83,2,10,56,8,0,2,9,22.08,30.60,3.15,9.78,0.95,0.32,3.15,26.18,0.63,3.15,17.67,25.81,0,6.45,29.03
N00000002,123,27,46,3,4,2,20,4,5,6,6,21,0,0,0,2,21.95,37.40,2.44,3.25,1.63,16.26,3.25,4.07,4.88,4.88,17.07,0,0,0,50.00
N00000003,84,20,27,8,0,1,14,6,2,5,1,14,0,0,0,0,23.81,32.14,9.52,0,1.19,16.67,7.14,2.38,5.95,1.19,16.67,0,0,0,0
N00000004,218,45,61,19,6,12,32,14,18,8,3,51,2,1,1,5,20.64,27.98,8.72,2.75,5.50,14.68,6.42,8.26,3.67,1.38,23.39,33.33,16.67,16.67,83.33
N00000005,131,24,56,9,0,7,19,3,3,9,1,22,0,0,0,0,18.32,42.75,6.87,0,5.34,14.50,2.29,2.29,6.87,0.76,16.79,0,0,0,0
N00000006,87,25,29,5,3,7,5,0,7,6,0,22,0,1,0,1,28.74,33.33,5.75,3.45,8.05,5.75,0,8.05,6.90,0,25.29,0,33.33,0,33.33
N00000007,83,16,36,3,2,3,12,3,7,1,0,17,1,0,1,1,19.28,43.37,3.61,2.41,3.61,14.46,3.61,8.43,1.20,0,20.48,50.00,0,50.00,50.00
N00000008,110,15,45,9,6,4,17,6,5,3,0,25,3,0,1,2,13.64,40.91,8.18,5.45,3.64,15.45,5.45,4.55,2.73,0,22.73,50.00,0,16.67,33.33
N00000009,271,60,107,23,5,9,31,9,16,6,5,65,1,1,1,3,22.14,39.48,8.49,1.85,3.32,11.44,3.32,5.90,2.21,1.85,23.99,20.00,20.00,20.00,60.00
N00000010,87,18,23,6,2,4,20,4,7,3,0,20,0,0,0,1,20.69,26.44,6.90,2.30,4.60,22.99,4.60,8.05,3.45,0,22.99,0,0,0,50.00
N00000011,113,28,31,3,0,4,24,5,5,9,4,13,0,0,0,0,24.78,27.43,2.65,0,3.54,21.24,4.42,4.42,7.96,3.54,11.50,0,0,0,0
