GeographyCode,KS702NI0001,KS702NI0002,KS702NI0003,KS702NI0004,KS702NI0005,KS702NI0006,KS702NI0007,KS702NI0008,KS702NI0009,KS702NI0010,KS702NI0011,KS702NI0012,KS702NI0013,KS702NI0014,KS702NI0015,KS702NI0016,KS702NI0017,KS702NI0018,KS702NI0019,KS702NI0020,KS702NI0021,KS702NI0022,KS702NI0023,KS702NI0024,KS702NI0025,KS702NI0026,KS702NI0027,KS702NI0028,KS702NI0029
N00000001,786,103,1,148,4,178,39,50,3,78,175,7,617,140,44,8,13.10,0.13,18.83,0.51,22.65,4.96,6.36,0.38,9.92,22.26,0.89,22.69,18.18
N00000002,234,29,1,20,0,103,39,22,2,1,15,2,225,17,9,4,12.39,0.43,8.55,0,44.02,16.67,9.40,0.85,0.43,6.41,0.85,7.56,44.44
N00000003,180,23,0,30,0,81,36,4,0,0,4,2,170,26,7,4,12.78,0,16.67,0,45.00,20.00,2.22,0,0,2.22,1.11,15.29,57.14
N00000004,455,73,1,78,1,182,73,24,4,0,14,5,441,78,14,1,16.04,0.22,17.14,0.22,40.00,16.04,5.27,0.88,0,3.08,1.10,17.69,7.14
N00000005,286,41,3,27,0,138,41,20,1,2,12,1,280,30,6,0,14.34,1.05,9.44,0,48.25,14.34,6.99,0.35,0.70,4.20,0.35,10.71,0
N00000006,176,28,3,26,0,89,20,7,2,1,0,0,170,27,6,2,15.91,1.70,14.77,0,50.57,11.36,3.98,1.14,0.57,0,0,15.88,33.33
N00000007,175,30,2,20,0,76,26,9,1,2,9,0,175,22,0,0,17.14,1.14,11.43,0,43.43,14.86,5.14,0.57,1.14,5.14,0,12.57,0
N00000008,200,25,1,18,4,102,24,17,1,2,5,1,184,16,16,3,12.50,0.50,9.00,2.00,51.00,12.00,8.50,0.50,1.00,2.50,0.50,8.70,18.75
N00000009,524,67,2,34,2,264,83,48,3,3,13,5,514,35,10,1,12.79,0.38,6.49,0.38,50.38,15.84,9.16,0.57,0.57,2.48,0.95,6.81,10.00
N00000010,156,23,0,22,0,67,21,12,1,2,6,2,148,19,1,1,14.74,0,14.10,0,42.95,13.46,7.69,0.64,1.28,3.85,1.28,12.84,100.00
N00000011,160,7,6,12,1,66,23,13,6,3,22,1,140,15,20,3,4.38,3.75,7.50,0.63,41.25,14.38,8.13,3.75,1.88,13.75,0.63,10.71,15.00
N00000012,168,19,2,14,0,64,29,13,5,5,15,2,139,13,29,3,11.31,1.19,8.33,0,38.10,17.26,7.74,2.98,2.98,8.93,1.19,9.35,10.34
