ColumnVariableCode,ColumnVariableMeasurementUnit,ColumnVariableStatisticalUnit,ColumnVariableDescription
"KS102NI0001","Count","PERSONS","All usual residents"
"KS102NI0002","Count","PERSONS","Age 0-4 years"
"KS102NI0003","Count","PERSONS","Age 5-7 years"
"KS102NI0004","Count","PERSONS","Age 8-9 years"
"KS102NI0005","Count","PERSONS","Age 10-14 years"
"KS102NI0006","Count","PERSONS","Age 15 years"
"KS102NI0007","Count","PERSONS","Age 16-17 years"
"KS102NI0008","Count","PERSONS","Age 18-19 years"
"KS102NI0009","Count","PERSONS","Age 20-24 years"
"KS102NI0010","Count","PERSONS","Age 25-29 years"
"KS102NI0011","Count","PERSONS","Age 30-44 years"
"KS102NI0012","Count","PERSONS","Age 45-59 years"
"KS102NI0013","Count","PERSONS","Age 60-64 years"
"KS102NI0014","Count","PERSONS","Age 65-74 years"
"KS102NI0015","Count","PERSONS","Age 75-84 years"
"KS102NI0016","Count","PERSONS","Age 85-89 years"
"KS102NI0017","Count","PERSONS","Age 90+ years"
"KS102NI0018","Count","MEAN AGE","Mean age of population"
"KS102NI0019","Count","MEDIAN AGE","Median age of population"
"KS102NI0020","Percentage","PERSONS","Age 0-4 years"
"KS102NI0021","Percentage","PERSONS","Age 5-7 years"
"KS102NI0022","Percentage","PERSONS","Age 8-9 years"
"KS102NI0023","Percentage","PERSONS","Age 10-14 years"
"KS102NI0024","Percentage","PERSONS","Age 15 years"
"KS102NI0025","Percentage","PERSONS","Age 16-17 years"
"KS102NI0026","Percentage","PERSONS","Age 18-19 years"
"KS102NI0027","Percentage","PERSONS","Age 20-24 years"
"KS102NI0028","Percentage","PERSONS","Age 25-29 years"
"KS102NI0029","Percentage","PERSONS","Age 30-44 years"
"KS102NI0030","Percentage","PERSONS","Age 45-59 years"
"KS102NI0031","Percentage","PERSONS","Age 60-64 years"
"KS102NI0032","Percentage","PERSONS","Age 65-74 years"
"KS102NI0033","Percentage","PERSONS","Age 75-84 years"
"KS102NI0034","Percentage","PERSONS","Age 85-89 years"
"KS102NI0035","Percentage","PERSONS","Age 90+ years"
