GeographyCode,KS204NI0001,KS204NI0002,KS204NI0003,KS204NI0004,KS204NI0005,KS204NI0006,KS204NI0007,KS204NI0008,KS204NI0009,KS204NI0010,KS204NI0011,KS204NI0012,KS204NI0013,KS204NI0014,KS204NI0015,KS204NI0016,KS204NI0017
95AA01S1,1113,269,586,78,30,5,56,3,86,24.17,52.65,7.01,2.70,0.45,5.03,0.27,7.73
95AA01S2,1829,1666,70,13,2,24,6,14,34,91.09,3.83,0.71,0.11,1.31,0.33,0.77,1.86
95AA01S3,1502,1320,66,14,2,16,11,43,30,87.88,4.39,0.93,0.13,1.07,0.73,2.86,2.00
95AA02W1,1734,1505,89,21,4,23,9,55,28,86.79,5.13,1.21,0.23,1.33,0.52,3.17,1.61
95AA03W1,1822,1632,65,19,4,23,14,31,34,89.57,3.57,1.04,0.22,1.26,0.77,1.70,1.87
95AA04W1,3013,2791,113,12,3,40,4,6,44,92.63,3.75,0.40,0.10,1.33,0.13,0.20,1.46
95AA05W1,2701,2477,90,14,5,28,9,38,40,91.71,3.33,0.52,0.19,1.04,0.33,1.41,1.48
95AA06S1,1953,1792,75,10,5,25,9,3,34,91.76,3.84,0.51,0.26,1.28,0.46,0.15,1.74
95AA06S2,2694,2504,90,11,4,34,12,18,21,92.95,3.34,0.41,0.15,1.26,0.45,0.67,0.78
95AA07W1,2140,1956,77,21,1,15,11,41,18,91.40,3.60,0.98,0.05,0.70,0.51,1.92,0.84
95AA08W1,1698,1465,88,25,2,19,10,61,28,86.28,5.18,1.47,0.12,1.12,0.59,3.59,1.65
95AA09W1,2220,1898,101,24,2,37,9,68,81,85.50,4.55,1.08,0.09,1.67,0.41,3.06,3.65
95AA10W1,1953,1721,101,16,4,24,6,43,38,88.12,5.17,0.82,0.20,1.23,0.31,2.20,1.95
95AA11S1,2800,2344,114,42,4,34,26,177,59,83.71,4.07,1.50,0.14,1.21,0.93,6.32,2.11
95AA11S2,2564,2094,194,38,7,24,16,86,105,81.67,7.57,1.48,0.27,0.94,0.62,3.35,4.10
95AA12W1,2775,2582,105,12,6,33,11,2,24,93.05,3.78,0.43,0.22,1.19,0.40,0.07,0.86
95AA13S1,1745,1512,78,17,1,25,11,82,19,86.65,4.47,0.97,0.06,1.43,0.63,4.70,1.09
95AA13S2,1562,1383,49,12,3,23,16,54,22,88.54,3.14,0.77,0.19,1.47,1.02,3.46,1.41
95AA14W1,2349,2185,83,22,2,23,4,3,27,93.02,3.53,0.94,0.09,0.98,0.17,0.13,1.15
95AA15S1,2641,2096,125,30,4,25,17,185,159,79.36,4.73,1.14,0.15,0.95,0.64,7.00,6.02
95AA15S2,1545,1232,85,14,6,11,23,105,69,79.74,5.50,0.91,0.39,0.71,1.49,6.80,4.47
95AA16W1,1807,1490,92,31,5,16,12,123,38,82.46,5.09,1.72,0.28,0.89,0.66,6.81,2.10
95AA17W1,2142,1857,114,21,2,28,19,58,43,86.69,5.32,0.98,0.09,1.31,0.89,2.71,2.01
95AA18W1,2439,2201,85,23,1,37,10,17,65,90.24,3.49,0.94,0.04,1.52,0.41,0.70,2.67
95AA19W1,2687,2551,38,12,0,34,3,22,27,94.94,1.41,0.45,0,1.27,0.11,0.82,1.00
95BB01S1,1574,1481,39,11,0,17,4,3,19,94.09,2.48,0.70,0,1.08,0.25,0.19,1.21
95BB01S2,2035,1903,59,28,3,7,8,5,22,93.51,2.90,1.38,0.15,0.34,0.39,0.25,1.08
95BB02W1,2347,2122,74,24,9,40,13,36,29,90.41,3.15,1.02,0.38,1.70,0.55,1.53,1.24
95BB03S1,2026,1815,118,32,4,11,11,14,21,89.59,5.82,1.58,0.20,0.54,0.54,0.69,1.04
95BB03S2,2193,1969,121,32,7,27,15,1,21,89.79,5.52,1.46,0.32,1.23,0.68,0.05,0.96
95BB04S1,1438,1306,66,6,3,13,9,12,23,90.82,4.59,0.42,0.21,0.90,0.63,0.83,1.60
95BB04S2,1610,1471,63,15,2,26,6,5,22,91.37,3.91,0.93,0.12,1.61,0.37,0.31,1.37
95BB05S1,1490,1360,58,11,0,34,3,1,23,91.28,3.89,0.74,0,2.28,0.20,0.07,1.54
95BB05S2,1911,1743,90,14,5,11,10,4,34,91.21,4.71,0.73,0.26,0.58,0.52,0.21,1.78
95BB06W1,2870,2564,101,26,3,23,19,58,76,89.34,3.52,0.91,0.10,0.80,0.66,2.02,2.65
95BB07S1,1658,1472,55,20,4,23,8,37,39,88.78,3.32,1.21,0.24,1.39,0.48,2.23,2.35
95BB07S2,1295,1209,45,10,3,10,1,4,13,93.36,3.47,0.77,0.23,0.77,0.08,0.31,1.00
95BB08S1,1331,1236,36,10,1,11,4,11,22,92.86,2.70,0.75,0.08,0.83,0.30,0.83,1.65
95BB08S2,1294,1182,47,16,0,10,6,17,16,91.34,3.63,1.24,0,0.77,0.46,1.31,1.24
95BB09S1,1325,1191,45,16,2,21,5,14,31,89.89,3.40,1.21,0.15,1.58,0.38,1.06,2.34
95BB09S2,1618,1489,55,17,4,8,8,17,20,92.03,3.40,1.05,0.25,0.49,0.49,1.05,1.24
95BB10S1,1690,1425,110,35,6,22,4,10,78,84.32,6.51,2.07,0.36,1.30,0.24,0.59,4.62
95BB10S2,1637,1473,88,15,9,31,7,1,13,89.98,5.38,0.92,0.55,1.89,0.43,0.06,0.79
