GeographyCode,KS404NI0001,KS404NI0002,KS404NI0003,KS404NI0004,KS404NI0005,KS404NI0006,KS404NI0007,KS404NI0008,KS404NI0009,KS404NI0010,KS404NI0011,KS404NI0012,KS404NI0013,KS404NI0014,KS404NI0015
95AA01S1,310,0,12,0,268,0,0,30,0,3.87,0,86.45,0,0,9.68
95AA01S2,624,10,26,4,432,10,6,136,1.60,4.17,0.64,69.23,1.60,0.96,21.79
95AA01S3,588,4,58,9,405,11,1,100,0.68,9.86,1.53,68.88,1.87,0.17,17.01
95AA02W1,839,2,64,65,541,84,3,80,0.24,7.63,7.75,64.48,10.01,0.36,9.54
95AA03W1,845,1,179,28,528,34,2,73,0.12,21.18,3.31,62.49,4.02,0.24,8.64
95AA04W1,1014,13,25,4,744,32,8,188,1.28,2.47,0.39,73.37,3.16,0.79,18.54
95AA05W1,920,5,25,3,642,24,6,215,0.54,2.72,0.33,69.78,2.61,0.65,23.37
95AA06S1,710,4,13,39,516,16,5,117,0.56,1.83,5.49,72.68,2.25,0.70,16.48
95AA06S2,860,4,4,8,701,13,5,125,0.47,0.47,0.93,81.51,1.51,0.58,14.53
95AA07W1,820,6,5,4,605,31,4,165,0.73,0.61,0.49,73.78,3.78,0.49,20.12
95AA08W1,699,1,44,15,548,39,1,51,0.14,6.29,2.15,78.40,5.58,0.14,7.30
95AA09W1,943,1,266,15,565,28,1,67,0.11,28.21,1.59,59.92,2.97,0.11,7.10
95AA10W1,792,3,175,13,478,21,1,101,0.38,22.10,1.64,60.35,2.65,0.13,12.75
95AA11S1,1123,6,66,24,872,26,5,124,0.53,5.88,2.14,77.65,2.32,0.45,11.04
95AA11S2,870,1,92,3,622,12,0,140,0.11,10.57,0.34,71.49,1.38,0,16.09
95AA12W1,971,8,20,9,702,29,10,193,0.82,2.06,0.93,72.30,2.99,1.03,19.88
95AA13S1,625,3,14,36,416,9,5,142,0.48,2.24,5.76,66.56,1.44,0.80,22.72
95AA13S2,614,0,23,10,455,4,7,115,0,3.75,1.63,74.10,0.65,1.14,18.73
95AA14W1,779,7,13,2,505,25,6,221,0.90,1.67,0.26,64.83,3.21,0.77,28.37
95AA15S1,1013,2,92,57,714,14,3,131,0.20,9.08,5.63,70.48,1.38,0.30,12.93
95AA15S2,582,1,147,14,344,18,1,57,0.17,25.26,2.41,59.11,3.09,0.17,9.79
95AA16W1,832,0,134,23,595,36,4,40,0,16.11,2.76,71.51,4.33,0.48,4.81
95AA17W1,855,1,7,46,693,26,1,81,0.12,0.82,5.38,81.05,3.04,0.12,9.47
95AA18W1,1004,3,69,17,776,14,3,122,0.30,6.87,1.69,77.29,1.39,0.30,12.15
95AA19W1,832,3,11,6,608,15,4,185,0.36,1.32,0.72,73.08,1.80,0.48,22.24
95BB01S1,548,3,27,7,408,18,2,83,0.55,4.93,1.28,74.45,3.28,0.36,15.15
95BB01S2,759,2,32,4,619,10,0,92,0.26,4.22,0.53,81.55,1.32,0,12.12
95BB02W1,1126,9,373,72,549,36,5,82,0.80,33.13,6.39,48.76,3.20,0.44,7.28
95BB03S1,877,6,19,20,687,56,2,87,0.68,2.17,2.28,78.34,6.39,0.23,9.92
95BB03S2,899,16,95,17,619,30,9,113,1.78,10.57,1.89,68.85,3.34,1.00,12.57
95BB04S1,638,3,180,12,376,9,1,57,0.47,28.21,1.88,58.93,1.41,0.16,8.93
95BB04S2,669,6,116,8,475,11,1,52,0.90,17.34,1.20,71.00,1.64,0.15,7.77
95BB05S1,564,3,12,5,431,9,2,102,0.53,2.13,0.89,76.42,1.60,0.35,18.09
95BB05S2,754,7,7,9,595,20,6,110,0.93,0.93,1.19,78.91,2.65,0.80,14.59
95BB06W1,1518,17,623,148,604,34,9,83,1.12,41.04,9.75,39.79,2.24,0.59,5.47
95BB07S1,819,6,195,106,437,19,1,55,0.73,23.81,12.94,53.36,2.32,0.12,6.72
95BB07S2,496,1,32,5,386,16,1,55,0.20,6.45,1.01,77.82,3.23,0.20,11.09
95BB08S1,589,0,46,39,453,18,1,32,0,7.81,6.62,76.91,3.06,0.17,5.43
95BB08S2,479,0,39,20,380,5,1,34,0,8.14,4.18,79.33,1.04,0.21,7.10
95BB09S1,561,0,56,7,431,5,0,62,0,9.98,1.25,76.83,0.89,0,11.05
95BB09S2,692,2,160,13,432,21,1,63,0.29,23.12,1.88,62.43,3.03,0.14,9.10
95BB10S1,874,4,332,63,383,21,4,67,0.46,37.99,7.21,43.82,2.40,0.46,7.67
95BB10S2,635,9,112,7,406,25,5,71,1.42,17.64,1.10,63.94,3.94,0.79,11.18
95BB11S1,621,1,232,12,293,15,1,67,0.16,37.36,1.93,47.18,2.42,0.16,10.79
95BB11S2,717,4,130,42,471,6,2,62,0.56,18.13,5.86,65.69,0.84,0.28,8.65
95BB12S1,626,7,295,18,248,14,0,44,1.12,47.12,2.88,39.62,2.24,0,7.03
95BB12S2,504,3,140,2,306,9,1,43,0.60,27.78,0.40,60.71,1.79,0.20,8.53
95BB13S1,508,2,127,5,310,35,0,29,0.39,25.00,0.98,61.02,6.89,0,5.71
95BB13S2,603,6,135,7,403,18,1,33,1.00,22.39,1.16,66.83,2.99,0.17,5.47
95BB13S3,576,0,85,10,392,12,3,74,0,14.76,1.74,68.06,2.08,0.52,12.85
95BB14S1,551,9,14,6,380,15,5,122,1.63,2.54,1.09,68.97,2.72,0.91,22.14
95BB14S2,621,9,22,10,470,20,3,87,1.45,3.54,1.61,75.68,3.22,0.48,14.01
95BB15S1,706,9,10,2,495,25,7,158,1.27,1.42,0.28,70.11,3.54,0.99,22.38
95BB15S2,581,6,5,3,419,51,5,92,1.03,0.86,0.52,72.12,8.78,0.86,15.83
95BB16S1,562,8,13,6,417,7,2,109,1.42,2.31,1.07,74.20,1.25,0.36,19.40
95BB16S2,614,5,27,8,452,21,2,99,0.81,4.40,1.30,73.62,3.42,0.33,16.12
95BB17S1,727,3,75,11,552,29,3,54,0.41,10.32,1.51,75.93,3.99,0.41,7.43
95BB17S2,672,4,101,3,443,53,3,65,0.60,15.03,0.45,65.92,7.89,0.45,9.67
95BB18S1,726,3,36,31,564,28,3,61,0.41,4.96,4.27,77.69,3.86,0.41,8.40
95BB18S2,912,8,51,11,710,16,3,113,0.88,5.59,1.21,77.85,1.75,0.33,12.39
95BB19S1,641,1,144,16,419,16,0,45,0.16,22.46,2.50,65.37,2.50,0,7.02
95BB19S2,599,1,51,3,486,3,0,55,0.17,8.51,0.50,81.14,0.50,0,9.18
95BB19S3,484,0,60,0,386,2,1,35,0,12.40,0,79.75,0.41,0.21,7.23
95BB20S1,677,4,8,3,505,34,4,119,0.59,1.18,0.44,74.59,5.02,0.59,17.58
95BB20S2,613,0,8,33,467,24,2,79,0,1.31,5.38,76.18,3.92,0.33,12.89
95BB21S1,932,7,12,8,743,26,1,135,0.75,1.29,0.86,79.72,2.79,0.11,14.48
95BB21S2,889,12,50,6,659,24,3,135,1.35,5.62,0.67,74.13,2.70,0.34,15.19
95BB22S1,596,2,241,60,237,12,1,43,0.34,40.44,10.07,39.77,2.01,0.17,7.21
95BB22S2,598,4,228,98,230,15,2,21,0.67,38.13,16.39,38.46,2.51,0.33,3.51
95BB23S1,638,0,116,12,456,6,0,48,0,18.18,1.88,71.47,0.94,0,7.52
95BB23S2,523,4,65,1,392,4,1,56,0.76,12.43,0.19,74.95,0.76,0.19,10.71
95CC01W1,904,6,3,34,682,41,6,132,0.66,0.33,3.76,75.44,4.54,0.66,14.60
95CC02W1,875,8,5,4,602,27,12,217,0.91,0.57,0.46,68.80,3.09,1.37,24.80
95CC03W1,1127,8,3,126,805,51,10,124,0.71,0.27,11.18,71.43,4.53,0.89,11.00
95CC04W1,790,5,1,3,545,41,9,186,0.63,0.13,0.38,68.99,5.19,1.14,23.54
95CC05W1,954,7,5,7,660,39,6,230,0.73,0.52,0.73,69.18,4.09,0.63,24.11
95CC06S1,579,3,7,11,459,6,3,90,0.52,1.21,1.90,79.27,1.04,0.52,15.54
95CC06S2,517,0,0,16,407,10,3,81,0,0,3.09,78.72,1.93,0.58,15.67
95CC07W1,1108,9,3,25,749,41,14,267,0.81,0.27,2.26,67.60,3.70,1.26,24.10
95CC08W1,990,3,5,45,702,72,9,154,0.30,0.51,4.55,70.91,7.27,0.91,15.56
95CC09S1,494,2,5,5,330,11,3,138,0.40,1.01,1.01,66.80,2.23,0.61,27.94
95CC09S2,696,5,1,4,492,27,7,160,0.72,0.14,0.57,70.69,3.88,1.01,22.99
95CC10W1,901,5,4,9,614,28,5,236,0.55,0.44,1.00,68.15,3.11,0.55,26.19
95CC11W1,786,3,2,57,578,33,3,110,0.38,0.25,7.25,73.54,4.20,0.38,13.99
95CC12W1,890,6,4,1,647,24,5,203,0.67,0.45,0.11,72.70,2.70,0.56,22.81
95CC13W1,817,3,2,4,532,34,8,234,0.37,0.24,0.49,65.12,4.16,0.98,28.64
95CC14W1,1132,9,5,15,814,32,6,251,0.80,0.44,1.33,71.91,2.83,0.53,22.17
95CC15W1,1007,6,5,9,670,41,10,266,0.60,0.50,0.89,66.53,4.07,0.99,26.42
95CC16W1,1076,5,5,19,760,47,6,234,0.46,0.46,1.77,70.63,4.37,0.56,21.75
95CC17W1,897,7,3,1,615,20,8,243,0.78,0.33,0.11,68.56,2.23,0.89,27.09
95CC18W1,937,7,29,33,700,27,9,132,0.75,3.09,3.52,74.71,2.88,0.96,14.09
95CC19W1,981,10,9,6,701,32,11,212,1.02,0.92,0.61,71.46,3.26,1.12,21.61
95CC20S1,484,0,1,2,349,10,3,119,0,0.21,0.41,72.11,2.07,0.62,24.59
95CC20S2,643,2,6,31,456,11,4,133,0.31,0.93,4.82,70.92,1.71,0.62,20.68
95CC21W1,1167,1,7,59,814,57,6,223,0.09,0.60,5.06,69.75,4.88,0.51,19.11
95CC22W1,842,6,6,87,511,86,11,135,0.71,0.71,10.33,60.69,10.21,1.31,16.03
95DD01W1,836,7,40,15,637,16,4,117,0.84,4.78,1.79,76.20,1.91,0.48,14.00
95DD02S1,599,3,1,15,441,20,1,118,0.50,0.17,2.50,73.62,3.34,0.17,19.70
95DD02S2,891,2,27,4,636,19,1,202,0.22,3.03,0.45,71.38,2.13,0.11,22.67
95DD03W1,1389,4,73,23,1089,11,3,186,0.29,5.26,1.66,78.40,0.79,0.22,13.39
95DD04W1,859,4,21,229,505,35,11,54,0.47,2.44,26.66,58.79,4.07,1.28,6.29
95DD05W1,685,1,117,11,385,69,3,99,0.15,17.08,1.61,56.20,10.07,0.44,14.45
95DD06W1,944,1,16,10,765,8,2,142,0.11,1.69,1.06,81.04,0.85,0.21,15.04
95DD07S1,689,3,35,16,511,28,4,92,0.44,5.08,2.32,74.17,4.06,0.58,13.35
95DD07S2,723,3,73,20,499,13,0,115,0.41,10.10,2.77,69.02,1.80,0,15.91
95DD08W1,1041,11,51,141,680,39,11,108,1.06,4.90,13.54,65.32,3.75,1.06,10.37
95DD09W1,929,10,7,8,619,34,6,245,1.08,0.75,0.86,66.63,3.66,0.65,26.37
95DD10W1,1180,11,3,29,844,54,3,236,0.93,0.25,2.46,71.53,4.58,0.25,20.00
95DD11W1,955,2,29,116,685,33,7,83,0.21,3.04,12.15,71.73,3.46,0.73,8.69
95DD12W1,890,4,3,7,554,36,10,276,0.45,0.34,0.79,62.25,4.04,1.12,31.01
95DD13W1,741,4,15,72,470,50,3,127,0.54,2.02,9.72,63.43,6.75,0.40,17.14
95DD14S1,626,6,4,12,454,18,0,132,0.96,0.64,1.92,72.52,2.88,0,21.09
95DD14S2,607,4,25,5,476,9,1,87,0.66,4.12,0.82,78.42,1.48,0.16,14.33
95DD15W1,1174,10,18,9,766,56,16,299,0.85,1.53,0.77,65.25,4.77,1.36,25.47
95DD16W1,1019,11,9,8,655,39,11,286,1.08,0.88,0.79,64.28,3.83,1.08,28.07
95DD17W1,1148,15,8,4,784,43,8,286,1.31,0.70,0.35,68.29,3.75,0.70,24.91
