GeographyCode,KS406NI0001,KS406NI0002,KS406NI0003,KS406NI0004,KS406NI0005,KS406NI0006,KS406NI0007,KS406NI0008,KS406NI0009,KS406NI0010,KS406NI0011,KS406NI0012,KS406NI0013
95AA01S1,310,6,4,0,0,1,299,1.94,1.29,0,0,0.32,96.45
95AA01S2,624,74,37,0,2,3,522,11.86,5.93,0,0.32,0.48,83.65
95AA01S3,588,36,19,0,2,2,531,6.12,3.23,0,0.34,0.34,90.31
95AA02W1,839,39,84,0,7,0,720,4.65,10.01,0,0.83,0,85.82
95AA03W1,845,40,76,2,3,0,737,4.73,8.99,0.24,0.36,0,87.22
95AA04W1,1014,119,44,2,4,2,861,11.74,4.34,0.20,0.39,0.20,84.91
95AA05W1,920,82,53,1,4,1,794,8.91,5.76,0.11,0.43,0.11,86.30
95AA06S1,710,39,40,2,9,3,631,5.49,5.63,0.28,1.27,0.42,88.87
95AA06S2,860,39,50,1,0,1,777,4.53,5.81,0.12,0,0.12,90.35
95AA07W1,820,59,51,1,0,0,724,7.20,6.22,0.12,0,0,88.29
95AA08W1,699,21,63,0,1,2,622,3.00,9.01,0,0.14,0.29,88.98
95AA09W1,943,29,66,1,7,1,845,3.08,7.00,0.11,0.74,0.11,89.61
95AA10W1,792,24,65,3,4,0,703,3.03,8.21,0.38,0.51,0,88.76
95AA11S1,1123,52,71,2,3,1,1009,4.63,6.32,0.18,0.27,0.09,89.85
95AA11S2,870,54,34,0,1,1,790,6.21,3.91,0,0.11,0.11,90.80
95AA12W1,971,116,38,1,4,1,830,11.95,3.91,0.10,0.41,0.10,85.48
95AA13S1,625,33,25,1,2,1,571,5.28,4.00,0.16,0.32,0.16,91.36
95AA13S2,614,39,40,3,1,2,547,6.35,6.51,0.49,0.16,0.33,89.09
95AA14W1,779,92,55,1,3,3,645,11.81,7.06,0.13,0.39,0.39,82.80
95AA15S1,1013,124,67,1,3,0,839,12.24,6.61,0.10,0.30,0,82.82
95AA15S2,582,20,39,1,0,0,529,3.44,6.70,0.17,0,0,90.89
95AA16W1,832,37,72,3,5,1,729,4.45,8.65,0.36,0.60,0.12,87.62
95AA17W1,855,22,59,3,5,3,777,2.57,6.90,0.35,0.58,0.35,90.88
95AA18W1,1004,40,44,1,5,1,921,3.98,4.38,0.10,0.50,0.10,91.73
95AA19W1,832,81,48,2,4,1,717,9.74,5.77,0.24,0.48,0.12,86.18
95BB01S1,548,19,31,2,2,2,499,3.47,5.66,0.36,0.36,0.36,91.06
95BB01S2,759,20,34,1,2,1,712,2.64,4.48,0.13,0.26,0.13,93.81
95BB02W1,1126,86,120,5,9,8,945,7.64,10.66,0.44,0.80,0.71,83.93
95BB03S1,877,91,56,7,4,4,744,10.38,6.39,0.80,0.46,0.46,84.83
95BB03S2,899,63,52,2,3,0,797,7.01,5.78,0.22,0.33,0,88.65
95BB04S1,638,47,53,3,2,5,546,7.37,8.31,0.47,0.31,0.78,85.58
95BB04S2,669,28,26,0,1,1,618,4.19,3.89,0,0.15,0.15,92.38
95BB05S1,564,60,31,2,1,0,481,10.64,5.50,0.35,0.18,0,85.28
95BB05S2,754,67,44,0,1,1,650,8.89,5.84,0,0.13,0.13,86.21
95BB06W1,1518,97,163,4,9,4,1282,6.39,10.74,0.26,0.59,0.26,84.45
95BB07S1,819,102,78,2,6,3,667,12.45,9.52,0.24,0.73,0.37,81.44
95BB07S2,496,13,20,0,3,0,465,2.62,4.03,0,0.60,0,93.75
95BB08S1,589,61,62,0,3,3,478,10.36,10.53,0,0.51,0.51,81.15
95BB08S2,479,8,14,1,1,0,458,1.67,2.92,0.21,0.21,0,95.62
95BB09S1,561,27,25,1,2,0,513,4.81,4.46,0.18,0.36,0,91.44
95BB09S2,692,23,20,0,2,1,648,3.32,2.89,0,0.29,0.14,93.64
95BB10S1,874,53,85,7,4,2,745,6.06,9.73,0.80,0.46,0.23,85.24
95BB10S2,635,47,23,0,2,0,569,7.40,3.62,0,0.31,0,89.61
95BB11S1,621,32,55,2,1,1,545,5.15,8.86,0.32,0.16,0.16,87.76
95BB11S2,717,35,64,0,4,3,625,4.88,8.93,0,0.56,0.42,87.17
95BB12S1,626,17,52,2,4,1,562,2.72,8.31,0.32,0.64,0.16,89.78
95BB12S2,504,26,20,0,2,2,460,5.16,3.97,0,0.40,0.40,91.27
95BB13S1,508,25,35,1,1,0,454,4.92,6.89,0.20,0.20,0,89.37
95BB13S2,603,22,56,3,7,2,531,3.65,9.29,0.50,1.16,0.33,88.06
95BB13S3,576,10,13,2,3,0,552,1.74,2.26,0.35,0.52,0,95.83
95BB14S1,551,49,17,0,0,0,493,8.89,3.09,0,0,0,89.47
95BB14S2,621,34,26,1,3,0,568,5.48,4.19,0.16,0.48,0,91.47
95BB15S1,706,109,28,1,2,0,579,15.44,3.97,0.14,0.28,0,82.01
95BB15S2,581,51,38,1,2,1,501,8.78,6.54,0.17,0.34,0.17,86.23
95BB16S1,562,37,21,0,0,1,511,6.58,3.74,0,0,0.18,90.93
95BB16S2,614,42,18,0,1,1,557,6.84,2.93,0,0.16,0.16,90.72
95BB17S1,727,13,36,0,3,3,680,1.79,4.95,0,0.41,0.41,93.54
95BB17S2,672,27,58,4,1,1,595,4.02,8.63,0.60,0.15,0.15,88.54
95BB18S1,726,62,59,4,2,3,609,8.54,8.13,0.55,0.28,0.41,83.88
95BB18S2,912,80,35,2,3,0,801,8.77,3.84,0.22,0.33,0,87.83
95BB19S1,641,12,38,1,5,1,586,1.87,5.93,0.16,0.78,0.16,91.42
95BB19S2,599,7,16,1,0,0,578,1.17,2.67,0.17,0,0,96.49
95BB19S3,484,4,15,1,0,0,466,0.83,3.10,0.21,0,0,96.28
95BB20S1,677,63,33,1,2,1,587,9.31,4.87,0.15,0.30,0.15,86.71
95BB20S2,613,54,54,2,1,2,508,8.81,8.81,0.33,0.16,0.33,82.87
95BB21S1,932,80,62,2,4,2,803,8.58,6.65,0.21,0.43,0.21,86.16
95BB21S2,889,89,41,1,1,0,777,10.01,4.61,0.11,0.11,0,87.40
95BB22S1,596,26,24,0,0,1,547,4.36,4.03,0,0,0.17,91.78
95BB22S2,598,34,56,3,2,1,525,5.69,9.36,0.50,0.33,0.17,87.79
95BB23S1,638,12,21,0,1,1,605,1.88,3.29,0,0.16,0.16,94.83
95BB23S2,523,7,14,0,1,0,503,1.34,2.68,0,0.19,0,96.18
95CC01W1,904,39,61,3,1,4,804,4.31,6.75,0.33,0.11,0.44,88.94
95CC02W1,875,132,50,0,3,2,705,15.09,5.71,0,0.34,0.23,80.57
95CC03W1,1127,75,97,8,9,7,965,6.65,8.61,0.71,0.80,0.62,85.63
95CC04W1,790,75,38,2,4,3,678,9.49,4.81,0.25,0.51,0.38,85.82
95CC05W1,954,118,56,4,7,5,794,12.37,5.87,0.42,0.73,0.52,83.23
95CC06S1,579,28,19,0,2,0,536,4.84,3.28,0,0.35,0,92.57
95CC06S2,517,33,30,0,1,2,454,6.38,5.80,0,0.19,0.39,87.81
95CC07W1,1108,163,44,3,5,5,906,14.71,3.97,0.27,0.45,0.45,81.77
95CC08W1,990,59,84,3,8,4,854,5.96,8.48,0.30,0.81,0.40,86.26
95CC09S1,494,60,18,0,1,1,420,12.15,3.64,0,0.20,0.20,85.02
95CC09S2,696,63,18,1,2,1,620,9.05,2.59,0.14,0.29,0.14,89.08
95CC10W1,901,83,44,1,3,3,784,9.21,4.88,0.11,0.33,0.33,87.01
95CC11W1,786,36,48,0,2,3,701,4.58,6.11,0,0.25,0.38,89.19
95CC12W1,890,103,40,2,5,1,756,11.57,4.49,0.22,0.56,0.11,84.94
95CC13W1,817,99,51,1,6,2,679,12.12,6.24,0.12,0.73,0.24,83.11
95CC14W1,1132,64,55,1,4,3,1027,5.65,4.86,0.09,0.35,0.27,90.72
95CC15W1,1007,114,57,1,2,2,845,11.32,5.66,0.10,0.20,0.20,83.91
95CC16W1,1076,124,72,3,18,5,885,11.52,6.69,0.28,1.67,0.46,82.25
95CC17W1,897,109,30,1,8,1,762,12.15,3.34,0.11,0.89,0.11,84.95
95CC18W1,937,40,60,2,6,3,840,4.27,6.40,0.21,0.64,0.32,89.65
95CC19W1,981,123,51,2,5,5,816,12.54,5.20,0.20,0.51,0.51,83.18
95CC20S1,484,20,27,2,3,2,436,4.13,5.58,0.41,0.62,0.41,90.08
95CC20S2,643,30,34,1,3,5,581,4.67,5.29,0.16,0.47,0.78,90.36
95CC21W1,1167,87,86,4,3,1,1010,7.46,7.37,0.34,0.26,0.09,86.55
95CC22W1,842,27,51,2,1,3,766,3.21,6.06,0.24,0.12,0.36,90.97
95DD01W1,836,20,38,0,1,0,782,2.39,4.55,0,0.12,0,93.54
95DD02S1,599,33,38,2,3,0,533,5.51,6.34,0.33,0.50,0,88.98
95DD02S2,891,42,28,1,1,0,826,4.71,3.14,0.11,0.11,0,92.70
