GeographyCode,KS609NI0001,KS609NI0002,KS609NI0003,KS609NI0004,KS609NI0005,KS609NI0006,KS609NI0007,KS609NI0008,KS609NI0009,KS609NI0010,KS609NI0011,KS609NI0012,KS609NI0013,KS609NI0014,KS609NI0015,KS609NI0016,KS609NI0017,KS609NI0018,KS609NI0019
95AA01S1,411,49,14,137,148,29,1,10,17,6,11.92,3.41,33.33,36.01,7.06,0.24,2.43,4.14,1.46
95AA01S2,515,56,88,47,33,146,9,30,56,50,10.87,17.09,9.13,6.41,28.35,1.75,5.83,10.87,9.71
95AA01S3,437,71,75,38,33,106,11,20,42,41,16.25,17.16,8.70,7.55,24.26,2.52,4.58,9.61,9.38
95AA02W1,425,20,35,48,29,90,17,38,65,83,4.71,8.24,11.29,6.82,21.18,4.00,8.94,15.29,19.53
95AA03W1,391,17,21,32,31,93,14,20,76,87,4.35,5.37,8.18,7.93,23.79,3.58,5.12,19.44,22.25
95AA04W1,848,120,93,90,56,260,22,46,105,56,14.15,10.97,10.61,6.60,30.66,2.59,5.42,12.38,6.60
95AA05W1,657,74,90,50,26,232,16,27,80,62,11.26,13.70,7.61,3.96,35.31,2.44,4.11,12.18,9.44
95AA06S1,442,43,42,51,45,92,12,34,70,53,9.73,9.50,11.54,10.18,20.81,2.71,7.69,15.84,11.99
95AA06S2,589,70,63,76,50,101,11,33,110,75,11.88,10.70,12.90,8.49,17.15,1.87,5.60,18.68,12.73
95AA07W1,555,49,74,43,25,172,9,29,93,61,8.83,13.33,7.75,4.50,30.99,1.62,5.23,16.76,10.99
95AA08W1,335,15,21,28,18,81,14,24,74,60,4.48,6.27,8.36,5.37,24.18,4.18,7.16,22.09,17.91
95AA09W1,454,42,57,34,29,73,13,39,84,83,9.25,12.56,7.49,6.39,16.08,2.86,8.59,18.50,18.28
95AA10W1,401,32,45,33,34,80,18,37,57,65,7.98,11.22,8.23,8.48,19.95,4.49,9.23,14.21,16.21
95AA11S1,706,63,85,69,62,123,30,40,115,119,8.92,12.04,9.77,8.78,17.42,4.25,5.67,16.29,16.86
95AA11S2,753,70,111,117,72,145,19,47,82,90,9.30,14.74,15.54,9.56,19.26,2.52,6.24,10.89,11.95
95AA12W1,794,134,122,84,70,212,10,25,66,71,16.88,15.37,10.58,8.82,26.70,1.26,3.15,8.31,8.94
95AA13S1,424,37,68,37,31,131,14,16,44,46,8.73,16.04,8.73,7.31,30.90,3.30,3.77,10.38,10.85
95AA13S2,367,33,57,34,28,102,12,21,47,33,8.99,15.53,9.26,7.63,27.79,3.27,5.72,12.81,8.99
95AA14W1,593,86,90,67,34,176,8,31,67,34,14.50,15.18,11.30,5.73,29.68,1.35,5.23,11.30,5.73
95AA15S1,706,53,120,61,52,139,24,43,99,115,7.51,17.00,8.64,7.37,19.69,3.40,6.09,14.02,16.29
95AA15S2,351,29,38,21,24,71,14,22,64,68,8.26,10.83,5.98,6.84,20.23,3.99,6.27,18.23,19.37
95AA16W1,431,21,24,24,26,94,18,29,86,109,4.87,5.57,5.57,6.03,21.81,4.18,6.73,19.95,25.29
95AA17W1,509,43,49,43,34,98,15,29,105,93,8.45,9.63,8.45,6.68,19.25,2.95,5.70,20.63,18.27
95AA18W1,596,127,125,76,49,91,16,36,38,38,21.31,20.97,12.75,8.22,15.27,2.68,6.04,6.38,6.38
95AA19W1,632,46,72,27,23,303,13,21,79,48,7.28,11.39,4.27,3.64,47.94,2.06,3.32,12.50,7.59
95BB01S1,422,44,49,44,38,138,5,25,53,26,10.43,11.61,10.43,9.00,32.70,1.18,5.92,12.56,6.16
95BB01S2,533,63,75,57,64,120,9,26,68,51,11.82,14.07,10.69,12.01,22.51,1.69,4.88,12.76,9.57
95BB02W1,482,46,49,41,48,107,15,39,66,71,9.54,10.17,8.51,9.96,22.20,3.11,8.09,13.69,14.73
95BB03S1,400,28,29,39,38,115,8,25,66,52,7.00,7.25,9.75,9.50,28.75,2.00,6.25,16.50,13.00
95BB03S2,481,60,40,50,52,155,9,19,40,56,12.47,8.32,10.40,10.81,32.22,1.87,3.95,8.32,11.64
95BB04S1,317,37,51,38,36,69,7,20,36,23,11.67,16.09,11.99,11.36,21.77,2.21,6.31,11.36,7.26
95BB04S2,376,61,76,41,42,76,6,23,26,25,16.22,20.21,10.90,11.17,20.21,1.60,6.12,6.91,6.65
95BB05S1,392,51,42,27,32,129,10,25,53,23,13.01,10.71,6.89,8.16,32.91,2.55,6.38,13.52,5.87
95BB05S2,475,56,60,49,26,137,11,26,59,51,11.79,12.63,10.32,5.47,28.84,2.32,5.47,12.42,10.74
95BB06W1,590,47,42,53,61,121,25,48,97,96,7.97,7.12,8.98,10.34,20.51,4.24,8.14,16.44,16.27
95BB07S1,334,32,33,31,33,84,13,25,29,54,9.58,9.88,9.28,9.88,25.15,3.89,7.49,8.68,16.17
95BB07S2,303,30,26,24,35,87,9,21,42,29,9.90,8.58,7.92,11.55,28.71,2.97,6.93,13.86,9.57
95BB08S1,255,15,10,26,20,52,6,20,67,39,5.88,3.92,10.20,7.84,20.39,2.35,7.84,26.27,15.29
95BB08S2,348,28,36,40,39,90,8,17,52,38,8.05,10.34,11.49,11.21,25.86,2.30,4.89,14.94,10.92
95BB09S1,338,50,55,33,31,69,12,18,34,36,14.79,16.27,9.76,9.17,20.41,3.55,5.33,10.06,10.65
95BB09S2,451,58,54,59,75,85,10,22,33,55,12.86,11.97,13.08,16.63,18.85,2.22,4.88,7.32,12.20
95BB10S1,367,34,50,38,35,65,24,31,41,49,9.26,13.62,10.35,9.54,17.71,6.54,8.45,11.17,13.35
95BB10S2,393,81,74,47,41,74,8,17,21,30,20.61,18.83,11.96,10.43,18.83,2.04,4.33,5.34,7.63
95BB11S1,280,18,15,24,30,58,8,28,51,48,6.43,5.36,8.57,10.71,20.71,2.86,10.00,18.21,17.14
95BB11S2,323,33,31,35,37,77,7,24,37,42,10.22,9.60,10.84,11.46,23.84,2.17,7.43,11.46,13.00
95BB12S1,269,13,24,19,30,75,5,22,33,48,4.83,8.92,7.06,11.15,27.88,1.86,8.18,12.27,17.84
95BB12S2,292,42,62,34,32,51,5,10,26,30,14.38,21.23,11.64,10.96,17.47,1.71,3.42,8.90,10.27
95BB13S1,313,42,36,38,46,43,13,25,37,33,13.42,11.50,12.14,14.70,13.74,4.15,7.99,11.82,10.54
95BB13S2,309,38,22,28,32,69,5,23,41,51,12.30,7.12,9.06,10.36,22.33,1.62,7.44,13.27,16.50
95BB13S3,419,55,51,53,51,79,10,20,54,46,13.13,12.17,12.65,12.17,18.85,2.39,4.77,12.89,10.98
95BB14S1,399,57,59,31,37,119,9,14,37,36,14.29,14.79,7.77,9.27,29.82,2.26,3.51,9.27,9.02
95BB14S2,401,57,84,50,42,78,8,12,37,33,14.21,20.95,12.47,10.47,19.45,2.00,2.99,9.23,8.23
95BB15S1,475,36,50,48,43,208,7,16,31,36,7.58,10.53,10.11,9.05,43.79,1.47,3.37,6.53,7.58
95BB15S2,344,28,29,18,32,128,12,16,38,43,8.14,8.43,5.23,9.30,37.21,3.49,4.65,11.05,12.50
95BB16S1,434,70,68,51,40,109,16,17,30,33,16.13,15.67,11.75,9.22,25.12,3.69,3.92,6.91,7.60
95BB16S2,432,66,78,43,55,95,4,20,38,33,15.28,18.06,9.95,12.73,21.99,0.93,4.63,8.80,7.64
95BB17S1,447,39,26,39,39,116,16,40,73,59,8.72,5.82,8.72,8.72,25.95,3.58,8.95,16.33,13.20
95BB17S2,397,60,37,42,32,106,11,29,42,38,15.11,9.32,10.58,8.06,26.70,2.77,7.30,10.58,9.57
95BB18S1,347,32,33,29,31,99,16,11,52,44,9.22,9.51,8.36,8.93,28.53,4.61,3.17,14.99,12.68
95BB18S2,651,111,73,68,96,173,8,28,64,30,17.05,11.21,10.45,14.75,26.57,1.23,4.30,9.83,4.61
95BB19S1,395,31,34,36,53,73,16,30,66,56,7.85,8.61,9.11,13.42,18.48,4.05,7.59,16.71,14.18
95BB19S2,488,63,57,65,68,106,10,38,45,36,12.91,11.68,13.32,13.93,21.72,2.05,7.79,9.22,7.38
95BB19S3,386,34,42,48,47,81,9,31,55,39,8.81,10.88,12.44,12.18,20.98,2.33,8.03,14.25,10.10
95BB20S1,424,24,42,34,32,198,11,19,24,40,5.66,9.91,8.02,7.55,46.70,2.59,4.48,5.66,9.43
95BB20S2,272,10,26,21,32,102,7,15,24,35,3.68,9.56,7.72,11.76,37.50,2.57,5.51,8.82,12.87
95BB21S1,498,29,38,37,57,169,18,26,64,60,5.82,7.63,7.43,11.45,33.94,3.61,5.22,12.85,12.05
95BB21S2,552,52,55,59,49,172,18,30,65,52,9.42,9.96,10.69,8.88,31.16,3.26,5.43,11.78,9.42
95BB22S1,340,36,29,28,41,87,7,11,47,54,10.59,8.53,8.24,12.06,25.59,2.06,3.24,13.82,15.88
95BB22S2,272,32,12,17,22,76,8,20,48,37,11.76,4.41,6.25,8.09,27.94,2.94,7.35,17.65,13.60
95BB23S1,380,39,61,48,61,79,11,18,32,31,10.26,16.05,12.63,16.05,20.79,2.89,4.74,8.42,8.16
95BB23S2,424,47,55,50,52,89,15,44,44,28,11.08,12.97,11.79,12.26,20.99,3.54,10.38,10.38,6.60
95CC01W1,489,37,53,48,29,102,25,44,88,63,7.57,10.84,9.82,5.93,20.86,5.11,9.00,18.00,12.88
95CC02W1,694,69,69,53,21,251,13,37,120,61,9.94,9.94,7.64,3.03,36.17,1.87,5.33,17.29,8.79
95CC03W1,488,27,40,30,28,117,24,34,98,90,5.53,8.20,6.15,5.74,23.98,4.92,6.97,20.08,18.44
95CC04W1,599,54,58,30,19,228,9,31,106,64,9.02,9.68,5.01,3.17,38.06,1.50,5.18,17.70,10.68
95CC05W1,683,58,63,50,22,228,16,40,124,82,8.49,9.22,7.32,3.22,33.38,2.34,5.86,18.16,12.01
95CC06S1,344,46,68,40,24,66,12,22,37,29,13.37,19.77,11.63,6.98,19.19,3.49,6.40,10.76,8.43
95CC06S2,267,36,28,25,22,50,8,20,45,33,13.48,10.49,9.36,8.24,18.73,3.00,7.49,16.85,12.36
95CC07W1,800,77,61,46,28,309,15,41,140,83,9.63,7.63,5.75,3.50,38.63,1.88,5.13,17.50,10.38
95CC08W1,479,59,44,28,30,128,17,41,67,65,12.32,9.19,5.85,6.26,26.72,3.55,8.56,13.99,13.57
95CC09S1,410,46,45,31,21,161,4,24,43,35,11.22,10.98,7.56,5.12,39.27,0.98,5.85,10.49,8.54
95CC09S2,532,71,47,40,32,168,6,30,99,39,13.35,8.83,7.52,6.02,31.58,1.13,5.64,18.61,7.33
95CC10W1,705,96,102,47,40,197,10,39,99,75,13.62,14.47,6.67,5.67,27.94,1.42,5.53,14.04,10.64
95CC11W1,338,33,34,12,13,107,16,19,51,53,9.76,10.06,3.55,3.85,31.66,4.73,5.62,15.09,15.68
95CC12W1,699,59,74,40,25,268,13,36,118,66,8.44,10.59,5.72,3.58,38.34,1.86,5.15,16.88,9.44
95CC13W1,654,56,55,33,31,248,17,30,114,70,8.56,8.41,5.05,4.74,37.92,2.60,4.59,17.43,10.70
95CC14W1,757,78,85,63,56,189,19,49,148,70,10.30,11.23,8.32,7.40,24.97,2.51,6.47,19.55,9.25
95CC15W1,714,63,93,61,36,212,9,26,145,69,8.82,13.03,8.54,5.04,29.69,1.26,3.64,20.31,9.66
95CC16W1,636,63,54,37,39,217,15,36,117,58,9.91,8.49,5.82,6.13,34.12,2.36,5.66,18.40,9.12
95CC17W1,723,76,88,60,32,231,20,40,119,57,10.51,12.17,8.30,4.43,31.95,2.77,5.53,16.46,7.88
95CC18W1,527,65,106,49,36,97,14,34,68,58,12.33,20.11,9.30,6.83,18.41,2.66,6.45,12.90,11.01
95CC19W1,691,68,81,55,42,244,14,41,107,39,9.84,11.72,7.96,6.08,35.31,2.03,5.93,15.48,5.64
95CC20S1,329,38,35,43,35,63,10,24,43,38,11.55,10.64,13.07,10.64,19.15,3.04,7.29,13.07,11.55
95CC20S2,422,36,48,34,53,94,10,19,79,49,8.53,11.37,8.06,12.56,22.27,2.37,4.50,18.72,11.61
95CC21W1,750,72,72,73,78,170,16,40,144,85,9.60,9.60,9.73,10.40,22.67,2.13,5.33,19.20,11.33
95CC22W1,398,26,35,24,24,96,24,31,71,67,6.53,8.79,6.03,6.03,24.12,6.03,7.79,17.84,16.83
95DD01W1,481,73,88,49,41,81,7,27,67,48,15.18,18.30,10.19,8.52,16.84,1.46,5.61,13.93,9.98
95DD02S1,346,23,31,24,20,104,5,33,69,37,6.65,8.96,6.94,5.78,30.06,1.45,9.54,19.94,10.69
95DD02S2,654,66,87,69,47,173,14,42,99,57,10.09,13.30,10.55,7.19,26.45,2.14,6.42,15.14,8.72
95DD03W1,871,109,158,97,61,180,19,48,124,75,12.51,18.14,11.14,7.00,20.67,2.18,5.51,14.24,8.61
95DD04W1,338,20,14,20,15,66,15,29,84,75,5.92,4.14,5.92,4.44,19.53,4.44,8.58,24.85,22.19
95DD05W1,338,20,17,19,15,78,7,34,73,75,5.92,5.03,5.62,4.44,23.08,2.07,10.06,21.60,22.19
95DD06W1,617,82,92,88,44,108,13,33,89,68,13.29,14.91,14.26,7.13,17.50,2.11,5.35,14.42,11.02
95DD07S1,381,44,55,32,26,80,8,19,73,44,11.55,14.44,8.40,6.82,21.00,2.10,4.99,19.16,11.55
95DD07S2,426,51,54,60,27,106,2,17,72,37,11.97,12.68,14.08,6.34,24.88,0.47,3.99,16.90,8.69
95DD08W1,503,24,29,35,26,98,18,44,140,89,4.77,5.77,6.96,5.17,19.48,3.58,8.75,27.83,17.69
95DD09W1,716,71,80,61,33,258,9,34,113,57,9.92,11.17,8.52,4.61,36.03,1.26,4.75,15.78,7.96
95DD10W1,651,46,62,44,41,189,16,43,138,72,7.07,9.52,6.76,6.30,29.03,2.46,6.61,21.20,11.06
95DD11W1,450,48,25,31,20,106,8,35,119,58,10.67,5.56,6.89,4.44,23.56,1.78,7.78,26.44,12.89
95DD12W1,738,69,97,46,34,290,3,38,105,56,9.35,13.14,6.23,4.61,39.30,0.41,5.15,14.23,7.59
95DD13W1,387,25,49,32,28,82,15,16,85,55,6.46,12.66,8.27,7.24,21.19,3.88,4.13,21.96,14.21
