GeographyCode,LC1103NI0001,LC1103NI0002,LC1103NI0003,LC1103NI0004,LC1103NI0005,LC1103NI0006,LC1103NI0007,LC1103NI0008,LC1103NI0009,LC1103NI0010,LC1103NI0011,LC1103NI0012,LC1103NI0013,LC1103NI0014,LC1103NI0015,LC1103NI0016,LC1103NI0017,LC1103NI0018,LC1103NI0019,LC1103NI0020,LC1103NI0021,LC1103NI0022,LC1103NI0023,LC1103NI0024,LC1103NI0025,LC1103NI0026,LC1103NI0027,LC1103NI0028,LC1103NI0029,LC1103NI0030,LC1103NI0031,LC1103NI0032,LC1103NI0033,LC1103NI0034,LC1103NI0035,LC1103NI0036
N06000001,40918,16945,23973,22468,12983,9485,18450,3962,14488,15953,5556,10397,8903,4292,4611,7050,1264,5786,14009,7088,6921,8470,5377,3093,5539,1711,3828,10956,4301,6655,5095,3314,1781,5861,987,4874
N06000002,44601,15221,29380,22586,11274,11312,22015,3947,18068,17457,4446,13011,8435,3289,5146,9022,1157,7865,15594,6743,8851,8936,4984,3952,6658,1759,4899,11550,4032,7518,5215,3001,2214,6335,1031,5304
N06000003,46630,17140,29490,25736,12904,12832,20894,4236,16658,21616,5659,15957,12072,4215,7857,9544,1444,8100,14875,7476,7399,8911,5614,3297,5964,1862,4102,10139,4005,6134,4753,3075,1678,5386,930,4456
N06000004,36580,11888,24692,16885,8668,8217,19695,3220,16475,14858,3484,11374,6099,2553,3546,8759,931,7828,13739,5597,8142,7173,4066,3107,6566,1531,5035,7983,2807,5176,3613,2049,1564,4370,758,3612
N06000005,36112,18233,17879,21345,14086,7259,14767,4147,10620,12385,5270,7115,7281,4176,3105,5104,1094,4010,14348,8639,5709,9190,6531,2659,5158,2108,3050,9379,4324,5055,4874,3379,1495,4505,945,3560
N06000006,37981,19381,18600,22343,14925,7418,15638,4456,11182,13559,5959,7600,7744,4579,3165,5815,1380,4435,14629,8864,5765,9427,6746,2681,5202,2118,3084,9793,4558,5235,5172,3600,1572,4621,958,3663
N06000007,37590,19859,17731,22701,15218,7483,14889,4641,10248,13364,6788,6576,8178,5161,3017,5186,1627,3559,14577,8943,5634,9513,6790,2723,5064,2153,2911,9649,4128,5521,5010,3267,1743,4639,861,3778
N06000008,38404,15648,22756,20244,11542,8702,18160,4106,14054,15537,4874,10663,7577,3583,3994,7960,1291,6669,14999,7500,7499,8642,5478,3164,6357,2022,4335,7868,3274,4594,4025,2481,1544,3843,793,3050
N06000009,39850,21690,18160,24066,16834,7232,15784,4856,10928,14531,7133,7398,9028,5664,3364,5503,1469,4034,15025,9505,5520,9657,7248,2409,5368,2257,3111,10294,5052,5242,5381,3922,1459,4913,1130,3783
N06000010,33690,19289,14401,20896,15006,5890,12794,4283,8511,12957,7400,5557,8179,5747,2432,4778,1653,3125,12680,8280,4400,8418,6352,2066,4262,1928,2334,8053,3609,4444,4299,2907,1392,3754,702,3052
N06000011,40538,21023,19515,23967,16011,7956,16571,5012,11559,15140,7406,7734,8993,5685,3308,6147,1721,4426,15441,9466,5975,9821,7077,2744,5620,2389,3231,9957,4151,5806,5153,3249,1904,4804,902,3902
N06000012,41458,22290,19168,25093,17426,7667,16365,4864,11501,14365,7274,7091,8839,5811,3028,5526,1463,4063,15753,9694,6059,10357,7489,2868,5396,2205,3191,11340,5322,6018,5897,4126,1771,5443,1196,4247
N06000013,37740,19246,18494,22153,14897,7256,15587,4349,11238,12341,5451,6890,7458,4327,3131,4883,1124,3759,14539,8658,5881,9089,6538,2551,5450,2120,3330,10860,5137,5723,5606,4032,1574,5254,1105,4149
N06000014,37715,20512,17203,22797,15952,6845,14918,4560,10358,14771,7198,7573,8860,5646,3214,5911,1552,4359,14314,9103,5211,9326,7029,2297,4988,2074,2914,8630,4211,4419,4611,3277,1334,4019,934,3085
N06000015,39030,21313,17717,23561,16385,7176,15469,4928,10541,13936,7208,6728,8456,5602,2854,5480,1606,3874,15359,9765,5594,10061,7421,2640,5298,2344,2954,9735,4340,5395,5044,3362,1682,4691,978,3713
N06000016,35412,19391,16021,21371,14968,6403,14041,4423,9618,11539,5536,6003,7039,4373,2666,4500,1163,3337,14367,9172,5195,9190,6923,2267,5177,2249,2928,9506,4683,4823,5142,3672,1470,4364,1011,3353
N06000017,45766,22828,22938,26949,17549,9400,18817,5279,13538,18302,8261,10041,10916,6410,4506,7386,1851,5535,16759,9797,6962,10624,7469,3155,6135,2328,3807,10705,4770,5935,5409,3670,1739,5296,1100,4196
N06000018,33260,17228,16032,19616,13066,6550,13644,4162,9482,11947,5870,6077,6927,4418,2509,5020,1452,3568,13086,7846,5240,8402,5900,2502,4684,1946,2738,8227,3512,4715,4287,2748,1539,3940,764,3176
