GeographyCode,LC2115NI0001,LC2115NI0002,LC2115NI0003,LC2115NI0004,LC2115NI0005,LC2115NI0006,LC2115NI0007,LC2115NI0008,LC2115NI0009
N06000001,88533,3316,85217,42213,1558,40655,46320,1758,44562
N06000002,97995,11579,86416,46829,5904,40925,51166,5675,45491
N06000003,107615,13902,93713,52219,6631,45588,55396,7271,48125
N06000004,89872,18853,71019,42432,9324,33108,47440,9529,37911
N06000005,86916,3941,82975,42267,1869,40398,44649,2072,42577
N06000006,95890,7825,88065,47348,3543,43805,48542,4282,44260
N06000007,98103,13639,84464,49132,6518,42614,48971,7121,41850
N06000008,96591,13707,82884,46961,6360,40601,49630,7347,42283
N06000009,97364,3716,93648,47757,1812,45945,49607,1904,47703
N06000010,94457,17233,77224,47256,8000,39256,47201,9233,37968
N06000011,107388,18517,88871,53296,9037,44259,54092,9480,44612
N06000012,103991,7303,96688,51101,3385,47716,52890,3918,48972
N06000013,86272,2669,83603,41439,1222,40217,44833,1447,43386
N06000014,94820,6460,88360,46319,3117,43202,48501,3343,45158
N06000015,103964,15304,88660,51672,7297,44375,52292,8007,44285
N06000016,86183,3078,83105,42087,1427,40660,44096,1651,42445
N06000017,112428,10764,101664,55180,5215,49965,57248,5549,51699
N06000018,87329,13092,74237,43520,6133,37387,43809,6959,36850
