GeographyCode,LC2119NI0001,LC2119NI0002,LC2119NI0003,LC2119NI0004,LC2119NI0005,LC2119NI0006,LC2119NI0007,LC2119NI0008,LC2119NI0009,LC2119NI0010,LC2119NI0011,LC2119NI0012,LC2119NI0013,LC2119NI0014,LC2119NI0015,LC2119NI0016,LC2119NI0017,LC2119NI0018,LC2119NI0019,LC2119NI0020,LC2119NI0021,LC2119NI0022,LC2119NI0023,LC2119NI0024,LC2119NI0025,LC2119NI0026,LC2119NI0027,LC2119NI0028,LC2119NI0029,LC2119NI0030,LC2119NI0031,LC2119NI0032,LC2119NI0033,LC2119NI0034,LC2119NI0035,LC2119NI0036,LC2119NI0037,LC2119NI0038,LC2119NI0039,LC2119NI0040,LC2119NI0041,LC2119NI0042,LC2119NI0043,LC2119NI0044,LC2119NI0045,LC2119NI0046,LC2119NI0047,LC2119NI0048,LC2119NI0049,LC2119NI0050,LC2119NI0051,LC2119NI0052,LC2119NI0053,LC2119NI0054,LC2119NI0055,LC2119NI0056,LC2119NI0057,LC2119NI0058,LC2119NI0059,LC2119NI0060,LC2119NI0061,LC2119NI0062,LC2119NI0063,LC2119NI0064,LC2119NI0065,LC2119NI0066,LC2119NI0067,LC2119NI0068,LC2119NI0069,LC2119NI0070,LC2119NI0071,LC2119NI0072
N06000001,74196,6744,47873,20822,14445,12606,19579,13496,35071,2934,21586,9546,6467,5573,10551,7501,39125,3810,26287,11276,7978,7033,9028,5995,38945,3526,25998,11233,7504,7261,9421,7134,19561,1572,12769,5620,3638,3511,5220,4062,19384,1954,13229,5613,3866,3750,4201,3072,35251,3218,21875,9589,6941,5345,10158,6362,15510,1362,8817,3926,2829,2062,5331,3439,19741,1856,13058,5663,4112,3283,4827,2923
N06000002,80513,31770,32113,13971,10244,7898,16630,8741,37890,14404,14518,6386,4664,3468,8968,5027,42623,17366,17595,7585,5580,4430,7662,3714,35022,13489,15098,6402,4643,4053,6435,4071,17549,6487,7477,3214,2302,1961,3585,2375,17473,7002,7621,3188,2341,2092,2850,1696,45491,18281,17015,7569,5601,3845,10195,4670,20341,7917,7041,3172,2362,1507,5383,2652,25150,10364,9974,4397,3239,2338,4812,2018
N06000003,90664,32937,32677,13423,10872,8382,25050,16319,43891,14923,14866,6159,4967,3740,14102,9588,46773,18014,17811,7264,5905,4642,10948,6731,40364,15273,15003,5987,4965,4051,10088,6994,20258,7159,7485,3014,2456,2015,5614,4056,20106,8114,7518,2973,2509,2036,4474,2938,50300,17664,17674,7436,5907,4331,14962,9325,23633,7764,7381,3145,2511,1725,8488,5532,26667,9900,10293,4291,3396,2606,6474,3793
N06000004,71573,51923,9223,3525,3943,1755,10427,3238,33167,23438,4189,1625,1774,790,5540,1941,38406,28485,5034,1900,2169,965,4887,1297,27074,19762,4125,1534,1678,913,3187,1267,13532,9684,2084,793,829,462,1764,790,13542,10078,2041,741,849,451,1423,477,44499,32161,5098,1991,2265,842,7240,1971,19635,13754,2105,832,945,328,3776,1151,24864,18407,2993,1159,1320,514,3464,820
N06000005,70240,12041,43283,22021,11170,10092,14916,10321,33899,5685,20118,10418,5140,4560,8096,5777,36341,6356,23165,11603,6030,5532,6820,4544,40314,6660,25854,13005,6614,6235,7800,5889,20153,3122,12723,6525,3193,3005,4308,3329,20161,3538,13131,6480,3421,3230,3492,2560,29926,5381,17429,9016,4556,3857,7116,4432,13746,2563,7395,3893,1947,1555,3788,2448,16180,2818,10034,5123,2609,2302,3328,1984
N06000006,77212,28682,37552,19098,13782,4672,10978,6256,37697,13795,17902,9238,6500,2164,6000,3573,39515,14887,19650,9860,7282,2508,4978,2683,42418,15409,21780,11243,7646,2891,5229,3351,21203,7440,10871,5704,3736,1431,2892,1931,21215,7969,10909,5539,3910,1460,2337,1420,34794,13273,15772,7855,6136,1781,5749,2905,16494,6355,7031,3534,2764,733,3108,1642,18300,6918,8741,4321,3372,1048,2641,1263
N06000007,79297,41606,28813,5530,16850,6433,8878,3664,39612,20721,14065,2722,8265,3078,4826,2148,39685,20885,14748,2808,8585,3355,4052,1516,43215,22239,17030,3302,9776,3952,3946,1993,21594,10928,8516,1657,4904,1955,2150,1168,21621,11311,8514,1645,4872,1997,1796,825,36082,19367,11783,2228,7074,2481,4932,1671,18018,9793,5549,1065,3361,1123,2676,980,18064,9574,6234,1163,3713,1358,2256,691
N06000008,77016,51339,15332,7461,5916,1955,10345,3680,37067,23961,7338,3600,2829,909,5768,2273,39949,27378,7994,3861,3087,1046,4577,1407,34602,22695,8218,4023,3061,1134,3689,1740,17300,11074,4144,2028,1526,590,2082,1088,17302,11621,4074,1995,1535,544,1607,652,42414,28644,7114,3438,2855,821,6656,1940,19767,12887,3194,1572,1303,319,3686,1185,22647,15757,3920,1866,1552,502,2970,755
N06000009,79173,12443,51004,20872,18900,11232,15726,10748,38284,5679,24070,9976,8823,5271,8535,6046,40889,6764,26934,10896,10077,5961,7191,4702,47864,7576,31604,12896,11360,7348,8684,6372,23929,3482,15628,6427,5543,3658,4819,3662,23935,4094,15976,6469,5817,3690,3865,2710,31309,4867,19400,7976,7540,3884,7042,4376,14355,2197,8442,3549,3280,1613,3716,2384,16954,2670,10958,4427,4260,2271,3326,1992
N06000010,75434,46334,21769,9026,8749,3994,7331,2845,37514,22653,10784,4524,4322,1938,4077,1680,37920,23681,10985,4502,4427,2056,3254,1165,41302,25226,12786,5267,5025,2494,3290,1536,20648,12426,6428,2696,2497,1235,1794,881,20654,12800,6358,2571,2528,1259,1496,655,34132,21108,8983,3759,3724,1500,4041,1309,16866,10227,4356,1828,1825,703,2283,799,17266,10881,4627,1931,1899,797,1758,510
