GeographyCode,LC2201NI0001,LC2201NI0002,LC2201NI0003,LC2201NI0004,LC2201NI0005,LC2201NI0006,LC2201NI0007,LC2201NI0008,LC2201NI0009,LC2201NI0010,LC2201NI0011,LC2201NI0012,LC2201NI0013,LC2201NI0014,LC2201NI0015,LC2201NI0016,LC2201NI0017,LC2201NI0018,LC2201NI0019,LC2201NI0020,LC2201NI0021,LC2201NI0022,LC2201NI0023,LC2201NI0024,LC2201NI0025
N06000001,92221,8783,57976,25462,17570,52710,1417,39271,12022,8247,6062,3269,913,1880,835,16180,1828,8487,5865,4406,17269,2269,9305,5695,4082
N06000002,102531,41872,38718,21941,11426,42080,5245,27762,9073,4921,27624,22662,736,4226,1368,20098,10250,5105,4743,2757,12729,3715,5115,3899,2380
N06000003,111402,41803,38701,30898,19922,38060,4222,23799,10039,6227,28282,22004,1273,5005,3045,22321,9405,6271,6645,4743,22739,6172,7358,9209,5907
N06000004,93986,68246,11589,14151,4187,17038,4252,8523,4263,1304,53082,47476,348,5258,1321,17375,13481,1288,2606,755,6491,3037,1430,2024,807
N06000005,90067,15925,54120,20022,13893,51027,4110,36669,10248,6947,7081,5155,711,1215,549,17200,4816,7938,4446,3273,14759,1844,8802,4113,3124
N06000006,99673,38264,46777,14632,8420,44480,6077,31984,6419,3601,19581,16793,1034,1754,678,22538,11780,7244,3514,2130,13074,3614,6515,2945,2011
N06000007,102553,54435,36400,11718,4849,32914,4057,25242,3615,1521,32271,28263,1287,2721,684,23149,15197,5344,2608,1085,14219,6918,4527,2774,1559
N06000008,100807,68042,19195,13570,4655,19562,3712,12768,3082,1125,52969,46370,950,5649,1458,19555,13993,2757,2805,1038,8721,3967,2720,2034,1034
N06000009,101710,16776,63571,21363,14695,57130,3655,42907,10568,7174,8567,5817,1165,1585,761,18552,4653,9058,4841,3498,17461,2651,10441,4369,3262
N06000010,99155,61964,27359,9832,3771,26041,3082,19880,3079,1248,38109,35002,687,2420,526,24795,18874,3427,2494,951,10210,5006,3365,1839,1046
N06000011,112401,67807,30048,14546,4916,28164,3061,20850,4253,1543,47896,42578,789,4529,1017,23684,16078,4373,3233,1083,12657,6090,4036,2531,1273
N06000012,108207,28020,63625,16562,9430,58182,4645,44961,8576,4768,13278,11048,872,1358,522,21012,8851,8662,3499,2108,15735,3476,9130,3129,2032
N06000013,89498,9239,55120,25139,18754,50685,2574,35490,12621,9022,4392,2350,945,1097,778,16925,2542,8614,5769,4538,17496,1773,10071,5652,4416
N06000014,99238,28618,51233,19387,12946,49603,4936,34999,9668,6405,14112,12015,673,1424,649,20050,8178,7533,4339,3050,15473,3489,8028,3956,2842
N06000015,108835,69673,25254,13908,6663,29587,7809,17266,4512,2270,39024,34896,700,3428,1178,28758,21633,3675,3450,1618,11466,5335,3613,2518,1597
N06000016,89370,13496,55969,19905,14100,51371,3476,37602,10293,7068,5925,4056,849,1020,560,17220,4286,8434,4500,3311,14854,1678,9084,4092,3161
N06000017,118010,47557,51915,18538,10273,49784,5491,36425,7868,4274,25106,21990,856,2260,825,24940,13898,6872,4170,2415,18180,6178,7762,4240,2759
N06000018,91199,57513,24985,8701,2694,23961,4047,17408,2506,852,34121,30579,904,2638,522,24915,18862,3783,2270,638,8202,4025,2890,1287,682
