GeographyCode,LC2203NI0001,LC2203NI0002,LC2203NI0003,LC2203NI0004,LC2203NI0005,LC2203NI0006,LC2203NI0007,LC2203NI0008,LC2203NI0009,LC2203NI0010,LC2203NI0011,LC2203NI0012,LC2203NI0013,LC2203NI0014,LC2203NI0015,LC2203NI0016
N06000001,92221,11712,69533,10976,81562,8593,64578,8391,5328,916,3463,949,5331,2203,1492,1636
N06000002,102531,48126,46821,7584,93058,43566,43811,5681,4882,2178,2013,691,4591,2382,997,1212
N06000003,111402,49025,48630,13747,91768,40867,43288,7613,9079,4204,3258,1617,10555,3954,2084,4517
N06000004,93986,75263,15645,3078,88307,71477,14621,2209,3328,2435,604,289,2351,1351,420,580
N06000005,90067,18362,63148,8557,81529,16186,58756,6587,5808,1399,3374,1035,2730,777,1018,935
N06000006,99673,41564,53097,5012,89728,37248,49070,3410,6758,2643,3183,932,3187,1673,844,670
N06000007,102553,59159,40100,3294,85330,47448,36191,1691,9758,6121,2985,652,7465,5590,924,951
N06000008,100807,75731,22193,2883,89038,67854,19594,1590,8755,6126,2066,563,3014,1751,533,730
N06000009,101710,19346,73158,9206,89848,16229,66950,6669,7577,1447,4632,1498,4285,1670,1576,1039
N06000010,99155,66152,30522,2481,91033,60479,28998,1556,4094,2804,976,314,4028,2869,548,611
N06000011,112401,74591,34380,3430,97462,63787,31627,2048,8886,6520,1854,512,6053,4284,899,870
N06000012,108207,30723,71446,6038,98710,26976,67194,4540,5519,1692,3020,807,3978,2055,1232,691
N06000013,89498,11269,66618,11611,77207,8826,59723,8658,8773,1462,5362,1949,3518,981,1533,1004
N06000014,99238,31619,59349,8270,89166,27989,55072,6105,6202,1759,3277,1166,3870,1871,1000,999
N06000015,108835,75384,29224,4227,97646,68325,26593,2728,7586,4787,1981,818,3603,2272,650,681
N06000016,89370,15447,65353,8570,81514,13689,60898,6927,5365,965,3458,942,2491,793,997,701
N06000017,118010,51919,58998,7093,104371,44915,54758,4698,6209,2402,2960,847,7430,4602,1280,1548
N06000018,91199,61993,27502,1704,81576,55218,25391,967,6789,4734,1738,317,2834,2041,373,420
