GeographyCode,LC2205NI0001,LC2205NI0002,LC2205NI0003,LC2205NI0004,LC2205NI0005,LC2205NI0006,LC2205NI0007,LC2205NI0008,LC2205NI0009,LC2205NI0010,LC2205NI0011,LC2205NI0012
N06000001,88533,8266,56363,23904,6356,327,4518,1511,82177,7939,51845,22393
N06000002,97995,39893,37578,20524,5067,1003,2843,1221,92928,38890,34735,19303
N06000003,107615,40165,37919,29531,7073,1449,3591,2033,100542,38716,34328,27498
N06000004,89872,65381,11198,13293,2255,968,750,537,87617,64413,10448,12756
N06000005,86916,15395,52560,18961,11038,1235,7890,1913,75878,14160,44670,17048
N06000006,95890,36611,45488,13791,11956,1635,8543,1778,83934,34976,36945,12013
N06000007,98103,52060,35084,10959,4488,1030,2927,531,93615,51030,32157,10428
N06000008,96591,65205,18528,12858,4276,1531,2063,682,92315,63674,16465,12176
N06000009,97364,15872,61525,19967,7315,445,5673,1197,90049,15427,55852,18770
N06000010,94457,58879,26407,9171,6078,1591,3772,715,88379,57288,22635,8456
N06000011,107388,64743,28957,13688,4600,1032,2824,744,102788,63711,26133,12944
N06000012,103991,26833,61663,15495,25646,2648,19919,3079,78345,24185,41744,12416
N06000013,86272,8886,53605,23781,7396,400,5302,1694,78876,8486,48303,22087
N06000014,94820,27160,49586,18074,9645,874,7293,1478,85175,26286,42293,16596
N06000015,103964,66428,24471,13065,5378,1388,3192,798,98586,65040,21279,12267
N06000016,86183,12982,54428,18773,10566,654,8039,1873,75617,12328,46389,16900
N06000017,112428,45207,50002,17219,6038,959,4157,922,106390,44248,45845,16297
N06000018,87329,55007,24160,8162,5033,1359,3138,536,82296,53648,21022,7626
