GeographyCode,LC2303NI0001,LC2303NI0002,LC2303NI0003,LC2303NI0004,LC2303NI0005,LC2303NI0006,LC2303NI0007,LC2303NI0008,LC2303NI0009,LC2303NI0010,LC2303NI0011,LC2303NI0012,LC2303NI0013,LC2303NI0014,LC2303NI0015,LC2303NI0016,LC2303NI0017,LC2303NI0018,LC2303NI0019,LC2303NI0020,LC2303NI0021,LC2303NI0022,LC2303NI0023,LC2303NI0024
N06000001,92221,8783,57976,25401,17011,15564,25462,17570,20559,1279,15167,6450,4954,3763,4113,2430,71662,7504,42809,18951,12057,11801,21349,15140
N06000002,102531,41872,38718,16659,12347,9712,21941,11426,26914,9762,12590,5421,4243,2926,4562,1996,75617,32110,26128,11238,8104,6786,17379,9430
N06000003,111402,41803,38701,15796,12767,10138,30898,19922,19111,5125,9901,3947,3543,2411,4085,2156,92291,36678,28800,11849,9224,7727,26813,17766
N06000004,93986,68246,11589,4432,4909,2248,14151,4187,25758,18894,3650,1405,1594,651,3214,811,68228,49352,7939,3027,3315,1597,10937,3376
N06000005,90067,15925,54120,27416,13945,12759,20022,13893,18054,2929,11932,5991,3110,2831,3193,1910,72013,12996,42188,21425,10835,9928,16829,11983
N06000006,99673,38264,46777,23446,17591,5740,14632,8420,19840,7039,10250,5038,4080,1132,2551,1177,79833,31225,36527,18408,13511,4608,12081,7243
N06000007,102553,54435,36400,6839,21387,8174,11718,4849,19866,9959,7847,1481,4717,1649,2060,743,82687,44476,28553,5358,16670,6525,9658,4106
N06000008,100807,68042,19195,9016,7672,2507,13570,4655,22851,15551,4592,2205,1839,548,2708,790,77956,52491,14603,6811,5833,1959,10862,3865
N06000009,101710,16776,63571,25603,23411,14557,21363,14695,18654,2569,12904,5189,5166,2549,3181,1755,83056,14207,50667,20414,18245,12008,18182,12940
N06000010,99155,61964,27359,11142,11117,5100,9832,3771,19561,11445,6288,2590,2654,1044,1828,545,79594,50519,21071,8552,8463,4056,8004,3226
N06000011,112401,67807,30048,11883,11873,6292,14546,4916,22523,13644,6281,2479,2676,1126,2598,726,89878,54163,23767,9404,9197,5166,11948,4190
N06000012,108207,28020,63625,39553,13160,10912,16562,9430,21246,4811,13658,8495,3035,2128,2777,1303,86961,23209,49967,31058,10125,8784,13785,8127
N06000013,89498,9239,55120,27096,15939,12085,25139,18754,17481,1388,12263,5905,3686,2672,3830,2417,72017,7851,42857,21191,12253,9413,21309,16337
N06000014,99238,28618,51233,28178,12370,10685,19387,12946,17631,4340,10466,5788,2680,1998,2825,1569,81607,24278,40767,22390,9690,8687,16562,11377
N06000015,108835,69673,25254,14268,6387,4599,13908,6663,21231,13173,5398,3001,1515,882,2660,1030,87604,56500,19856,11267,4872,3717,11248,5633
N06000016,89370,13496,55969,31549,13514,10906,19905,14100,18095,2572,12244,6913,3048,2283,3279,2014,71275,10924,43725,24636,10466,8623,16626,12086
N06000017,118010,47557,51915,15427,23218,13270,18538,10273,24348,9575,11539,3279,5448,2812,3234,1439,93662,37982,40376,12148,17770,10458,15304,8834
N06000018,91199,57513,24985,11397,10203,3385,8701,2694,20923,12859,6055,2798,2555,702,2009,512,70276,44654,18930,8599,7648,2683,6692,2182
