GeographyCode,LC2502NI0001,LC2502NI0002,LC2502NI0003,LC2502NI0004,LC2502NI0005,LC2502NI0006,LC2502NI0007,LC2502NI0008,LC2502NI0009,LC2502NI0010,LC2502NI0011,LC2502NI0012,LC2502NI0013,LC2502NI0014,LC2502NI0015,LC2502NI0016,LC2502NI0017,LC2502NI0018,LC2502NI0019,LC2502NI0020,LC2502NI0021,LC2502NI0022,LC2502NI0023,LC2502NI0024,LC2502NI0025,LC2502NI0026,LC2502NI0027,LC2502NI0028
N06000001,75141,6805,48530,19806,20865,1348,15769,3748,8428,601,5526,2301,10263,763,6514,2986,8427,715,5016,2696,20589,2596,11599,6394,6569,782,4106,1681
N06000002,81552,32121,32676,16755,29063,10327,14428,4308,10679,4090,4295,2294,11599,4716,4170,2713,8829,3604,3057,2168,15215,7267,3959,3989,6167,2117,2767,1283
N06000003,93724,33940,34078,25706,17407,4089,10065,3253,7155,2175,2996,1984,10263,3605,3912,2746,16100,6356,5327,4417,36543,15854,9278,11411,6256,1861,2500,1895
N06000004,72358,52355,9398,10605,27546,20043,4489,3014,10094,7410,1192,1492,11002,8127,1147,1728,8158,5866,887,1405,10818,7679,920,2219,4740,3230,763,747
N06000005,72357,12725,44318,15314,18282,3148,12343,2791,8817,1485,5376,1956,11342,1957,6741,2644,9957,1837,5845,2275,17280,3136,9844,4300,6679,1162,4169,1348
N06000006,79190,29349,38512,11329,24470,9480,12549,2441,9075,3197,4591,1287,11874,4263,5764,1847,9976,3717,4585,1674,17566,6058,8263,3245,6229,2634,2760,835
N06000007,80237,42035,29205,8997,25573,13328,9928,2317,8968,4431,3566,971,11764,5795,4606,1363,8758,4497,3150,1111,17041,9156,5666,2219,8133,4828,2289,1016
N06000008,78383,52098,15669,10616,25494,17578,5355,2561,9146,6026,1934,1186,11574,7568,2312,1694,9742,6404,1840,1498,17105,11227,2978,2900,5322,3295,1250,777
N06000009,80795,12745,51939,16111,19755,2657,14150,2948,9288,1364,5930,1994,12338,1780,7859,2699,9802,1556,5918,2328,22679,4160,13595,4924,6933,1228,4487,1218
N06000010,76074,46636,22028,7410,24511,14354,8061,2096,8714,5268,2536,910,11503,7095,3269,1139,9016,5676,2469,871,15615,10096,3904,1615,6715,4147,1789,779
N06000011,86877,51962,23847,11068,26887,16515,7675,2697,9715,5716,2716,1283,12970,7525,3704,1741,10129,5916,2780,1433,18531,10929,4846,2756,8645,5361,2126,1158
N06000012,86137,21558,52021,12558,27769,6264,18461,3044,9700,2399,5678,1623,13109,3307,7630,2172,9896,2504,5732,1660,17989,4852,10214,2923,7674,2232,4306,1136
N06000013,73038,7392,46156,19490,15293,1285,11051,2957,8413,784,5301,2328,11752,1172,7219,3361,9390,911,5526,2953,22106,2637,13029,6440,6084,603,4030,1451
N06000014,77330,21221,41662,14447,19483,4791,11969,2723,9587,2546,5205,1836,12849,3619,6556,2674,9772,2685,4987,2100,18785,5622,9337,3826,6854,1958,3608,1288
N06000015,83951,52821,20508,10622,22788,14195,6277,2316,9270,5774,2316,1180,13113,8128,3214,1771,10706,6842,2477,1387,20057,12769,4302,2986,8017,5113,1922,982
N06000016,71638,10569,45931,15138,18783,2777,13182,2824,8956,1297,5679,1980,11686,1602,7405,2679,8928,1334,5386,2208,16527,2494,9939,4094,6758,1065,4340,1353
N06000017,92049,36239,41852,13958,27752,11425,12999,3328,11027,4373,4864,1790,14416,5466,6702,2248,10705,4050,4848,1807,19789,7302,9182,3305,8360,3623,3257,1480
N06000018,70709,44010,20065,6634,25130,15452,7658,2020,7766,4722,2355,689,10153,6304,2857,992,7819,4905,2126,788,14309,9192,3553,1564,5532,3435,1516,581
