GeographyCode,LC2603NI0001,LC2603NI0002,LC2603NI0003,LC2603NI0004,LC2603NI0005,LC2603NI0006,LC2603NI0007,LC2603NI0008,LC2603NI0009,LC2603NI0010,LC2603NI0011,LC2603NI0012,LC2603NI0013,LC2603NI0014,LC2603NI0015
N06000001,67039,6340,54208,5088,3101,45800,2564,38288,3587,2605,21239,3776,15920,1501,496
N06000002,73558,9602,48515,14673,2393,45602,3699,31293,9814,1904,27956,5903,17222,4859,489
N06000003,86086,6198,55292,21505,6608,59911,2674,38780,15980,5091,26175,3524,16512,5525,1517
N06000004,67002,9326,30945,27099,1192,38843,3374,18506,17016,965,28159,5952,12439,10083,227
N06000005,66012,7608,52691,5621,1495,44880,3598,37536,3648,1025,21132,4010,15155,1973,470
N06000006,72822,12520,47963,12085,1743,46103,5366,32486,8005,1287,26719,7154,15477,4080,456
N06000007,73713,12433,37374,20367,4951,50082,5994,26725,14224,4147,23631,6439,10649,6143,804
N06000008,73474,9813,29132,34382,1626,44206,3781,18482,21716,1170,29268,6032,10650,12666,456
N06000009,73686,7422,59266,6808,2080,51554,3419,42908,4834,1690,22132,4003,16358,1974,390
N06000010,70671,12378,36780,20640,2576,46574,5745,25704,14299,2132,24097,6633,11076,6341,444
N06000011,80362,10530,37422,30340,3897,53125,4781,25737,20681,3250,27237,5749,11685,9659,647
N06000012,78306,14015,54962,8414,2254,52676,6728,39253,5714,1894,25630,7287,15709,2700,360
N06000013,65480,5006,55866,4989,1701,44424,2269,38992,3114,1313,21056,2737,16874,1875,388
N06000014,71856,7591,54554,9193,2174,51300,3601,40252,6814,1865,20556,3990,14302,2379,309
N06000015,77403,10521,43217,23830,2087,51988,4881,30346,16667,1689,25415,5640,12871,7163,398
N06000016,65507,7748,52760,5229,1262,44439,3548,37432,3395,1032,21068,4200,15328,1834,230
N06000017,85110,10665,55563,15985,4675,57344,4702,38975,11055,3848,27766,5963,16588,4930,827
N06000018,65333,12238,32392,20366,1665,40916,5249,21838,13509,1280,24417,6989,10554,6857,385
