GeographyCode,LC5101NI0001,LC5101NI0002,LC5101NI0003,LC5101NI0004,LC5101NI0005,LC5101NI0006,LC5101NI0007,LC5101NI0008,LC5101NI0009,LC5101NI0010,LC5101NI0011,LC5101NI0012,LC5101NI0013,LC5101NI0014,LC5101NI0015,LC5101NI0016,LC5101NI0017,LC5101NI0018,LC5101NI0019,LC5101NI0020,LC5101NI0021,LC5101NI0022,LC5101NI0023,LC5101NI0024,LC5101NI0025,LC5101NI0026,LC5101NI0027,LC5101NI0028,LC5101NI0029,LC5101NI0030,LC5101NI0031,LC5101NI0032,LC5101NI0033,LC5101NI0034,LC5101NI0035,LC5101NI0036,LC5101NI0037,LC5101NI0038,LC5101NI0039,LC5101NI0040,LC5101NI0041,LC5101NI0042,LC5101NI0043,LC5101NI0044,LC5101NI0045,LC5101NI0046,LC5101NI0047,LC5101NI0048,LC5101NI0049
N06000001,75141,20865,8428,10263,8427,20589,6569,9862,1561,1686,2635,2315,1205,460,13380,1192,1378,1852,1961,6033,964,13457,1844,1995,1941,1519,5267,891,12911,3080,1925,1757,1296,3619,1234,9507,3621,794,1027,708,2242,1115,16024,9567,650,1051,628,2223,1905
N06000002,81552,29063,10679,11599,8829,15215,6167,12721,2306,2603,3317,2656,1337,502,14496,2020,2067,2694,2378,4467,870,13413,3027,2420,2112,1488,3501,865,14035,4993,2212,1808,1210,2585,1227,10448,5138,819,941,695,1755,1100,16439,11579,558,727,402,1570,1603
N06000003,93724,17407,7155,10263,16100,36543,6256,21069,1631,1573,3451,9794,3901,719,19443,1128,1185,1795,2377,11721,1237,14433,1590,1493,1403,1458,7563,926,13912,2420,1481,1579,1253,6226,953,9806,2770,749,974,688,3777,848,15061,7868,674,1061,530,3355,1573
N06000004,72358,27546,10094,11002,8158,10818,4740,13923,2664,2689,3780,2927,1279,584,13285,2286,2041,2560,2130,3562,706,11667,3340,2169,1905,1240,2300,713,12738,5240,2031,1609,1074,1803,981,8966,5129,744,724,535,1004,830,11779,8887,420,424,252,870,926
N06000005,72357,18282,8817,11342,9957,17280,6679,11385,1435,1690,3033,3332,1310,585,10022,774,1269,1799,2007,3592,581,12711,1496,2231,2254,1793,3975,962,13548,2817,2075,2156,1469,3608,1423,10418,3497,944,1145,788,2607,1437,14273,8263,608,955,568,2188,1691
N06000006,79190,24470,9075,11874,9976,17566,6229,12940,1867,1879,3462,3619,1511,602,11968,1462,1509,2080,2154,3882,881,14203,2799,2204,2289,1805,4004,1102,13975,4041,1986,2116,1345,3318,1169,11157,4869,909,1135,613,2460,1171,14947,9432,588,792,440,2391,1304
N06000007,80237,25573,8968,11764,8758,17041,8133,12112,1897,1822,3404,2560,1505,924,14165,1624,1571,2123,2192,4843,1812,14393,2623,2139,2315,1753,3982,1581,13881,3947,2036,2122,1342,2939,1495,11189,5194,938,1157,613,2070,1217,14497,10288,462,643,298,1702,1104
N06000008,78383,25494,9146,11574,9742,17105,5322,13902,2288,2234,4013,3242,1591,534,13963,2015,1772,2492,2467,4475,742,14147,3322,2157,2086,1735,3939,908,13939,4704,1820,1720,1328,3243,1124,10403,4932,717,814,659,2289,992,12029,8233,446,449,311,1568,1022
N06000009,80795,19755,9288,12338,9802,22679,6933,11113,1589,1789,3226,2573,1407,529,12914,866,1461,2036,2247,5457,847,15043,1642,2290,2338,1873,5810,1090,14491,2731,2030,2313,1582,4478,1357,11179,3758,996,1341,884,2937,1263,16055,9169,722,1084,643,2590,1847
N06000010,76074,24511,8714,11503,9016,15615,6715,13060,1889,1936,3617,3258,1605,755,14189,1486,1662,2368,2464,4852,1357,14282,2826,2332,2304,1615,3746,1459,12607,4294,1751,1871,1027,2382,1282,9650,4939,691,879,451,1687,1003,12286,9077,342,464,201,1343,859
