GeographyCode,LC6113NI0001,LC6113NI0002,LC6113NI0003,LC6113NI0004,LC6113NI0005,LC6113NI0006,LC6113NI0007,LC6113NI0008,LC6113NI0009,LC6113NI0010,LC6113NI0011,LC6113NI0012,LC6113NI0013,LC6113NI0014,LC6113NI0015,LC6113NI0016,LC6113NI0017,LC6113NI0018,LC6113NI0019,LC6113NI0020,LC6113NI0021,LC6113NI0022,LC6113NI0023,LC6113NI0024,LC6113NI0025,LC6113NI0026,LC6113NI0027,LC6113NI0028,LC6113NI0029,LC6113NI0030
N06000001,66772,35896,30876,45740,25991,19749,10534,5561,4973,27652,16430,11222,4397,3221,1176,3157,779,2378,21032,9905,11127,9424,5993,3431,4416,1604,2812,7192,2308,4884
N06000002,73081,32411,40670,45542,21947,23595,11941,5067,6874,24962,13629,11333,3463,2333,1130,5176,918,4258,27539,10464,17075,9598,5637,3961,7577,2293,5284,10364,2534,7830
N06000003,83768,37578,46190,58965,28160,30805,13895,5235,8660,35003,18082,16921,5781,3899,1882,4286,944,3342,24803,9418,15385,8766,5571,3195,4118,1284,2834,11919,2563,9356
N06000004,66711,25432,41279,38782,15938,22844,11533,3964,7569,19162,9431,9731,2730,1749,981,5357,794,4563,27929,9494,18435,7409,4273,3136,8893,2678,6215,11627,2543,9084
N06000005,64475,37853,26622,44144,27064,17080,10208,5809,4399,25707,16530,9177,5057,3829,1228,3172,896,2276,20331,10789,9542,9711,6876,2835,3602,1599,2003,7018,2314,4704
N06000006,71401,40005,31396,45558,27037,18521,10785,5967,4818,22892,14342,8550,7312,5379,1933,4569,1349,3220,25843,12968,12875,9954,6928,3026,4993,2273,2720,10896,3767,7129
N06000007,73355,41003,32352,50014,29593,20421,10767,6417,4350,26611,15456,11155,8861,6536,2325,3775,1184,2591,23341,11410,11931,8621,5638,2983,4476,1997,2479,10244,3775,6469
N06000008,72532,32852,39680,43859,21225,22634,11042,4611,6431,21855,12238,9617,4538,3152,1386,6424,1224,5200,28673,11627,17046,8705,5624,3081,7767,2801,4966,12201,3202,8999
N06000009,72692,44893,27799,51071,32829,18242,11508,6918,4590,29785,19624,10161,6907,5414,1493,2871,873,1998,21621,12064,9557,10414,7616,2798,3371,1578,1793,7836,2870,4966
N06000010,70467,39355,31112,46535,27530,19005,10006,5810,4196,24384,14280,10104,8472,6280,2192,3673,1160,2513,23932,11825,12107,7536,5149,2387,5232,2642,2590,11164,4034,7130
N06000011,79890,43259,36631,53078,30337,22741,12081,6823,5258,27405,15721,11684,8373,6220,2153,5219,1573,3646,26812,12922,13890,9225,6104,3121,5923,2719,3204,11664,4099,7565
N06000012,78073,45703,32370,52625,32385,20240,11520,6906,4614,28442,17704,10738,8628,6583,2045,4035,1192,2843,25448,13318,12130,10958,7651,3307,4657,2138,2519,9833,3529,6304
N06000013,64666,39677,24989,43971,27778,16193,10386,6158,4228,24878,16234,8644,5858,4544,1314,2849,842,2007,20695,11899,8796,11367,8337,3030,2896,1214,1682,6432,2348,4084
N06000014,71240,43306,27934,51061,32417,18644,11634,6753,4881,30142,19880,10262,6243,4870,1373,3042,914,2128,20179,10889,9290,9190,6627,2563,3542,1657,1885,7447,2605,4842
N06000015,76861,43521,33340,51723,30906,20817,11734,6797,4937,25664,15418,10246,10031,7377,2654,4294,1314,2980,25138,12615,12523,9099,6239,2860,5312,2503,2809,10727,3873,6854
N06000016,65341,40192,25149,44420,28189,16231,10366,6354,4012,24188,15676,8512,6854,5251,1603,3012,908,2104,20921,12003,8918,10384,7695,2689,3464,1767,1697,7073,2541,4532
N06000017,84948,48508,36440,57312,34705,22607,12962,7245,5717,33168,21105,12063,6625,5056,1569,4557,1299,3258,27636,13803,13833,10676,7264,3412,6460,3008,3452,10500,3531,6969
N06000018,65037,34874,30163,40881,23399,17482,8709,4851,3858,20538,11932,8606,7401,5453,1948,4233,1163,3070,24156,11475,12681,7770,5206,2564,6045,2740,3305,10341,3529,6812
