GeographyCode,LC6403NI0001,LC6403NI0002,LC6403NI0003,LC6403NI0004,LC6403NI0005,LC6403NI0006,LC6403NI0007,LC6403NI0008,LC6403NI0009,LC6403NI0010,LC6403NI0011,LC6403NI0012,LC6403NI0013,LC6403NI0014,LC6403NI0015,LC6403NI0016,LC6403NI0017,LC6403NI0018,LC6403NI0019,LC6403NI0020
N06000001,35029,21868,6827,6334,12732,9962,753,2017,7459,5193,1070,1196,12828,6297,4006,2525,2010,416,998,596
N06000002,38563,20762,10785,7016,9226,6971,974,1281,7226,4787,1297,1142,17556,8207,6047,3302,4555,797,2467,1291
N06000003,41165,22454,6158,12553,18762,12965,845,4952,7526,4568,956,2002,10695,4385,3274,3036,4182,536,1083,2563
N06000004,32697,17624,10704,4369,6518,4826,860,832,6399,4398,1279,722,14710,7281,5553,1876,5070,1119,3012,939
N06000005,31599,23230,3575,4794,10218,8854,354,1010,7521,6083,527,911,12297,7838,2160,2299,1563,455,534,574
N06000006,33404,22555,4301,6548,9077,7565,320,1192,8792,7068,521,1203,12514,7135,2553,2826,3021,787,907,1327
N06000007,32895,23134,3210,6551,7882,6453,297,1132,8973,7556,367,1050,13691,8223,1847,3621,2349,902,699,748
N06000008,34925,19463,8257,7205,9303,7126,765,1412,6803,4616,985,1202,13948,6827,4251,2870,4871,894,2256,1721
N06000009,34918,25993,4403,4522,13225,11288,485,1452,8938,7269,693,976,11401,7049,2574,1778,1354,387,651,316
N06000010,29827,21734,2523,5570,6937,5823,193,921,8412,7118,304,990,12183,7835,1469,2879,2295,958,557,780
N06000011,35818,24986,3976,6856,8980,7357,396,1227,9320,7667,555,1098,14249,8723,2098,3428,3269,1239,927,1103
N06000012,35968,25383,4217,6368,9566,8080,380,1106,9291,7678,499,1114,14973,9080,2521,3372,2138,545,817,776
N06000013,32437,24451,3059,4927,13368,11480,375,1513,8289,6715,511,1063,9533,5907,1753,1873,1247,349,420,478
N06000014,33855,25781,3301,4773,11265,9798,347,1120,8707,7294,491,922,12526,8274,1937,2315,1357,415,526,416
N06000015,34305,24947,2729,6629,9858,8260,295,1303,10151,8381,404,1366,11900,7468,1466,2966,2396,838,564,994
N06000016,31110,23216,3597,4297,9876,8618,324,934,8929,7354,577,998,11015,6854,2235,1926,1290,390,461,439
N06000017,40713,27360,4988,8365,11166,9375,416,1375,9254,7231,629,1394,17686,10084,3089,4513,2607,670,854,1083
N06000018,29331,19787,3693,5851,6560,5427,274,859,7865,6497,381,987,11666,6891,1980,2795,3240,972,1058,1210
