GeographyCode,LC6501NI0001,LC6501NI0002,LC6501NI0003,LC6501NI0004,LC6501NI0005,LC6501NI0006,LC6501NI0007,LC6501NI0008,LC6501NI0009,LC6501NI0010,LC6501NI0011,LC6501NI0012,LC6501NI0013,LC6501NI0014,LC6501NI0015,LC6501NI0016,LC6501NI0017,LC6501NI0018,LC6501NI0019,LC6501NI0020,LC6501NI0021
N06000001,75141,11715,63426,20865,962,19903,8428,921,7507,10263,1656,8607,8427,1760,6667,20589,5752,14837,6569,664,5905
N06000002,81552,9681,71871,29063,1115,27948,10679,995,9684,11599,1613,9986,8829,1614,7215,15215,3757,11458,6167,587,5580
N06000003,93724,18775,74949,17407,895,16512,7155,875,6280,10263,1999,8264,16100,4596,11504,36543,9620,26923,6256,790,5466
N06000004,72358,7385,64973,27546,885,26661,10094,833,9261,11002,1322,9680,8158,1364,6794,10818,2543,8275,4740,438,4302
N06000005,72357,11197,61160,18282,976,17306,8817,947,7870,11342,1833,9509,9957,2068,7889,17280,4605,12675,6679,768,5911
N06000006,79190,12132,67058,24470,1242,23228,9075,1057,8018,11874,2111,9763,9976,2198,7778,17566,4660,12906,6229,864,5365
N06000007,80237,12789,67448,25573,1557,24016,8968,1202,7766,11764,2236,9528,8758,1955,6803,17041,4811,12230,8133,1028,7105
N06000008,78383,10708,67675,25494,1215,24279,9146,1019,8127,11574,1944,9630,9742,1806,7936,17105,4088,13017,5322,636,4686
N06000009,80795,13034,67761,19755,1181,18574,9288,984,8304,12338,2110,10228,9802,1911,7891,22679,6039,16640,6933,809,6124
N06000010,76074,10439,65635,24511,1282,23229,8714,990,7724,11503,1899,9604,9016,1615,7401,15615,3865,11750,6715,788,5927
N06000011,86877,12587,74290,26887,1471,25416,9715,1146,8569,12970,2203,10767,10129,1921,8208,18531,4799,13732,8645,1047,7598
N06000012,86137,12690,73447,27769,1516,26253,9700,1146,8554,13109,2222,10887,9896,1904,7992,17989,4950,13039,7674,952,6722
N06000013,73038,12414,60624,15293,857,14436,8413,1045,7368,11752,2067,9685,9390,1851,7539,22106,5854,16252,6084,740,5344
N06000014,77330,11123,66207,19483,1041,18442,9587,974,8613,12849,1928,10921,9772,1810,7962,18785,4637,14148,6854,733,6121
N06000015,83951,13497,70454,22788,1382,21406,9270,1205,8065,13113,2332,10781,10706,2186,8520,20057,5364,14693,8017,1028,6989
N06000016,71638,10769,60869,18783,998,17785,8956,987,7969,11686,1901,9785,8928,1716,7212,16527,4401,12126,6758,766,5992
N06000017,92049,12360,79689,27752,1463,26289,11027,1165,9862,14416,2065,12351,10705,1979,8726,19789,4857,14932,8360,831,7529
N06000018,70709,10556,60153,25130,1432,23698,7766,1010,6756,10153,1976,8177,7819,1573,6246,14309,3846,10463,5532,719,4813
