ColumnVariableCode,ColumnVariableMeasurementUnit,ColumnVariableStatisticalUnit,ColumnVariableDescription
LC6502NI0001,Count,PERSONS,"All categories: NS-SeC, All categories: Highest level of qualification"
LC6502NI0002,Count,PERSONS,"All categories: NS-SeC, No qualifications"
LC6502NI0003,Count,PERSONS,"All categories: NS-SeC, Level 1 qualifications"
LC6502NI0004,Count,PERSONS,"All categories: NS-SeC, Level 2 qualifications"
LC6502NI0005,Count,PERSONS,"All categories: NS-SeC, Level 3 qualifications"
LC6502NI0006,Count,PERSONS,"All categories: NS-SeC, Level 4 qualifications and above"
LC6502NI0007,Count,PERSONS,"All categories: NS-SeC, Other qualifications"
LC6502NI0008,Count,PERSONS,"Managerial, administrative and professional occupations, All categories: Highest level of qualification"
LC6502NI0009,Count,PERSONS,"Managerial, administrative and professional occupations, No qualifications"
LC6502NI0010,Count,PERSONS,"Managerial, administrative and professional occupations, Level 1 qualifications"
LC6502NI0011,Count,PERSONS,"Managerial, administrative and professional occupations, Level 2 qualifications"
LC6502NI0012,Count,PERSONS,"Managerial, administrative and professional occupations, Level 3 qualifications"
LC6502NI0013,Count,PERSONS,"Managerial, administrative and professional occupations, Level 4 qualifications and above"
LC6502NI0014,Count,PERSONS,"Managerial, administrative and professional occupations, Other qualifications"
LC6502NI0015,Count,PERSONS,"Intermediate occupations and small employers, All categories: Highest level of qualification"
LC6502NI0016,Count,PERSONS,"Intermediate occupations and small employers, No qualifications"
LC6502NI0017,Count,PERSONS,"Intermediate occupations and small employers, Level 1 qualifications"
LC6502NI0018,Count,PERSONS,"Intermediate occupations and small employers, Level 2 qualifications"
LC6502NI0019,Count,PERSONS,"Intermediate occupations and small employers, Level 3 qualifications"
LC6502NI0020,Count,PERSONS,"Intermediate occupations and small employers, Level 4 qualifications and above"
LC6502NI0021,Count,PERSONS,"Intermediate occupations and small employers, Other qualifications"
LC6502NI0022,Count,PERSONS,"Routine and manual occupations, All categories: Highest level of qualification"
LC6502NI0023,Count,PERSONS,"Routine and manual occupations, No qualifications"
LC6502NI0024,Count,PERSONS,"Routine and manual occupations, Level 1 qualifications"
LC6502NI0025,Count,PERSONS,"Routine and manual occupations, Level 2 qualifications"
LC6502NI0026,Count,PERSONS,"Routine and manual occupations, Level 3 qualifications"
LC6502NI0027,Count,PERSONS,"Routine and manual occupations, Level 4 qualifications and above"
LC6502NI0028,Count,PERSONS,"Routine and manual occupations, Other qualifications"
LC6502NI0029,Count,PERSONS,"Never worked, long-term unemployed and full-time students, All categories: Highest level of qualification"
LC6502NI0030,Count,PERSONS,"Never worked, long-term unemployed and full-time students, No qualifications"
LC6502NI0031,Count,PERSONS,"Never worked, long-term unemployed and full-time students, Level 1 qualifications"
LC6502NI0032,Count,PERSONS,"Never worked, long-term unemployed and full-time students, Level 2 qualifications"
LC6502NI0033,Count,PERSONS,"Never worked, long-term unemployed and full-time students, Level 3 qualifications"
LC6502NI0034,Count,PERSONS,"Never worked, long-term unemployed and full-time students, Level 4 qualifications and above"
LC6502NI0035,Count,PERSONS,"Never worked, long-term unemployed and full-time students, Other qualifications"
