GeographyCode,LC6503NI0001,LC6503NI0002,LC6503NI0003,LC6503NI0004,LC6503NI0005,LC6503NI0006,LC6503NI0007,LC6503NI0008,LC6503NI0009,LC6503NI0010,LC6503NI0011,LC6503NI0012,LC6503NI0013,LC6503NI0014,LC6503NI0015,LC6503NI0016,LC6503NI0017,LC6503NI0018,LC6503NI0019,LC6503NI0020,LC6503NI0021,LC6503NI0022,LC6503NI0023,LC6503NI0024,LC6503NI0025,LC6503NI0026,LC6503NI0027,LC6503NI0028,LC6503NI0029,LC6503NI0030,LC6503NI0031,LC6503NI0032,LC6503NI0033,LC6503NI0034,LC6503NI0035,LC6503NI0036,LC6503NI0037,LC6503NI0038,LC6503NI0039,LC6503NI0040,LC6503NI0041,LC6503NI0042,LC6503NI0043,LC6503NI0044,LC6503NI0045,LC6503NI0046,LC6503NI0047,LC6503NI0048,LC6503NI0049,LC6503NI0050,LC6503NI0051,LC6503NI0052,LC6503NI0053,LC6503NI0054,LC6503NI0055,LC6503NI0056,LC6503NI0057,LC6503NI0058,LC6503NI0059,LC6503NI0060,LC6503NI0061,LC6503NI0062,LC6503NI0063
N06000001,67039,45800,21239,15614,5749,9865,8191,5791,2400,9809,7108,2701,8189,6459,1730,19567,16843,2724,5669,3850,1819,36699,29663,7036,4597,2324,2273,5059,3781,1278,6428,4903,1525,5795,4793,1002,12505,11820,685,2315,2042,273,30340,16137,14203,11017,3425,7592,3132,2010,1122,3381,2205,1176,2394,1666,728,7062,5023,2039,3354,1808,1546
N06000002,73558,45602,27956,23123,7799,15324,10494,7006,3488,11321,7961,3360,8688,6910,1778,14535,12255,2280,5397,3671,1726,40630,29950,10680,7353,3383,3970,7090,4855,2235,8123,5885,2238,6522,5364,1158,9305,8566,739,2237,1897,340,32928,15652,17276,15770,4416,11354,3404,2151,1253,3198,2076,1122,2166,1546,620,5230,3689,1541,3160,1774,1386
N06000003,86086,59911,26175,12939,4487,8452,6883,4490,2393,9812,6471,3341,15871,10930,4941,35103,29823,5280,5478,3710,1768,54945,42131,12814,4349,2007,2342,4251,2938,1313,6649,4470,2179,13629,9317,4312,23185,21104,2081,2882,2295,587,31141,17780,13361,8590,2480,6110,2632,1552,1080,3163,2001,1162,2242,1613,629,11918,8719,3199,2596,1415,1181
N06000004,67002,38843,28159,23322,7142,16180,9945,6367,3578,10860,7330,3530,8072,6241,1831,10458,8856,1602,4345,2907,1438,38875,26904,11971,8290,3455,4835,6899,4569,2330,8245,5680,2565,6297,5003,1294,7141,6568,573,2003,1629,374,28127,11939,16188,15032,3687,11345,3046,1798,1248,2615,1650,965,1775,1238,537,3317,2288,1029,2342,1278,1064
N06000005,66012,44880,21132,14123,5537,8586,8650,6224,2426,11016,7934,3082,9767,7662,2105,16466,13443,3023,5990,4080,1910,34118,26886,7232,3705,1883,1822,5190,3951,1239,7086,5300,1786,7132,5756,1376,8877,8171,706,2128,1825,303,31894,17994,13900,10418,3654,6764,3460,2273,1187,3930,2634,1296,2635,1906,729,7589,5272,2317,3862,2255,1607
N06000006,72822,46103,26719,20060,7795,12265,8932,6020,2912,11611,7751,3860,9821,7314,2507,16681,13174,3507,5717,4049,1668,39111,28466,10645,6128,2989,3139,5592,3856,1736,7831,5249,2582,7578,5713,1865,9397,8485,912,2585,2174,411,33711,17637,16074,13932,4806,9126,3340,2164,1176,3780,2502,1278,2243,1601,642,7284,4689,2595,3132,1875,1257
N06000007,73713,50082,23631,20493,8999,11494,8848,6377,2471,11575,8063,3512,8659,6835,1824,16418,13685,2733,7720,6123,1597,40670,31490,9180,6144,3359,2785,5532,4055,1477,7842,5485,2357,6505,5187,1318,10330,9568,762,4317,3836,481,33043,18592,14451,14349,5640,8709,3316,2322,994,3733,2578,1155,2154,1648,506,6088,4117,1971,3403,2287,1116
N06000008,73474,44206,29268,21903,7136,14767,9020,5683,3337,11420,7406,4014,9650,7247,2403,16541,13466,3075,4940,3268,1672,42012,29486,12526,7625,3399,4226,6163,4026,2137,8591,5601,2990,7444,5674,1770,10005,9024,981,2184,1762,422,31462,14720,16742,14278,3737,10541,2857,1657,1200,2829,1805,1024,2206,1573,633,6536,4442,2094,2756,1506,1250
N06000009,73686,51554,22132,15066,6093,8973,9086,6561,2525,12028,8621,3407,9595,7626,1969,21727,18264,3463,6184,4389,1795,39070,31595,7475,4097,2075,2022,5540,4218,1322,7600,5694,1906,6693,5519,1174,12674,11889,785,2466,2200,266,34616,19959,14657,10969,4018,6951,3546,2343,1203,4428,2927,1501,2902,2107,795,9053,6375,2678,3718,2189,1529
N06000010,70671,46574,24097,20267,8445,11822,8601,5907,2694,11347,7717,3630,8946,6767,2179,15101,12641,2460,6409,5097,1312,41531,31282,10249,6201,3267,2934,5930,4178,1752,8289,5640,2649,7337,5573,1764,10203,9422,781,3571,3202,369,29140,15292,13848,14066,5178,8888,2671,1729,942,3058,2077,981,1609,1194,415,4898,3219,1679,2838,1895,943
