GeographyCode,LC2102NI0001,LC2102NI0002,LC2102NI0003,LC2102NI0004,LC2102NI0005,LC2102NI0006,LC2102NI0007,LC2102NI0008,LC2102NI0009,LC2102NI0010,LC2102NI0011,LC2102NI0012,LC2102NI0013,LC2102NI0014,LC2102NI0015,LC2102NI0016,LC2102NI0017,LC2102NI0018,LC2102NI0019,LC2102NI0020,LC2102NI0021
95AA01,4444,4310,134,2166,638,735,905,2272,2208,64,1109,325,362,476,2172,2102,70,1057,313,373,429
95AA02,1734,1675,59,957,178,348,251,860,829,31,478,93,160,129,874,846,28,479,85,188,122
95AA03,1822,1782,40,1208,68,317,229,856,838,18,555,35,150,116,966,944,22,653,33,167,113
95AA04,3013,2990,23,1632,436,560,385,1557,1545,12,832,221,285,219,1456,1445,11,800,215,275,166
95AA05,2701,2655,46,871,778,798,254,1352,1331,21,432,403,382,135,1349,1324,25,439,375,416,119
95AA06,4647,4596,51,930,2359,991,367,2224,2196,28,417,1156,459,192,2423,2400,23,513,1203,532,175
95AA07,2140,2097,43,1348,113,344,335,1070,1049,21,683,52,157,178,1070,1048,22,665,61,187,157
95AA08,1698,1629,69,823,214,427,234,830,796,34,412,110,194,114,868,833,35,411,104,233,120
95AA09,2220,2122,98,1283,132,409,396,1036,989,47,568,73,198,197,1184,1133,51,715,59,211,199
95AA10,1953,1888,65,1007,181,458,307,948,914,34,483,90,215,160,1005,974,31,524,91,243,147
95AA11,5364,5036,328,2497,560,1222,1085,2678,2503,175,1219,289,591,579,2686,2533,153,1278,271,631,506
95AA12,2775,2765,10,1771,85,453,466,1401,1397,4,897,45,235,224,1374,1368,6,874,40,218,242
95AA13,3307,3140,167,1029,918,859,501,1618,1543,75,498,471,414,235,1689,1597,92,531,447,445,266
95AA14,2349,2336,13,1145,353,511,340,1150,1142,8,554,167,259,170,1199,1194,5,591,186,252,170
95AA15,4186,3775,411,1875,452,920,939,2047,1823,224,928,227,407,485,2139,1952,187,947,225,513,454
95AA16,1807,1665,142,1032,40,353,382,876,805,71,474,22,166,214,931,860,71,558,18,187,168
95AA17,2142,2056,86,1105,216,536,285,1051,1008,43,530,113,262,146,1091,1048,43,575,103,274,139
