GeographyCode,LC2120NI0001,LC2120NI0002,LC2120NI0003,LC2120NI0004,LC2120NI0005,LC2120NI0006,LC2120NI0007,LC2120NI0008,LC2120NI0009,LC2120NI0010,LC2120NI0011,LC2120NI0012,LC2120NI0013,LC2120NI0014,LC2120NI0015,LC2120NI0016,LC2120NI0017,LC2120NI0018,LC2120NI0019,LC2120NI0020,LC2120NI0021,LC2120NI0022,LC2120NI0023,LC2120NI0024,LC2120NI0025,LC2120NI0026,LC2120NI0027,LC2120NI0028,LC2120NI0029,LC2120NI0030,LC2120NI0031,LC2120NI0032,LC2120NI0033,LC2120NI0034,LC2120NI0035,LC2120NI0036
95AA01,3194,1086,1770,338,1607,545,882,180,1587,541,888,158,2168,708,1208,252,1086,348,610,128,1082,360,598,124,1026,378,562,86,521,197,272,52,505,181,290,34
95AA02,1468,484,910,74,720,231,452,37,748,253,458,37,738,238,461,39,370,112,240,18,368,126,221,21,730,246,449,35,350,119,212,19,380,127,237,16
95AA03,1436,151,1176,109,662,76,526,60,774,75,650,49,668,90,536,42,333,49,261,23,335,41,275,19,768,61,640,67,329,27,265,37,439,34,375,30
95AA04,2364,625,1615,124,1217,319,825,73,1147,306,790,51,1484,373,1042,69,741,179,526,36,743,194,516,33,880,252,573,55,476,140,299,37,404,112,274,18
95AA05,2036,1240,725,71,1010,600,370,40,1026,640,355,31,1238,720,470,48,618,354,236,28,620,366,234,20,798,520,255,23,392,246,134,12,406,274,121,11
95AA06,3303,2606,627,70,1558,1223,293,42,1745,1383,334,28,1882,1497,345,40,941,738,176,27,941,759,169,13,1421,1109,282,30,617,485,117,15,804,624,165,15
95AA07,1693,257,1364,72,837,107,692,38,856,150,672,34,1020,134,843,43,509,53,431,25,511,81,412,18,673,123,521,29,328,54,261,13,345,69,260,16
95AA08,1325,584,626,115,635,270,302,63,690,314,324,52,614,248,311,55,308,121,155,32,306,127,156,23,711,336,315,60,327,149,147,31,384,187,168,29
95AA09,1695,390,1128,177,798,191,513,94,897,199,615,83,858,188,588,82,426,93,289,44,432,95,299,38,837,202,540,95,372,98,224,50,465,104,316,45
95AA10,1551,635,788,128,735,284,384,67,816,351,404,61,832,285,490,57,416,138,249,29,416,147,241,28,719,350,298,71,319,146,135,38,400,204,163,33
95AA11,3917,1540,2057,320,1894,719,993,182,2023,821,1064,138,2482,982,1318,182,1234,462,666,106,1248,520,652,76,1435,558,739,138,660,257,327,76,775,301,412,62
95AA12,2162,145,1917,100,1086,67,964,55,1076,78,953,45,1438,91,1293,54,716,38,647,31,722,53,646,23,724,54,624,46,370,29,317,24,354,25,307,22
95AA13,2490,1680,714,96,1198,800,344,54,1292,880,370,42,1399,963,387,49,695,466,202,27,704,497,185,22,1091,717,327,47,503,334,142,27,588,383,185,20
95AA14,1805,636,1113,56,872,294,550,28,933,342,563,28,1146,377,734,35,569,184,367,18,577,193,367,17,659,259,379,21,303,110,183,10,356,149,196,11
95AA15,3066,1319,1436,311,1455,613,667,175,1611,706,769,136,1792,711,918,163,896,338,466,92,896,373,452,71,1274,608,518,148,559,275,201,83,715,333,317,65
95AA16,1463,281,1060,122,702,142,495,65,761,139,565,57,728,150,529,49,365,71,269,25,363,79,260,24,735,131,531,73,337,71,226,40,398,60,305,33
95AA17,1669,651,867,151,795,309,403,83,874,342,464,68,880,351,463,66,441,169,234,38,439,182,229,28,789,300,404,85,354,140,169,45,435,160,235,40
95AA18,1997,267,1613,117,952,117,768,67,1045,150,845,50,1314,175,1081,58,660,74,557,29,654,101,524,29,683,92,532,59,292,43,211,38,391,49,321,21
95AA19,1964,1775,164,25,958,864,80,14,1006,911,84,11,1034,927,95,12,518,465,47,6,516,462,48,6,930,848,69,13,440,399,33,8,490,449,36,5
95BB01,2837,353,2291,193,1383,171,1103,109,1454,182,1188,84,1806,187,1520,99,902,95,752,55,904,92,768,44,1031,166,771,94,481,76,351,54,550,90,420,40
95BB02,2007,198,1650,159,962,95,778,89,1045,103,872,70,980,88,821,71,490,34,418,38,490,54,403,33,1027,110,829,88,472,61,360,51,555,49,469,37
95BB03,3400,198,2928,274,1642,98,1389,155,1758,100,1539,119,2124,136,1841,147,1059,70,908,81,1065,66,933,66,1276,62,1087,127,583,28,481,74,693,34,606,53
95BB04,2578,185,2201,192,1251,87,1048,116,1327,98,1153,76,1626,111,1423,92,817,50,715,52,809,61,708,40,952,74,778,100,434,37,333,64,518,37,445,36
95BB05,2759,93,2455,211,1360,45,1208,107,1399,48,1247,104,1804,65,1624,115,901,31,810,60,903,34,814,55,955,28,831,96,459,14,398,47,496,14,433,49
95BB06,2484,290,1924,270,1185,133,896,156,1299,157,1028,114,1094,131,866,97,550,59,437,54,544,72,429,43,1390,159,1058,173,635,74,459,102,755,85,599,71
95BB07,2388,99,2097,192,1121,41,973,107,1267,58,1124,85,1336,48,1190,98,665,23,590,52,671,25,600,46,1052,51,907,94,456,18,383,55,596,33,524,39
95BB08,2102,128,1814,160,975,51,841,83,1127,77,973,77,1272,75,1109,88,634,36,550,48,638,39,559,40,830,53,705,72,341,15,291,35,489,38,414,37
95BB09,2473,113,2162,198,1209,47,1046,116,1264,66,1116,82,1562,62,1396,104,783,28,690,65,779,34,706,39,911,51,766,94,426,19,356,51,485,32,410,43
95BB10,2780,196,2357,227,1325,82,1118,125,1455,114,1239,102,1666,112,1444,110,838,50,731,57,828,62,713,53,1114,84,913,117,487,32,387,68,627,52,526,49
95BB11,2428,124,2136,168,1158,51,1007,100,1270,73,1129,68,1306,66,1163,77,653,28,582,43,653,38,581,34,1122,58,973,91,505,23,425,57,617,35,548,34
95BB12,2177,208,1754,215,1010,85,811,114,1167,123,943,101,1244,110,1041,93,618,48,519,51,626,62,522,42,933,98,713,122,392,37,292,63,541,61,421,59
95BB13,3442,249,2895,298,1649,114,1373,162,1793,135,1522,136,2178,144,1881,153,1085,63,930,92,1093,81,951,61,1264,105,1014,145,564,51,443,70,700,54,571,75
95BB14,2505,147,2160,198,1237,65,1053,119,1268,82,1107,79,1624,106,1405,113,814,48,696,70,810,58,709,43,881,41,755,85,423,17,357,49,458,24,398,36
95BB15,2699,1561,1009,129,1328,767,487,74,1371,794,522,55,1574,861,646,67,786,426,321,39,788,435,325,28,1125,700,363,62,542,341,166,35,583,359,197,27
