GeographyCode,LC2211NI0001,LC2211NI0002,LC2211NI0003,LC2211NI0004,LC2211NI0005,LC2211NI0006,LC2211NI0007,LC2211NI0008,LC2211NI0009,LC2211NI0010,LC2211NI0011,LC2211NI0012
95AA01,4202,1427,2191,584,329,275,31,23,3873,1152,2160,561
95AA02,1683,555,1027,101,99,81,13,5,1584,474,1014,96
95AA03,1736,182,1375,179,60,36,21,3,1676,146,1354,176
95AA04,2922,799,1937,186,187,160,22,5,2735,639,1915,181
95AA05,2586,1602,873,111,423,405,15,3,2163,1197,858,108
95AA06,4421,3568,745,108,835,812,9,14,3586,2756,736,94
95AA07,2070,319,1640,111,59,37,19,3,2011,282,1621,108
95AA08,1616,718,734,164,104,92,9,3,1512,626,725,161
95AA09,2105,466,1411,228,76,64,8,4,2029,402,1403,224
95AA10,1884,770,920,194,93,76,15,2,1791,694,905,192
95AA11,5109,1966,2652,491,301,262,31,8,4808,1704,2621,483
95AA12,2690,187,2335,168,41,27,14,0,2649,160,2321,168
95AA13,3147,2161,846,140,438,413,20,5,2709,1748,826,135
95AA14,2275,846,1334,95,209,200,7,2,2066,646,1327,93
95AA15,3906,1642,1792,472,234,186,38,10,3672,1456,1754,462
95AA16,1722,326,1230,166,54,35,14,5,1668,291,1216,161
95AA17,2044,778,1029,237,117,101,13,3,1927,677,1016,234
95AA18,2369,323,1855,191,78,49,24,5,2291,274,1831,186
95AA19,2555,2293,222,40,546,535,5,6,2009,1758,217,34
95BB01,3485,396,2805,284,112,50,53,9,3373,346,2752,275
95BB02,2280,222,1842,216,83,26,55,2,2197,196,1787,214
95BB03,4058,228,3450,380,90,32,51,7,3968,196,3399,373
95BB04,2959,212,2484,263,59,24,31,4,2900,188,2453,259
95BB05,3301,107,2879,315,65,15,43,7,3236,92,2836,308
95BB06,2778,325,2122,331,95,31,49,15,2683,294,2073,316
95BB07,2850,111,2458,281,59,14,36,9,2791,97,2422,272
95BB08,2508,144,2132,232,69,33,30,6,2439,111,2102,226
95BB09,2850,126,2450,274,35,11,21,3,2815,115,2429,271
95BB10,3242,239,2672,331,102,41,49,12,3140,198,2623,319
95BB11,2868,138,2482,248,55,20,31,4,2813,118,2451,244
95BB12,2651,230,2068,353,64,24,32,8,2587,206,2036,345
95BB13,4271,301,3488,482,70,22,38,10,4201,279,3450,472
95BB14,3036,201,2553,282,63,29,31,3,2973,172,2522,279
95BB15,3358,1944,1217,197,307,288,17,2,3051,1656,1200,195
95BB16,3052,166,2612,274,57,17,28,12,2995,149,2584,262
95BB17,3406,224,2721,461,79,25,37,17,3327,199,2684,444
95BB18,4094,194,3427,473,70,20,38,12,4024,174,3389,461
95BB19,4603,394,3718,491,68,22,27,19,4535,372,3691,472
95BB20,3297,2607,558,132,427,401,18,8,2870,2206,540,124
95BB21,4514,557,3548,409,164,95,59,10,4350,462,3489,399
95BB22,2911,161,2367,383,69,23,30,16,2842,138,2337,367
95BB23,2941,329,2349,263,66,32,30,4,2875,297,2319,259
95CC01,2462,2156,247,59,549,538,6,5,1913,1618,241,54
95CC02,2613,1824,747,42,581,556,11,14,2032,1268,736,28
95CC03,2649,2271,221,157,577,555,10,12,2072,1716,211,145
95CC04,2348,1653,665,30,500,472,20,8,1848,1181,645,22
95CC05,2655,1722,853,80,476,446,14,16,2179,1276,839,64
95CC06,2648,1456,1090,102,449,421,19,9,2199,1035,1071,93
95CC07,3309,2686,579,44,698,681,15,2,2611,2005,564,42
95CC08,2446,2227,169,50,623,613,6,4,1823,1614,163,46
95CC09,3220,279,2797,144,89,60,28,1,3131,219,2769,143
95CC10,2505,480,1928,97,170,139,28,3,2335,341,1900,94
95CC11,1732,1573,131,28,344,334,9,1,1388,1239,122,27
95CC12,2650,1258,1335,57,368,361,5,2,2282,897,1330,55
95CC13,2365,1228,1085,52,379,351,28,0,1986,877,1057,52
95CC14,2892,300,2424,168,125,73,40,12,2767,227,2384,156
95CC15,2781,1088,1597,96,305,281,21,3,2476,807,1576,93
95CC16,2715,406,2184,125,102,69,32,1,2613,337,2152,124
95CC17,2609,1769,783,57,527,507,19,1,2082,1262,764,56
95CC18,2270,1167,1001,102,330,287,37,6,1940,880,964,96
95CC19,2599,902,1602,95,240,218,20,2,2359,684,1582,93
95CC20,2857,190,2524,143,63,27,30,6,2794,163,2494,137
95CC21,2791,354,2278,159,111,72,34,5,2680,282,2244,154
95CC22,1676,378,1194,104,110,75,32,3,1566,303,1162,101
95DD01,2053,322,1629,102,64,45,18,1,1989,277,1611,101
95DD02,3720,217,3333,170,73,41,27,5,3647,176,3306,165
95DD03,3354,563,2514,277,142,100,25,17,3212,463,2489,260
95DD04,1836,124,1570,142,36,11,24,1,1800,113,1546,141
95DD05,1665,98,1426,141,61,8,45,8,1604,90,1381,133
95DD06,2537,521,1866,150,101,87,13,1,2436,434,1853,149
95DD07,3214,176,2863,175,71,26,43,2,3143,150,2820,173
95DD08,2051,791,1091,169,178,132,34,12,1873,659,1057,157
95DD09,2506,164,2225,117,50,31,16,3,2456,133,2209,114
95DD10,2710,105,2420,185,49,12,34,3,2661,93,2386,182
95DD11,2215,1248,795,172,183,163,15,5,2032,1085,780,167
95DD12,2506,384,2016,106,111,89,21,1,2395,295,1995,105
95DD13,1709,961,636,112,157,144,8,5,1552,817,628,107
95DD14,3177,228,2752,197,70,35,26,9,3107,193,2726,188
95DD15,3295,1994,1216,85,446,432,11,3,2849,1562,1205,82
95DD16,2892,355,2397,140,99,62,33,4,2793,293,2364,136
95DD17,3317,1318,1886,113,330,308,21,1,2987,1010,1865,112
95DD18,1822,153,1538,131,43,13,29,1,1779,140,1509,130
95DD19,3213,170,2871,172,68,33,35,0,3145,137,2836,172
95DD20,1688,121,1443,124,51,12,38,1,1637,109,1405,123
95DD21,2055,712,1182,161,148,117,20,11,1907,595,1162,150
95DD22,3012,1040,1899,73,274,242,29,3,2738,798,1870,70
95DD23,2438,303,1993,142,70,49,20,1,2368,254,1973,141
95DD24,2616,1732,754,130,386,364,15,7,2230,1368,739,123
95EE01,1821,1665,136,20,337,335,2,0,1484,1330,134,20
95EE02,2004,123,1764,117,60,18,34,8,1944,105,1730,109
95EE03,1924,322,1477,125,61,30,24,7,1863,292,1453,118
95EE04,1923,741,1103,79,158,144,13,1,1765,597,1090,78
95EE05,1454,147,1229,78,40,20,18,2,1414,127,1211,76
95EE06,2178,1788,363,27,427,409,16,2,1751,1379,347,25
95EE07,1723,289,1320,114,68,33,33,2,1655,256,1287,112
95EE08,1678,270,1296,112,51,31,16,4,1627,239,1280,108
95EE09,1818,631,1099,88,205,171,32,2,1613,460,1067,86
95EE10,1706,1009,651,46,287,279,7,1,1419,730,644,45
95EE11,1615,556,988,71,157,136,20,1,1458,420,968,70
95EE12,2376,310,1933,133,104,48,50,6,2272,262,1883,127
95EE13,1472,339,1049,84,78,43,33,2,1394,296,1016,82
95EE14,2565,379,2021,165,96,57,37,2,2469,322,1984,163
95EE15,1651,344,1216,91,50,35,13,2,1601,309,1203,89
95EE16,2029,587,1359,83,147,129,14,4,1882,458,1345,79
95FF01,4566,1383,2876,307,337,283,38,16,4229,1100,2838,291
95FF02,2659,1505,1075,79,307,294,10,3,2352,1211,1065,76
95FF03,2850,1088,1581,181,178,152,16,10,2672,936,1565,171
95FF04,2512,930,1482,100,239,216,18,5,2273,714,1464,95
95FF05,2442,440,1826,176,93,60,27,6,2349,380,1799,170
95FF06,3918,557,3043,318,109,75,28,6,3809,482,3015,312
95FF07,2616,1269,1204,143,246,210,28,8,2370,1059,1176,135
95FF08,2277,624,1541,112,120,102,17,1,2157,522,1524,111
95FF09,2421,958,1321,142,155,139,12,4,2266,819,1309,138
95FF10,3297,463,2629,205,97,76,20,1,3200,387,2609,204
95FF11,2466,732,1616,118,139,122,14,3,2327,610,1602,115
95FF12,2614,1395,1109,110,301,286,13,2,2313,1109,1096,108
95FF13,2583,896,1585,102,191,171,13,7,2392,725,1572,95
95FF14,2362,338,1895,129,66,41,22,3,2296,297,1873,126
95FF15,2593,971,1509,113,229,196,26,7,2364,775,1483,106
95FF16,2279,518,1645,116,125,78,39,8,2154,440,1606,108
95FF17,1657,595,953,109,95,71,16,8,1562,524,937,101
95GG01,4771,4518,169,84,1298,1269,11,18,3473,3249,158,66
95GG02,5669,5262,292,115,1273,1242,17,14,4396,4020,275,101
95GG03,5714,976,3962,776,264,189,50,25,5450,787,3912,751
95GG04,4662,2379,1954,329,665,598,41,26,3997,1781,1913,303
95GG05,5692,3261,1564,867,1022,874,68,80,4670,2387,1496,787
95GG06,5391,414,4531,446,165,92,67,6,5226,322,4464,440
95GG07,5223,4765,316,142,1286,1244,15,27,3937,3521,301,115
95GG08,4655,2962,1387,306,694,648,35,11,3961,2314,1352,295
95GG09,5904,497,4825,582,146,78,57,11,5758,419,4768,571
95GG10,3857,575,2778,504,137,83,36,18,3720,492,2742,486
95GG11,5224,835,3696,693,224,133,65,26,5000,702,3631,667
95GG12,8735,5328,2052,1355,1999,1756,113,130,6736,3572,1939,1225
95GG13,4527,1710,2484,333,510,456,34,20,4017,1254,2450,313
95GG14,4653,2651,1783,219,779,739,31,9,3874,1912,1752,210
95GG15,5715,812,4355,548,195,139,46,10,5520,673,4309,538
95GG16,5210,3886,903,421,1189,1116,28,45,4021,2770,875,376
95GG17,5085,3612,1216,257,997,942,29,26,4088,2670,1187,231
95GG18,4720,4279,298,143,1089,1059,16,14,3631,3220,282,129
95GG19,4386,481,3641,264,177,100,71,6,4209,381,3570,258
95GG20,4659,1085,3016,558,358,244,76,38,4301,841,2940,520
95GG21,4953,4347,375,231,868,841,11,16,4085,3506,364,215
95GG22,5147,4869,168,110,1511,1475,11,25,3636,3394,157,85
95GG23,4413,2165,1909,339,597,560,28,9,3816,1605,1881,330
95GG24,4383,1798,2235,350,488,431,36,21,3895,1367,2199,329
95GG25,5366,5108,172,86,1560,1524,10,26,3806,3584,162,60
95GG26,3587,629,2721,237,214,152,54,8,3373,477,2667,229
95GG27,6230,5808,318,104,1563,1540,9,14,4667,4268,309,90
95GG28,5395,507,4500,388,192,137,44,11,5203,370,4456,377
95GG29,4739,654,3353,732,200,117,62,21,4539,537,3291,711
95GG30,4654,417,3761,476,148,90,48,10,4506,327,3713,466
95GG31,6297,5383,692,222,1457,1426,11,20,4840,3957,681,202
95GG32,6072,2896,2820,356,747,674,53,20,5325,2222,2767,336
95GG33,5417,3317,1657,443,844,784,37,23,4573,2533,1620,420
95GG34,4741,2871,1587,283,882,837,32,13,3859,2034,1555,270
95GG35,4729,4224,361,144,868,840,10,18,3861,3384,351,126
95GG36,5370,570,4220,580,221,134,67,20,5149,436,4153,560
95GG37,5824,2292,2792,740,737,618,71,48,5087,1674,2721,692
95GG38,6301,3698,1973,630,1105,1006,52,47,5196,2692,1921,583
95GG39,6952,2470,3321,1161,754,578,115,61,6198,1892,3206,1100
95GG40,3654,275,3111,268,104,36,59,9,3550,239,3052,259
95GG41,5382,683,4109,590,179,129,43,7,5203,554,4066,583
95GG42,7931,3733,3115,1083,1318,1143,105,70,6613,2590,3010,1013
95GG43,4659,448,3588,623,152,90,52,10,4507,358,3536,613
95GG44,5338,851,3697,790,234,117,83,34,5104,734,3614,756
95GG45,4658,1357,2830,471,368,316,32,20,4290,1041,2798,451
95GG46,5049,4730,231,88,1183,1162,6,15,3866,3568,225,73
95GG47,5588,4914,399,275,1139,1064,28,47,4449,3850,371,228
95GG48,5432,5065,257,110,1170,1132,17,21,4262,3933,240,89
95GG49,7974,3323,3282,1369,1163,938,125,100,6811,2385,3157,1269
95GG50,5219,1002,3357,860,317,203,72,42,4902,799,3285,818
95GG51,3898,222,3431,245,87,39,35,13,3811,183,3396,232
95HH01,1983,293,1435,255,63,31,26,6,1920,262,1409,249
95HH02,2861,188,2388,285,30,21,8,1,2831,167,2380,284
95HH03,1625,182,1328,115,54,29,20,5,1571,153,1308,110
95HH04,2989,209,2518,262,53,36,15,2,2936,173,2503,260
95HH05,2051,123,1690,238,50,18,21,11,2001,105,1669,227
95HH06,4602,321,3818,463,72,33,30,9,4530,288,3788,454
95HH07,1438,99,1187,152,28,10,16,2,1410,89,1171,150
95HH08,2530,385,1885,260,99,70,23,6,2431,315,1862,254
95HH09,2541,384,1856,301,78,40,29,9,2463,344,1827,292
95HH10,2407,252,1902,253,52,35,17,0,2355,217,1885,253
95HH11,1358,84,1107,167,24,9,13,2,1334,75,1094,165
95HH12,1503,82,1213,208,26,9,14,3,1477,73,1199,205
95HH13,1340,69,1109,162,33,4,24,5,1307,65,1085,157
95HH14,1481,142,1185,154,29,14,11,4,1452,128,1174,150
95HH15,2551,256,2049,246,42,28,13,1,2509,228,2036,245
95HH16,2093,396,1431,266,73,43,26,4,2020,353,1405,262
95HH17,2386,150,2050,186,35,16,16,3,2351,134,2034,183
95II01,3007,144,2610,253,49,17,28,4,2958,127,2582,249
95II02,4800,1604,2740,456,367,324,35,8,4433,1280,2705,448
95II03,3380,1559,1505,316,322,300,15,7,3058,1259,1490,309
95II04,4143,186,3540,417,73,23,39,11,4070,163,3501,406
95II05,3429,1662,1525,242,370,340,26,4,3059,1322,1499,238
95II06,3225,1549,1403,273,302,269,22,11,2923,1280,1381,262
95II07,1999,166,1604,229,66,26,30,10,1933,140,1574,219
95II08,2322,248,1837,237,65,37,17,11,2257,211,1820,226
95II09,3238,278,2626,334,58,27,25,6,3180,251,2601,328
95II10,2501,82,2143,276,65,19,40,6,2436,63,2103,270
95II11,2470,1150,1119,201,260,235,19,6,2210,915,1100,195
95II12,2435,225,1988,222,55,31,21,3,2380,194,1967,219
95II13,2578,168,2112,298,72,24,36,12,2506,144,2076,286
95II14,2473,685,1611,177,154,128,23,3,2319,557,1588,174
95II15,3199,1464,1411,324,361,333,18,10,2838,1131,1393,314
95II16,2060,106,1788,166,44,21,23,0,2016,85,1765,166
95II17,2424,115,2056,253,54,15,28,11,2370,100,2028,242
95II18,2155,164,1805,186,55,28,21,6,2100,136,1784,180
95II19,3683,450,2994,239,145,107,29,9,3538,343,2965,230
95II20,2654,1020,1369,265,263,228,20,15,2391,792,1349,250
95II21,2301,80,1996,225,36,12,24,0,2265,68,1972,225
95II22,2164,134,1828,202,51,16,28,7,2113,118,1800,195
95II23,2116,950,952,214,205,165,22,18,1911,785,930,196
95JJ01,2416,566,1744,106,139,113,23,3,2277,453,1721,103
95JJ02,2315,713,1428,174,170,123,31,16,2145,590,1397,158
95JJ03,2338,305,1804,229,70,26,39,5,2268,279,1765,224
95JJ04,2997,503,2342,152,91,44,43,4,2906,459,2299,148
95JJ05,1771,495,1142,134,107,66,34,7,1664,429,1108,127
95JJ06,2357,949,1261,147,126,85,32,9,2231,864,1229,138
95JJ07,2517,553,1811,153,107,67,36,4,2410,486,1775,149
95JJ08,3175,766,2183,226,229,155,59,15,2946,611,2124,211
95JJ09,1948,117,1743,88,51,9,40,2,1897,108,1703,86
95JJ10,2679,1257,1350,72,368,337,30,1,2311,920,1320,71
95JJ11,3639,807,2582,250,150,105,38,7,3489,702,2544,243
95JJ12,2595,1724,795,76,371,359,8,4,2224,1365,787,72
95JJ13,3725,671,2784,270,132,90,35,7,3593,581,2749,263
95JJ14,2242,247,1901,94,63,33,27,3,2179,214,1874,91
95JJ15,1813,566,1127,120,115,87,25,3,1698,479,1102,117
95JJ16,1750,567,1031,152,122,99,15,8,1628,468,1016,144
95JJ17,2360,1160,1109,91,287,269,16,2,2073,891,1093,89
95JJ18,1983,549,1264,170,114,82,25,7,1869,467,1239,163
95JJ19,2874,1158,1557,159,358,314,35,9,2516,844,1522,150
95JJ20,3968,862,2887,219,134,108,25,1,3834,754,2862,218
95JJ21,2801,672,1867,262,223,155,49,19,2578,517,1818,243
95JJ22,2727,665,1837,225,130,101,24,5,2597,564,1813,220
95KK01,2435,2308,117,10,527,518,9,0,1908,1790,108,10
95KK02,1927,684,1176,67,136,121,15,0,1791,563,1161,67
95KK03,2228,2046,167,15,567,564,1,2,1661,1482,166,13
95KK04,2634,2021,474,139,483,464,10,9,2151,1557,464,130
95KK05,2505,2123,353,29,531,515,15,1,1974,1608,338,28
95KK06,1812,978,762,72,202,186,6,10,1610,792,756,62
95KK07,1989,843,1118,28,160,143,15,2,1829,700,1103,26
95KK08,2494,1000,1414,80,203,180,21,2,2291,820,1393,78
95KK09,2088,854,1125,109,183,158,17,8,1905,696,1108,101
95KK10,2086,868,1175,43,217,194,20,3,1869,674,1155,40
95KK11,2272,715,1434,123,164,153,10,1,2108,562,1424,122
95KK12,2199,1764,406,29,529,512,13,4,1670,1252,393,25
95KK13,1756,305,1389,62,104,84,18,2,1652,221,1371,60
95KK14,1977,899,1059,19,279,254,24,1,1698,645,1035,18
95KK15,2767,1848,873,46,474,462,9,3,2293,1386,864,43
95KK16,2151,1575,473,103,373,358,10,5,1778,1217,463,98
95LL01,4688,3940,568,180,841,820,12,9,3847,3120,556,171
95LL02,2878,744,1889,245,143,101,35,7,2735,643,1854,238
95LL03,2285,236,1888,161,96,41,39,16,2189,195,1849,145
95LL04,2837,2272,501,64,501,490,7,4,2336,1782,494,60
95LL05,3970,795,2911,264,196,175,14,7,3774,620,2897,257
95LL06,3214,407,2593,214,111,70,33,8,3103,337,2560,206
95LL07,2034,280,1564,190,57,28,27,2,1977,252,1537,188
95LL08,3176,2541,423,212,564,532,11,21,2612,2009,412,191
95LL09,3031,2533,380,118,445,433,9,3,2586,2100,371,115
95LL10,5242,4622,537,83,1156,1129,15,12,4086,3493,522,71
95LL11,3775,346,3179,250,106,70,28,8,3669,276,3151,242
95LL12,3920,3355,341,224,551,544,3,4,3369,2811,338,220
95LL13,2601,1576,770,255,290,253,17,20,2311,1323,753,235
95LL14,2566,2431,99,36,549,544,3,2,2017,1887,96,34
95LL15,2949,251,2476,222,81,29,45,7,2868,222,2431,215
95LL16,5755,1352,3868,535,300,227,57,16,5455,1125,3811,519
95LL17,2450,225,2040,185,45,13,22,10,2405,212,2018,175
95LL18,3198,191,2794,213,58,21,33,4,3140,170,2761,209
95LL19,4920,1170,3447,303,237,194,36,7,4683,976,3411,296
95LL20,2289,949,1242,98,205,193,9,3,2084,756,1233,95
95LL21,3753,2011,1533,209,445,415,16,14,3308,1596,1517,195
95LL22,3502,3183,208,111,654,645,3,6,2848,2538,205,105
95LL23,2058,280,1625,153,92,54,34,4,1966,226,1591,149
95LL24,3574,1229,2211,134,352,323,20,9,3222,906,2191,125
95LL25,4341,374,3688,279,96,66,23,7,4245,308,3665,272
95LL26,3559,3290,191,78,845,828,5,12,2714,2462,186,66
95MM01,4620,1856,2573,191,364,303,51,10,4256,1553,2522,181
95MM02,3167,2939,175,53,731,719,9,3,2436,2220,166,50
