GeographyCode,LC2214NI0001,LC2214NI0002,LC2214NI0003,LC2214NI0004,LC2214NI0005,LC2214NI0006,LC2214NI0007,LC2214NI0008,LC2214NI0009,LC2214NI0010,LC2214NI0011,LC2214NI0012,LC2214NI0013,LC2214NI0014,LC2214NI0015,LC2214NI0016,LC2214NI0017,LC2214NI0018,LC2214NI0019,LC2214NI0020
95AA01,4444,1485,2284,675,534,137,290,107,3222,809,1903,510,646,529,90,27,160,67,53,40
95AA02,1734,570,1048,116,335,92,214,29,1202,335,810,57,155,118,29,8,71,39,6,26
95AA03,1822,195,1422,205,502,42,406,54,1223,103,993,127,63,29,27,7,50,23,7,20
95AA04,3013,832,1979,202,352,96,231,25,2313,460,1691,162,396,294,87,15,32,4,24,4
95AA05,2701,1683,900,118,519,300,194,25,1527,785,668,74,650,603,35,12,55,31,14,10
95AA06,4647,3755,774,118,681,512,147,22,2229,1550,603,76,1784,1734,33,17,64,57,3,4
95AA07,2140,336,1680,124,481,60,389,32,1515,172,1256,87,135,72,59,4,51,43,7,1
95AA08,1698,757,761,180,495,214,226,55,966,361,510,95,181,151,15,15,80,50,11,19
95AA09,2220,491,1466,263,459,73,326,60,1563,293,1102,168,119,67,40,12,98,61,12,25
95AA10,1953,806,939,208,393,178,161,54,1326,436,752,138,200,162,33,5,58,40,5,13
95AA11,5364,2085,2738,541,726,282,365,79,3864,1221,2284,359,533,412,89,32,357,230,38,89
95AA12,2775,197,2395,183,390,27,330,33,2286,124,2018,144,131,43,80,8,15,4,9,2
95AA13,3307,2282,868,157,561,342,184,35,1910,1165,652,93,743,691,41,11,178,149,5,24
95AA14,2349,872,1373,104,477,167,290,20,1565,448,1041,76,342,280,57,5,18,9,6,3
95AA15,4186,1756,1878,552,684,302,271,111,2721,894,1523,304,407,327,48,32,442,277,52,113
95AA16,1807,344,1276,187,413,62,308,43,1210,165,937,108,67,30,34,3,136,91,12,33
95AA17,2142,813,1067,262,426,144,197,85,1486,487,844,155,161,130,20,11,94,70,11,13
95AA18,2439,341,1891,207,299,35,240,24,1974,218,1605,151,200,85,97,18,57,22,11,24
95AA19,2687,2410,231,46,740,643,79,18,1047,902,125,20,920,882,30,8,58,52,4,2
95BB01,3609,405,2894,310,516,63,397,56,2913,251,2436,226,196,91,84,21,51,10,26,15
95BB02,2347,224,1881,242,570,52,443,75,1638,112,1376,150,134,27,101,6,49,34,2,13
95BB03,4219,233,3563,423,796,39,676,81,3267,149,2793,325,172,30,126,16,41,18,17,6
95BB04,3048,227,2538,283,373,20,305,48,2554,168,2165,221,166,40,119,7,41,14,14,13
95BB05,3401,111,2947,343,543,14,464,65,2705,70,2374,261,200,26,158,16,25,7,11,7
95BB06,2870,335,2173,362,674,76,527,71,1993,179,1569,245,153,50,84,19,93,36,20,37
95BB07,2953,118,2521,314,522,14,435,73,2292,65,2017,210,108,21,77,10,76,21,28,27
95BB08,2625,159,2203,263,498,22,429,47,2007,83,1730,194,82,23,50,9,60,33,11,16
95BB09,2943,130,2513,300,376,18,315,43,2455,61,2155,239,115,22,82,11,68,35,15,18
95BB10,3327,250,2726,351,463,24,382,57,2671,145,2253,273,218,36,156,26,94,49,39,6
95BB11,2955,140,2533,282,579,31,477,71,2266,76,1990,200,127,32,90,5,35,4,20,11
95BB12,2776,233,2146,397,604,32,476,96,2019,153,1598,268,156,41,98,17,48,18,10,20
95BB13,4444,311,3601,532,645,34,498,113,3620,214,3025,381,182,60,103,19,71,24,19,28
95BB14,3116,208,2607,301,364,24,319,21,2578,140,2201,237,197,49,128,20,66,8,20,38
95BB15,3489,2017,1252,220,758,463,244,51,2174,1070,962,142,565,484,58,23,58,46,5,7
95BB16,3136,175,2666,295,440,27,367,46,2589,110,2241,238,159,32,113,14,33,14,13,6
95BB17,3556,232,2815,509,608,17,467,124,2794,165,2272,357,168,39,110,19,48,19,14,15
95BB18,4279,198,3550,531,668,32,549,87,3447,131,2904,412,192,34,130,28,44,9,22,13
95BB19,4788,410,3826,552,564,51,412,101,4032,281,3334,417,213,73,118,22,66,14,28,24
95BB20,3413,2701,570,142,836,698,108,30,1760,1244,420,96,863,793,57,13,50,27,13,10
95BB21,4719,588,3679,452,889,79,701,109,3546,356,2872,318,274,145,115,14,84,32,35,17
95BB22,3040,167,2449,424,656,39,501,116,2242,90,1869,283,117,29,78,10,48,13,18,17
95BB23,3025,332,2401,292,359,30,277,52,2430,196,2026,208,242,91,127,24,65,31,19,15
95CC01,2558,2244,250,64,625,488,128,9,745,612,96,37,1056,1035,12,9,174,143,16,15
95CC02,2725,1908,773,44,537,328,204,5,1114,574,516,24,1097,1029,52,16,43,28,13,2
95CC03,2817,2417,233,167,671,605,54,12,806,606,136,64,1015,986,15,14,375,259,32,84
95CC04,2440,1715,689,36,642,404,230,8,793,360,420,13,1005,956,47,2,45,32,0,13
95CC05,2774,1814,878,82,600,349,231,20,1176,531,619,26,941,892,33,16,125,95,10,20
95CC06,2776,1542,1120,114,403,192,184,27,1519,587,870,62,813,747,55,11,121,79,25,17
95CC07,3475,2819,611,45,730,560,163,7,1044,612,408,24,1712,1668,38,6,64,48,7,9
95CC08,2565,2331,182,52,583,532,46,5,794,671,100,23,1124,1099,19,6,131,91,20,20
95CC09,3354,297,2901,156,629,59,542,28,2485,87,2284,114,208,107,99,2,83,47,21,15
95CC10,2577,498,1976,103,466,79,362,25,1801,195,1549,57,334,228,101,5,57,24,15,18
95CC11,1795,1631,134,30,440,407,25,8,503,394,101,8,785,775,6,4,100,86,4,10
95CC12,2785,1325,1395,65,679,267,388,24,1292,289,972,31,820,768,45,7,29,17,6,6
95CC13,2474,1288,1130,56,516,242,268,6,1188,350,802,36,763,703,58,2,42,18,11,13
95CC14,3035,313,2538,184,504,42,429,33,2334,165,2033,136,201,97,93,11,45,24,14,7
95CC15,2903,1135,1667,101,642,241,385,16,1669,370,1233,66,560,497,57,6,76,54,7,15
95CC16,2820,425,2260,135,685,96,547,42,1862,144,1643,75,222,141,70,11,83,51,22,10
95CC17,2730,1860,808,62,479,287,183,9,1119,503,592,24,1143,1088,40,15,61,41,1,19
95CC18,2342,1206,1024,112,324,123,182,19,1264,424,788,52,634,554,65,15,190,146,16,28
95CC19,2720,950,1669,101,636,175,433,28,1576,310,1207,59,492,452,30,10,57,38,13,6
95CC20,3010,202,2649,159,493,41,421,31,2289,60,2130,99,134,29,100,5,147,78,38,31
95CC21,2925,380,2368,177,562,59,438,65,2143,197,1853,93,203,114,81,8,65,27,25,13
95CC22,1740,398,1231,111,397,67,314,16,1014,123,830,61,188,125,55,8,173,99,42,32
95DD01,2099,334,1648,117,322,56,227,39,1599,162,1371,66,118,68,46,4,104,54,41,9
95DD02,3888,229,3465,194,774,46,678,50,2988,117,2734,137,122,58,62,2,37,13,18,6
95DD03,3503,590,2601,312,480,65,366,49,2649,315,2148,186,231,118,92,21,200,108,28,64
95DD04,1926,128,1635,163,613,37,519,57,1251,77,1080,94,55,16,35,4,20,1,10,9
95DD05,1739,100,1479,160,564,34,463,67,1138,59,998,81,21,4,11,6,19,3,10,6
95DD06,2588,536,1889,163,418,85,320,13,1945,312,1506,127,171,92,65,14,112,62,32,18
95DD07,3363,183,2974,206,659,24,585,50,2566,131,2301,134,143,29,103,11,45,4,28,13
95DD08,2126,823,1123,180,487,144,319,24,1114,329,698,87,170,126,33,11,391,245,86,60
95DD09,2590,169,2295,126,566,35,499,32,1923,93,1751,79,92,36,44,12,39,9,25,5
95DD10,2805,107,2494,204,712,14,643,55,1988,55,1798,135,73,10,51,12,61,31,22,8
95DD11,2363,1336,826,201,617,339,209,69,1294,603,584,107,248,212,31,5,241,208,12,21
95DD12,2610,407,2082,121,696,105,564,27,1697,154,1456,87,243,161,76,6,16,3,10,3
95DD13,1784,1001,654,129,417,206,176,35,982,492,417,73,225,204,12,9,192,124,52,16
95DD14,3277,239,2820,218,475,21,426,28,2669,161,2332,176,154,52,93,9,58,20,29,9
95DD15,3451,2087,1265,99,810,451,326,33,1940,972,914,54,742,699,34,9,31,24,2,5
95DD16,2981,372,2458,151,638,99,512,27,2162,166,1890,106,191,105,76,10,50,16,22,12
95DD17,3461,1380,1953,128,763,265,469,29,2157,625,1445,87,592,527,52,13,21,7,9,5
95DD18,1885,164,1572,149,516,39,443,34,1234,53,1089,92,53,13,35,5,103,61,18,24
95DD19,3364,177,2987,200,681,31,604,46,2567,92,2334,141,129,31,86,12,44,28,8,8
95DD20,1746,124,1486,136,478,26,409,43,1179,64,1029,86,67,23,42,2,33,15,13,5
95DD21,2139,744,1216,179,384,95,240,49,1365,371,898,96,206,165,37,4,229,136,60,33
95DD22,3136,1102,1957,77,900,270,619,11,1852,487,1306,59,404,349,47,8,39,26,9,4
95DD23,2509,306,2052,151,553,61,454,38,1826,164,1556,106,138,82,51,5,17,3,11,3
95DD24,2711,1802,769,140,493,308,145,40,1539,901,570,68,565,523,30,12,161,106,29,26
95EE01,1895,1732,141,22,534,478,48,8,724,630,83,11,652,639,11,2,8,7,0,1
95EE02,2095,126,1839,130,529,18,487,24,1498,69,1328,101,85,41,39,5,7,1,6,0
95EE03,1999,335,1531,133,533,70,408,55,1336,178,1086,72,99,53,43,3,59,41,14,4
95EE04,1993,769,1141,83,518,165,336,17,1237,388,787,62,251,231,18,2,13,5,6,2
95EE05,1509,157,1263,89,351,41,290,20,1090,84,946,60,63,28,32,3,20,6,8,6
95EE06,2278,1875,373,30,601,502,94,5,934,647,268,19,731,714,11,6,57,54,3,0
95EE07,1798,299,1371,128,555,87,422,46,1171,166,928,77,75,46,24,5,5,3,0,2
95EE08,1719,278,1323,118,385,58,308,19,1233,156,993,84,99,52,36,11,34,22,1,11
95EE09,1890,662,1131,97,553,181,346,26,1067,256,750,61,276,233,38,5,22,5,12,5
95EE10,1797,1069,677,51,462,237,221,4,842,374,438,30,428,402,14,12,90,78,6,6
95EE11,1677,589,1015,73,462,173,263,26,1014,246,729,39,207,176,26,5,7,3,1,3
95EE12,2507,327,2015,165,664,81,519,64,1742,179,1472,91,65,36,27,2,53,42,3,8
95EE13,1529,349,1088,92,462,129,296,37,970,172,751,47,90,42,42,6,27,10,11,6
95EE14,2684,394,2100,190,686,113,519,54,1871,221,1520,130,127,54,70,3,28,10,13,5
95EE15,1728,362,1257,109,482,77,365,40,1115,195,862,58,140,102,32,6,15,3,5,7
95EE16,2126,605,1422,99,606,168,403,35,1305,244,1000,61,220,194,23,3,10,4,6,0
95FF01,4796,1473,2978,345,545,139,340,66,3573,801,2531,241,680,515,141,24,124,75,27,22
95FF02,2817,1593,1130,94,728,385,321,22,1449,609,782,58,626,591,30,5,49,36,2,11
95FF03,3006,1156,1645,205,559,215,285,59,2052,613,1317,122,368,306,47,15,78,46,16,16
95FF04,2629,988,1528,113,533,204,306,23,1694,443,1173,78,433,352,73,8,21,9,5,7
95FF05,2563,469,1894,200,550,99,405,46,1796,230,1422,144,193,94,91,8,72,56,12,4
95FF06,4116,587,3171,358,684,110,505,69,3157,312,2586,259,248,141,96,11,93,46,21,26
95FF07,2769,1345,1254,170,635,298,276,61,1708,691,920,97,406,340,54,12,60,45,13,2
95FF08,2364,649,1583,132,421,108,281,32,1703,368,1245,90,235,172,58,5,36,18,12,6
95FF09,2522,992,1376,154,547,200,315,32,1623,503,1015,105,338,282,47,9,45,27,8,10
95FF10,3473,482,2758,233,659,92,521,46,2601,241,2190,170,251,156,80,15,35,10,15,10
95FF11,2582,769,1682,131,624,194,412,18,1634,309,1227,98,324,266,42,16,31,15,12,4
95FF12,2724,1460,1142,122,459,270,170,19,1744,732,930,82,555,486,54,15,29,10,9,10
95FF13,2708,949,1643,116,472,159,298,15,1826,443,1307,76,438,359,60,19,40,17,13,10
95FF14,2432,351,1947,134,409,87,304,18,1903,196,1597,110,156,74,76,6,28,7,15,6
95FF15,2740,1056,1557,127,808,254,522,32,1509,439,993,77,367,306,49,12,91,72,13,6
95FF16,2374,544,1705,125,413,89,303,21,1759,302,1362,95,220,155,58,7,35,14,16,5
95FF17,1724,616,986,122,427,121,271,35,1102,344,685,73,176,137,31,8,43,29,8,6
95GG01,4907,4639,176,92,838,792,30,16,1644,1472,130,42,2524,2483,15,26,31,16,5,10
95GG02,5987,5558,306,123,1532,1457,50,25,2561,2253,237,71,1964,1918,24,22,58,41,5,12
