GeographyCode,LC2301NI0001,LC2301NI0002,LC2301NI0003,LC2301NI0004,LC2301NI0005,LC2301NI0006,LC2301NI0007,LC2301NI0008,LC2301NI0009,LC2301NI0010,LC2301NI0011,LC2301NI0012,LC2301NI0013,LC2301NI0014,LC2301NI0015,LC2301NI0016,LC2301NI0017,LC2301NI0018,LC2301NI0019,LC2301NI0020,LC2301NI0021,LC2301NI0022,LC2301NI0023,LC2301NI0024,LC2301NI0025,LC2301NI0026,LC2301NI0027,LC2301NI0028,LC2301NI0029,LC2301NI0030,LC2301NI0031,LC2301NI0032
95AA01,4444,1356,1971,921,441,609,1117,887,2565,831,1050,467,198,385,684,564,1368,378,652,294,182,176,338,263,511,147,269,160,61,48,95,60
95AA02,1734,504,888,461,348,79,342,204,662,188,325,163,130,32,149,80,579,171,289,163,106,20,119,82,493,145,274,135,112,27,74,42
95AA03,1822,135,1222,684,378,160,465,315,677,67,404,226,123,55,206,140,669,43,467,278,136,53,159,115,476,25,351,180,119,52,100,60
95AA04,3013,751,1772,1198,317,257,490,343,1550,441,868,590,150,128,241,171,1037,235,629,412,123,94,173,125,426,75,275,196,44,35,76,47
95AA05,2701,1579,757,482,157,118,365,178,1365,857,316,208,57,51,192,102,880,481,277,174,58,45,122,52,456,241,164,100,42,22,51,24
95AA06,4647,3511,584,240,262,82,552,222,2514,1991,233,89,106,38,290,108,1359,993,194,76,89,29,172,86,774,527,157,75,67,15,90,28
95AA07,2140,283,1553,1042,300,211,304,189,1018,163,715,473,135,107,140,98,736,79,555,381,114,60,102,59,386,41,283,188,51,44,62,32
95AA08,1698,680,623,353,192,78,395,247,715,292,268,155,84,29,155,101,571,231,191,110,63,18,149,98,412,157,164,88,45,31,91,48
95AA09,2220,387,1244,669,410,165,589,346,872,159,458,250,158,50,255,134,774,144,404,227,126,51,226,156,574,84,382,192,126,64,108,56
95AA10,1953,712,810,437,224,149,431,292,807,289,322,169,95,58,196,142,698,252,291,166,70,55,155,103,448,171,197,102,59,36,80,47
95AA11,5364,1875,2300,1191,717,392,1189,801,2795,1047,1142,592,354,196,606,423,1715,569,729,361,240,128,417,282,854,259,429,238,123,68,166,96
95AA12,2775,133,2161,1491,357,313,481,332,1530,85,1156,768,192,196,289,198,909,30,729,525,123,81,150,105,336,18,276,198,42,36,42,29
95AA13,3307,2139,701,400,178,123,467,230,1671,1134,284,152,84,48,253,128,1056,685,229,134,46,49,142,72,580,320,188,114,48,26,72,30
