GeographyCode,LC2402NI0001,LC2402NI0002,LC2402NI0003,LC2402NI0004,LC2402NI0005,LC2402NI0006,LC2402NI0007,LC2402NI0008,LC2402NI0009,LC2402NI0010,LC2402NI0011,LC2402NI0012,LC2402NI0013,LC2402NI0014,LC2402NI0015,LC2402NI0016
95AA01,4290,1458,2214,618,2948,1176,1573,199,56,19,21,16,1286,263,620,403
95AA02,1734,570,1048,116,1156,377,719,60,231,67,153,11,347,126,176,45
95AA03,1822,195,1422,205,1132,110,917,105,419,31,336,52,271,54,169,48
95AA04,3002,828,1973,201,2791,769,1837,185,13,3,6,4,198,56,130,12
95AA05,2654,1668,869,117,2229,1432,715,82,132,85,38,9,293,151,116,26
95AA06,4604,3735,755,114,3825,3163,588,74,329,235,85,9,450,337,82,31
95AA07,2119,327,1670,122,1680,219,1384,77,146,21,113,12,293,87,173,33
95AA08,1676,748,748,180,1021,411,522,88,389,219,122,48,266,118,104,44
95AA09,2143,482,1399,262,1248,292,830,126,557,84,403,70,338,106,166,66
95AA10,1953,806,939,208,1304,460,714,130,456,249,160,47,193,97,65,31
95AA11,5129,2034,2590,505,4138,1567,2210,361,181,59,105,17,810,408,275,127
95AA12,2775,197,2395,183,2492,173,2164,155,71,6,58,7,212,18,173,21
95AA13,3268,2271,841,156,2453,1766,592,95,184,85,89,10,631,420,160,51
95AA14,2302,859,1343,100,2110,795,1233,82,8,0,8,0,184,64,102,18
95AA15,4102,1726,1832,544,2673,1013,1359,301,590,287,202,101,839,426,271,142
95AA16,1807,344,1276,187,1028,147,823,58,378,54,263,61,401,143,190,68
95AA17,2142,813,1067,262,1567,608,801,158,326,86,185,55,249,119,81,49
95AA18,2373,326,1843,204,2044,281,1623,140,31,4,20,7,298,41,200,57
95AA19,2645,2388,216,41,2041,1861,159,21,274,256,14,4,330,271,43,16
95BB01,3609,405,2894,310,3264,355,2649,260,143,27,95,21,202,23,150,29
95BB02,2334,223,1869,242,1375,129,1120,126,590,32,492,66,369,62,257,50
95BB03,4217,232,3562,423,3153,177,2691,285,449,17,388,44,615,38,483,94
95BB04,3009,218,2508,283,2460,156,2099,205,204,13,171,20,345,49,238,58
95BB05,3401,111,2947,343,2773,84,2447,242,225,3,194,28,403,24,306,73
95BB06,2870,335,2173,362,1467,170,1134,163,676,56,560,60,727,109,479,139
95BB07,2896,115,2470,311,1886,63,1680,143,536,12,456,68,474,40,334,100
95BB08,2625,159,2203,263,1885,86,1633,166,416,21,353,42,324,52,217,55
95BB09,2909,128,2482,299,2440,79,2150,211,62,1,48,13,407,48,284,75
95BB10,3278,246,2683,349,2500,147,2132,221,292,20,234,38,486,79,317,90
95BB11,2903,139,2484,280,2147,102,1861,184,504,22,416,66,252,15,207,30
95BB12,2776,233,2146,397,1765,122,1450,193,666,55,479,132,345,56,217,72
95BB13,4438,311,3595,532,3395,246,2805,344,680,22,559,99,363,43,231,89
95BB14,3088,208,2579,301,2743,177,2351,215,83,0,73,10,262,31,155,76
95BB15,3489,2017,1252,220,2719,1575,1004,140,263,159,94,10,507,283,154,70
95BB16,3133,173,2665,295,2852,139,2456,257,60,0,52,8,221,34,157,30
95BB17,3535,231,2795,509,2724,202,2198,324,452,12,342,98,359,17,255,87
95BB18,4212,193,3492,527,3441,142,2881,418,287,11,254,22,484,40,357,87
95BB19,4725,406,3769,550,4253,342,3467,444,112,4,92,16,360,60,210,90
95BB20,3368,2678,549,141,2481,1987,413,81,390,335,36,19,497,356,100,41
95BB21,4699,586,3661,452,3932,504,3084,344,223,12,190,21,544,70,387,87
95BB22,2993,154,2415,424,1785,69,1482,234,923,54,720,149,285,31,213,41
95BB23,2976,330,2354,292,2703,283,2190,230,29,0,21,8,244,47,143,54
95CC01,2376,2157,155,64,1643,1493,104,46,172,163,7,2,561,501,44,16
95CC02,2693,1889,760,44,2364,1623,707,34,75,69,5,1,254,197,48,9
95CC03,2791,2397,227,167,1246,1132,70,44,654,547,92,15,891,718,65,108
95CC04,2384,1680,668,36,2051,1474,561,16,96,58,36,2,237,148,71,18
95CC05,2749,1801,869,79,2306,1503,753,50,80,52,26,2,363,246,90,27
95CC06,2750,1527,1110,113,2216,1214,925,77,108,70,38,0,426,243,147,36
95CC07,3475,2819,611,45,2837,2300,508,29,221,159,56,6,417,360,47,10
95CC08,2511,2287,172,52,1577,1457,101,19,360,339,18,3,574,491,53,30
95CC09,3323,292,2876,155,2858,196,2542,120,65,5,52,8,400,91,282,27
95CC10,2495,486,1909,100,2180,429,1678,73,54,6,46,2,261,51,185,25
95CC11,1787,1623,134,30,1141,1058,71,12,201,189,12,0,445,376,51,18
95CC12,2751,1312,1374,65,2480,1184,1251,45,71,31,37,3,200,97,86,17
95CC13,2474,1288,1130,56,2164,1146,977,41,90,43,47,0,220,99,106,15
95CC14,3017,313,2520,184,2541,255,2142,144,92,6,82,4,384,52,296,36
95CC15,2893,1127,1665,101,2406,911,1432,63,142,70,68,4,345,146,165,34
95CC16,2801,420,2246,135,2041,288,1681,72,226,38,183,5,534,94,382,58
95CC17,2724,1857,805,62,2421,1638,748,35,24,22,2,0,279,197,55,27
95CC18,2309,1203,994,112,1627,824,753,50,264,130,113,21,418,249,128,41
95CC19,2720,950,1669,101,2248,749,1440,59,175,61,96,18,297,140,133,24
95CC20,2966,182,2625,159,2382,71,2207,104,163,14,136,13,421,97,282,42
95CC21,2925,380,2368,177,2214,291,1823,100,265,38,212,15,446,51,333,62
95CC22,1724,398,1225,101,961,206,715,40,407,61,326,20,356,131,184,41
95DD01,2031,324,1592,115,1687,215,1402,70,53,16,32,5,291,93,158,40
95DD02,3872,229,3449,194,3175,178,2858,139,231,7,210,14,466,44,381,41
95DD03,3474,585,2578,311,2754,410,2146,198,39,0,39,0,681,175,393,113
95DD04,1926,128,1635,163,845,58,734,53,863,56,721,86,218,14,180,24
95DD05,1739,100,1479,160,917,52,811,54,648,45,532,71,174,3,136,35
95DD06,2427,505,1762,160,2111,388,1599,124,16,6,6,4,300,111,157,32
95DD07,3363,183,2974,206,2543,120,2292,131,271,14,243,14,549,49,439,61
95DD08,2083,813,1093,177,895,313,536,46,285,93,177,15,903,407,380,116
95DD09,2572,168,2278,126,2274,138,2038,98,40,2,38,0,258,28,202,28
95DD10,2805,107,2494,204,1983,51,1815,117,450,16,392,42,372,40,287,45
95DD11,2363,1336,826,201,1033,545,416,72,676,374,235,67,654,417,175,62
95DD12,2582,405,2056,121,2322,388,1844,90,51,3,41,7,209,14,171,24
95DD13,1743,984,630,129,1106,641,405,60,239,112,100,27,398,231,125,42
95DD14,3268,238,2813,217,2835,188,2475,172,86,1,83,2,347,49,255,43
95DD15,3451,2087,1265,99,2927,1752,1102,73,106,77,25,4,418,258,138,22
95DD16,2943,371,2423,149,2636,331,2189,116,44,4,40,0,263,36,194,33
95DD17,3461,1380,1953,128,3104,1280,1707,117,65,24,41,0,292,76,205,11
95DD18,1813,152,1514,147,1206,56,1067,83,160,10,141,9,447,86,306,55
95DD19,3315,176,2941,198,2664,122,2398,144,240,7,212,21,411,47,331,33
95DD20,1742,122,1485,135,862,61,758,43,565,41,479,45,315,20,248,47
95DD21,2130,744,1207,179,1407,471,853,83,45,6,35,4,678,267,319,92
95DD22,3118,1084,1957,77,2542,822,1666,54,208,102,101,5,368,160,190,18
95DD23,2490,305,2034,151,2159,255,1797,107,19,1,16,2,312,49,221,42
95DD24,2692,1801,751,140,2088,1417,590,81,157,105,49,3,447,279,112,56
95EE01,1895,1732,141,22,1579,1444,120,15,158,151,7,0,158,137,14,7
95EE02,2095,126,1839,130,1521,101,1339,81,291,5,266,20,283,20,234,29
95EE03,1983,329,1523,131,1277,226,992,59,446,63,337,46,260,40,194,26
95EE04,1990,767,1140,83,1592,651,883,58,126,30,92,4,272,86,165,21
95EE05,1497,156,1253,88,1215,123,1036,56,76,4,64,8,206,29,153,24
95EE06,2278,1875,373,30,1827,1487,324,16,172,149,21,2,279,239,28,12
95EE07,1798,299,1371,128,1264,232,960,72,168,22,144,2,366,45,267,54
95EE08,1633,270,1247,116,1263,206,981,76,31,6,22,3,339,58,244,37
95EE09,1859,656,1106,97,1482,498,922,62,154,87,56,11,223,71,128,24
95EE10,1797,1069,677,51,1360,770,564,26,128,90,38,0,309,209,75,25
95EE11,1677,589,1015,73,1464,537,881,46,68,9,54,5,145,43,80,22
95EE12,2500,327,2008,165,1437,179,1187,71,459,48,381,30,604,100,440,64
95EE13,1529,349,1088,92,887,164,688,35,305,114,180,11,337,71,220,46
95EE14,2684,394,2100,190,1996,265,1613,118,210,9,188,13,478,120,299,59
95EE15,1728,362,1257,109,1446,327,1035,84,135,9,117,9,147,26,105,16
95EE16,2111,602,1410,99,1783,525,1184,74,103,44,56,3,225,33,170,22
95FF01,4753,1463,2945,345,3957,1147,2574,236,35,13,17,5,761,303,354,104
95FF02,2817,1593,1130,94,2494,1417,1009,68,54,22,30,2,269,154,91,24
95FF03,3006,1156,1645,205,2100,790,1203,107,273,104,145,24,633,262,297,74
95FF04,2629,988,1528,113,2355,863,1398,94,78,50,22,6,196,75,108,13
95FF05,2563,469,1894,200,1745,292,1326,127,399,56,315,28,419,121,253,45
95FF06,4054,580,3116,358,3384,437,2696,251,164,14,124,26,506,129,296,81
95FF07,2763,1343,1250,170,1594,759,752,83,655,340,266,49,514,244,232,38
95FF08,2328,645,1553,130,1731,474,1191,66,314,91,197,26,283,80,165,38
95FF09,2521,992,1375,154,1879,717,1066,96,259,139,103,17,383,136,206,41
95FF10,3473,482,2758,233,3053,429,2450,174,116,16,89,11,304,37,219,48
95FF11,2582,769,1682,131,2330,699,1522,109,58,15,41,2,194,55,119,20
95FF12,2721,1459,1142,120,2285,1224,979,82,120,73,38,9,316,162,125,29
95FF13,2708,949,1643,116,2347,826,1427,94,81,29,44,8,280,94,172,14
95FF14,2413,350,1929,134,2214,304,1793,117,21,7,13,1,178,39,123,16
95FF15,2680,1040,1514,126,1764,685,1027,52,346,109,225,12,570,246,262,62
95FF16,2317,528,1665,124,1872,433,1338,101,206,26,170,10,239,69,157,13
95FF17,1717,615,982,120,954,368,535,51,283,105,159,19,480,142,288,50
95GG01,4845,4586,167,92,3492,3319,116,57,686,653,17,16,667,614,34,19
95GG02,5987,5558,306,123,2331,2201,99,31,2698,2489,150,59,958,868,57,33
95GG03,5857,1019,3977,861,4275,674,3049,552,412,45,294,73,1170,300,634,236
95GG04,4908,2522,2020,366,1702,1002,605,95,2434,1195,1092,147,772,325,323,124
95GG05,5892,3360,1587,945,2475,1560,666,249,1148,441,474,233,2269,1359,447,463
95GG06,5567,420,4647,500,3648,256,3098,294,1127,66,947,114,792,98,602,92
95GG07,5467,4965,333,169,2858,2680,128,50,1339,1235,68,36,1270,1050,137,83
95GG08,4910,3127,1436,347,3197,2216,829,152,936,447,390,99,777,464,217,96
95GG09,6055,522,4873,660,4212,314,3490,408,1134,65,937,132,709,143,446,120
95GG10,3997,600,2858,539,1326,124,1098,104,1243,107,1008,128,1428,369,752,307
95GG11,5389,872,3745,772,3059,359,2329,371,742,69,578,95,1588,444,838,306
95GG12,8726,5366,2012,1348,1286,818,313,155,1679,1182,294,203,5761,3366,1405,990
95GG13,4697,1787,2549,361,3124,1491,1426,207,973,80,807,86,600,216,316,68
95GG14,4820,2754,1817,249,4378,2501,1670,207,124,82,34,8,318,171,113,34
95GG15,5690,841,4254,595,4547,662,3462,423,498,39,409,50,645,140,383,122
95GG16,5366,3998,910,458,3537,2818,486,233,828,479,236,113,1001,701,188,112
95GG17,5330,3785,1258,287,3372,2669,568,135,1220,660,483,77,738,456,207,75
95GG18,4975,4500,316,159,2053,1876,113,64,1853,1690,99,64,1069,934,104,31
95GG19,4524,514,3717,293,1240,119,1052,69,2613,344,2103,166,671,51,562,58
95GG20,4792,1097,3087,608,1308,306,872,130,2302,395,1689,218,1182,396,526,260
95GG21,5079,4459,371,249,1574,1427,112,35,2780,2570,157,53,725,462,102,161
95GG22,5290,4994,172,124,4054,3883,109,62,686,619,35,32,550,492,28,30
95GG23,4499,2240,1896,363,3918,1991,1658,269,148,56,80,12,433,193,158,82
95GG24,4364,1810,2179,375,3345,1421,1717,207,229,89,111,29,790,300,351,139
95GG25,5527,5269,169,89,4002,3850,95,57,1052,991,42,19,473,428,32,13
95GG26,3675,655,2761,259,1988,478,1404,106,1103,89,939,75,584,88,418,78
95GG27,6406,6042,257,107,4331,4114,154,63,1607,1497,81,29,468,431,22,15
95GG28,5635,522,4665,448,3676,315,3128,233,1379,104,1170,105,580,103,367,110
95GG29,5004,694,3491,819,1665,199,1233,233,1740,100,1464,176,1599,395,794,410
95GG30,4827,441,3845,541,3854,359,3106,389,499,13,437,49,474,69,302,103
95GG31,6519,5561,713,245,4576,4122,353,101,1364,1006,282,76,579,433,78,68
95GG32,6391,3088,2896,407,3784,1592,1984,208,1549,976,507,66,1058,520,405,133
