GeographyCode,LC2405NI0001,LC2405NI0002,LC2405NI0003,LC2405NI0004,LC2405NI0005,LC2405NI0006,LC2405NI0007,LC2405NI0008,LC2405NI0009,LC2405NI0010,LC2405NI0011,LC2405NI0012,LC2405NI0013,LC2405NI0014,LC2405NI0015,LC2405NI0016,LC2405NI0017,LC2405NI0018,LC2405NI0019,LC2405NI0020,LC2405NI0021,LC2405NI0022,LC2405NI0023,LC2405NI0024
95AA01,1522,476,883,163,296,82,191,23,455,119,275,61,279,85,166,28,492,190,251,51,2.82,3.09,2.67,2.82
95AA02,839,259,546,34,346,107,229,10,254,76,173,5,131,47,76,8,108,29,68,11,2.07,2.05,2.03,2.76
95AA03,845,87,699,59,323,21,277,25,262,28,219,15,124,15,99,10,136,23,104,9,2.16,2.54,2.11,2.08
95AA04,1014,274,697,43,171,47,115,9,299,61,225,13,183,51,125,7,361,115,232,14,2.96,3.15,2.90,2.79
95AA05,920,532,357,31,192,105,85,2,246,116,123,7,164,91,63,10,318,220,86,12,2.88,3.11,2.53,3.23
95AA06,1570,1181,351,38,356,224,124,8,364,258,98,8,252,200,45,7,598,499,84,15,2.93,3.09,2.40,3.00
95AA07,820,121,673,26,201,35,163,3,258,33,219,6,144,23,114,7,217,30,177,10,2.58,2.56,2.57,2.96
95AA08,699,305,336,58,215,91,110,14,203,83,106,14,144,65,67,12,137,66,53,18,2.40,2.47,2.28,2.72
95AA09,943,200,657,86,307,61,223,23,291,61,202,28,195,43,132,20,150,35,100,15,2.27,2.37,2.23,2.40
95AA10,792,335,406,51,199,86,100,13,271,112,146,13,148,68,70,10,174,69,90,15,2.47,2.45,2.46,2.65
95AA11,1993,777,1062,154,487,185,273,29,614,221,343,50,360,156,175,29,532,215,271,46,2.57,2.62,2.52,2.71
95AA12,971,62,873,36,180,16,160,4,283,16,254,13,171,12,153,6,337,18,306,13,2.86,2.73,2.86,2.92
95AA13,1239,808,387,44,326,177,136,13,351,230,108,13,219,153,60,6,343,248,83,12,2.64,2.79,2.32,2.57
95AA14,779,254,503,22,130,32,96,2,252,67,175,10,122,41,79,2,275,114,153,8,2.96,3.33,2.77,3.00
95AA15,1595,694,763,138,395,193,175,27,468,197,240,31,341,147,161,33,391,157,187,47,2.57,2.51,2.58,2.81
95AA16,832,158,610,64,318,60,233,25,243,40,189,14,137,27,95,15,134,31,93,10,2.17,2.23,2.15,2.25
95AA17,855,319,466,70,237,76,144,17,252,105,127,20,160,62,83,15,206,76,112,18,2.51,2.55,2.46,2.59
95AA18,1004,124,821,59,257,32,204,21,409,40,349,20,140,17,115,8,198,35,153,10,2.36,2.66,2.33,2.22
95AA19,832,736,86,10,157,132,22,3,185,168,13,4,141,127,14,0,349,309,37,3,3.18,3.20,3.07,2.80
95BB01,1307,148,1084,75,270,29,225,16,373,44,312,17,255,26,213,16,409,49,334,26,2.76,2.93,2.73,2.85
95BB02,1126,95,951,80,438,39,373,26,378,25,332,21,163,16,128,19,147,15,118,14,2.07,2.19,2.04,2.31
95BB03,1776,102,1547,127,477,16,431,30,652,47,563,42,299,15,254,30,348,24,299,25,2.37,2.56,2.36,2.44
95BB04,1307,93,1134,80,349,26,302,21,521,31,462,28,209,18,177,14,228,18,193,17,2.30,2.44,2.28,2.43
95BB05,1318,51,1186,81,282,10,252,20,485,17,446,22,218,7,200,11,333,17,288,28,2.58,2.75,2.56,2.80
95BB06,1518,175,1204,139,680,73,555,52,520,49,415,56,178,25,137,16,140,28,97,15,1.89,2.15,1.84,1.98
95BB07,1315,55,1168,92,431,19,389,23,485,20,437,28,185,9,159,17,214,7,183,24,2.20,2.22,2.17,2.55
95BB08,1068,68,930,70,279,13,253,13,350,16,306,28,201,19,172,10,238,20,199,19,2.46,2.87,2.41,2.73
95BB09,1253,56,1097,100,340,14,297,29,467,18,421,28,213,16,180,17,233,8,199,26,2.32,2.43,2.30,2.45
95BB10,1509,100,1290,119,515,36,435,44,556,20,496,40,204,18,168,18,234,26,191,17,2.17,2.51,2.15,2.11
95BB11,1338,69,1186,83,477,24,423,30,455,19,414,22,197,10,173,14,209,16,176,17,2.17,2.38,2.14,2.39
95BB12,1130,116,920,94,291,31,235,25,400,40,332,28,209,21,177,11,230,24,176,30,2.46,2.45,2.44,2.65
95BB13,1687,119,1424,144,323,27,274,22,603,39,516,48,323,20,272,31,438,33,362,43,2.63,2.63,2.61,2.81
95BB14,1172,64,1015,93,259,12,230,17,392,26,333,33,192,6,173,13,329,20,279,30,2.63,2.84,2.61,2.76
95BB15,1287,715,517,55,301,173,119,9,403,199,182,22,205,120,79,6,378,223,137,18,2.71,2.77,2.62,2.78
95BB16,1176,65,1051,60,225,15,200,10,417,18,384,15,206,11,190,5,328,21,277,30,2.66,2.74,2.63,3.22
95BB17,1399,89,1184,126,335,16,298,21,473,26,403,44,248,18,201,29,343,29,282,32,2.53,2.84,2.49,2.65
95BB18,1638,81,1441,116,372,15,332,25,560,25,496,39,284,10,252,22,422,31,361,30,2.57,2.79,2.55,2.68
95BB19,1724,136,1473,115,301,22,267,12,550,42,479,29,357,35,300,22,516,37,427,52,2.74,2.79,2.70,3.25
