ColumnVariableCode,ColumnVariableMeasurementUnit,ColumnVariableStatisticalUnit,ColumnVariableDescription
LC3604NI0001,Count,PERSONS,"All categories: Economic Activity, All categories: Unpaid care"
LC3604NI0002,Count,PERSONS,"All categories: Economic Activity, Provides no unpaid care"
LC3604NI0003,Count,PERSONS,"All categories: Economic Activity, Provides unpaid care "
LC3604NI0004,Count,PERSONS,"In employment, All categories: Unpaid care"
LC3604NI0005,Count,PERSONS,"In employment, Provides no unpaid care"
LC3604NI0006,Count,PERSONS,"In employment, Provides unpaid care "
LC3604NI0007,Count,PERSONS,"In employment: Part-time, All categories: Unpaid care"
LC3604NI0008,Count,PERSONS,"In employment: Part-time, Provides no unpaid care"
LC3604NI0009,Count,PERSONS,"In employment: Part-time, Provides unpaid care "
LC3604NI0010,Count,PERSONS,"In employment: Full-time, All categories: Unpaid care"
LC3604NI0011,Count,PERSONS,"In employment: Full-time, Provides no unpaid care"
LC3604NI0012,Count,PERSONS,"In employment: Full-time, Provides unpaid care "
LC3604NI0013,Count,PERSONS,"Not in employment, All categories: Unpaid care"
LC3604NI0014,Count,PERSONS,"Not in employment, Provides no unpaid care"
LC3604NI0015,Count,PERSONS,"Not in employment, Provides unpaid care "
