GeographyCode,LC4104NI0001,LC4104NI0002,LC4104NI0003,LC4104NI0004,LC4104NI0005,LC4104NI0006,LC4104NI0007,LC4104NI0008,LC4104NI0009,LC4104NI0010,LC4104NI0011,LC4104NI0012,LC4104NI0013,LC4104NI0014,LC4104NI0015,LC4104NI0016,LC4104NI0017,LC4104NI0018,LC4104NI0019,LC4104NI0020,LC4104NI0021,LC4104NI0022,LC4104NI0023,LC4104NI0024,LC4104NI0025,LC4104NI0026,LC4104NI0027,LC4104NI0028
95AA01,1522,113,627,782,296,67,201,28,1135,32,405,698,875,18,272,585,115,5,76,34,145,9,57,79,91,14,21,56
95AA02,839,287,392,160,346,189,151,6,450,85,229,136,236,27,115,94,102,32,50,20,112,26,64,22,43,13,12,18
95AA03,845,293,399,153,323,179,139,5,479,107,236,136,209,21,94,94,158,63,79,16,112,23,63,26,43,7,24,12
95AA04,1014,46,312,656,171,25,123,23,752,17,171,564,557,5,83,469,71,8,31,32,124,4,57,63,91,4,18,69
95AA05,920,86,357,477,192,50,128,14,675,33,216,426,468,7,102,359,94,18,47,29,113,8,67,38,53,3,13,37
95AA06,1570,251,669,650,356,153,194,9,1121,88,443,590,732,16,226,490,229,58,130,41,160,14,87,59,93,10,32,51
95AA07,820,107,319,394,201,67,127,7,569,32,178,359,356,3,71,282,93,20,47,26,120,9,60,51,50,8,14,28
95AA08,699,230,333,136,215,111,101,3,436,104,210,122,189,24,81,84,148,66,61,21,99,14,68,17,48,15,22,11
95AA09,943,357,370,216,307,182,120,5,581,153,237,191,279,27,111,141,176,91,67,18,126,35,59,32,55,22,13,20
95AA10,792,228,335,229,199,104,92,3,542,109,220,213,276,22,85,169,150,70,59,21,116,17,76,23,51,15,23,13
95AA11,1993,303,884,806,487,185,288,14,1359,96,533,730,896,30,282,584,189,36,118,35,274,30,133,111,147,22,63,62
95AA12,971,46,251,674,180,34,126,20,733,9,119,605,568,4,53,511,59,2,32,25,106,3,34,69,58,3,6,49
95AA13,1239,221,516,502,326,131,186,9,836,81,299,456,503,17,127,359,174,47,94,33,159,17,78,64,77,9,31,37
95AA14,779,45,230,504,130,33,92,5,596,11,128,457,454,4,66,384,65,6,27,32,77,1,35,41,53,1,10,42
95AA15,1595,319,753,523,395,156,229,10,1091,134,484,473,634,25,247,362,258,86,142,30,199,23,95,81,109,29,40,40
95AA16,832,290,411,131,318,163,154,1,465,111,236,118,224,23,119,82,121,60,49,12,120,28,68,24,49,16,21,12
95AA17,855,220,405,230,237,114,116,7,571,97,270,204,310,21,134,155,155,61,75,19,106,15,61,30,47,9,19,19
95AA18,1004,66,404,534,257,39,201,17,693,22,192,479,426,6,69,351,70,9,39,22,197,7,84,106,54,5,11,38
95AA19,832,108,321,403,157,53,85,19,612,48,215,349,427,13,115,299,128,27,72,29,57,8,28,21,63,7,21,35
95BB01,1307,99,443,765,270,69,185,16,968,27,248,693,681,5,101,575,120,13,72,35,167,9,75,83,69,3,10,56
95BB02,1126,398,490,238,438,257,172,9,620,124,285,211,290,20,121,149,164,64,76,24,166,40,88,38,68,17,33,18
95BB03,1776,278,832,666,477,166,285,26,1198,91,511,596,693,20,235,438,185,39,103,43,320,32,173,115,101,21,36,44
95BB04,1307,199,530,578,349,123,209,17,894,62,301,531,543,10,125,408,111,29,47,35,240,23,129,88,64,14,20,30
95BB05,1318,124,438,756,282,83,170,29,964,32,247,685,649,9,109,531,110,19,48,43,205,4,90,111,72,9,21,42
95BB06,1518,642,675,201,680,412,258,10,740,197,370,173,324,46,159,119,219,91,103,25,197,60,108,29,98,33,47,18
