GeographyCode,LC6106NI0001,LC6106NI0002,LC6106NI0003,LC6106NI0004,LC6106NI0005,LC6106NI0006,LC6106NI0007,LC6106NI0008,LC6106NI0009,LC6106NI0010,LC6106NI0011,LC6106NI0012,LC6106NI0013,LC6106NI0014,LC6106NI0015
95AA01,3177,1666,1511,1167,633,534,881,476,405,804,398,406,325,159,166
95AA02,1319,658,661,256,120,136,252,117,135,670,344,326,141,77,64
95AA03,1317,611,706,214,83,131,227,105,122,736,363,373,140,60,80
95AA04,2227,1155,1072,682,335,347,674,356,318,568,307,261,303,157,146
95AA05,1924,959,965,554,242,312,493,259,234,618,340,278,259,118,141
95AA06,3133,1493,1640,810,383,427,729,314,415,1075,548,527,519,248,271
95AA07,1592,795,797,408,182,226,418,210,208,578,317,261,188,86,102
95AA08,1262,603,659,208,96,112,208,89,119,657,330,327,189,88,101
95AA09,1595,750,845,353,167,186,261,111,150,760,359,401,221,113,108
95AA10,1461,694,767,330,143,187,285,140,145,617,301,316,229,110,119
95AA11,3834,1908,1926,1190,549,641,904,422,482,1352,748,604,388,189,199
95AA12,2037,1034,1003,752,370,382,598,308,290,438,243,195,249,113,136
95AA13,2339,1141,1198,681,302,379,534,255,279,841,446,395,283,138,145
95AA14,1678,823,855,555,256,299,455,233,222,433,222,211,235,112,123
95AA15,3028,1462,1566,791,363,428,590,232,358,1261,687,574,386,180,206
95AA16,1351,649,702,202,86,116,216,92,124,773,388,385,160,83,77
95AA17,1614,777,837,356,153,203,304,138,166,731,372,359,223,114,109
95AA18,1821,885,936,795,396,399,455,214,241,367,169,198,204,106,98
95AA19,1888,936,952,404,154,250,461,280,181,662,344,318,361,158,203
95BB01,2650,1310,1340,773,368,405,798,373,425,772,412,360,307,157,150
95BB02,1711,864,847,342,169,173,375,193,182,750,379,371,244,123,121
95BB03,3080,1504,1576,714,334,380,810,403,407,1211,581,630,345,186,159
95BB04,2287,1120,1167,761,399,362,617,286,331,663,319,344,246,116,130
95BB05,2559,1263,1296,737,345,392,811,418,393,761,382,379,250,118,132
95BB06,2163,1077,1086,383,176,207,434,211,223,1061,538,523,285,152,133
95BB07,2136,1033,1103,549,260,289,563,256,307,785,395,390,239,122,117
95BB08,1938,916,1022,426,195,231,479,216,263,828,413,415,205,92,113
95BB09,2293,1146,1147,795,399,396,615,294,321,658,342,316,225,111,114
95BB10,2465,1200,1265,881,430,451,663,321,342,675,321,354,246,128,118
95BB11,2152,1032,1120,498,246,252,496,243,253,895,411,484,263,132,131
95BB12,2025,939,1086,546,279,267,404,176,228,800,356,444,275,128,147
95BB13,3277,1585,1692,920,465,455,786,358,428,1157,562,595,414,200,214
95BB14,2283,1139,1144,890,425,465,660,335,325,476,254,222,257,125,132
95BB15,2527,1251,1276,588,261,327,825,446,379,767,380,387,347,164,183
95BB16,2328,1199,1129,856,424,432,714,381,333,524,271,253,234,123,111
95BB17,2532,1196,1336,626,273,353,697,350,347,928,438,490,281,135,146
95BB18,3015,1451,1564,869,435,434,867,415,452,979,474,505,300,127,173
95BB19,3491,1721,1770,999,511,488,941,417,524,1154,594,560,397,199,198
95BB20,2495,1279,1216,553,240,313,735,415,320,831,413,418,376,211,165
95BB21,3420,1680,1740,789,359,430,1002,550,452,1220,583,637,409,188,221
95BB22,2146,982,1164,409,173,236,425,191,234,979,469,510,333,149,184
95BB23,2317,1145,1172,755,389,366,650,317,333,677,326,351,235,113,122
95CC01,1864,929,935,342,149,193,365,196,169,709,354,355,448,230,218
95CC02,1971,1035,936,469,198,271,584,334,250,587,329,258,331,174,157
95CC03,1989,963,1026,268,123,145,361,183,178,900,445,455,460,212,248
95CC04,1699,888,811,331,140,191,479,291,188,596,307,289,293,150,143
95CC05,1935,979,956,421,176,245,469,257,212,732,402,330,313,144,169
95CC06,2003,931,1072,665,297,368,444,196,248,617,299,318,277,139,138
95CC07,2417,1229,1188,487,190,297,662,379,283,783,420,363,485,240,245
95CC08,1783,845,938,394,162,232,341,162,179,660,336,324,388,185,203
95CC09,2490,1265,1225,675,302,373,731,379,352,796,453,343,288,131,157
95CC10,1889,1000,889,588,273,315,508,274,234,550,318,232,243,135,108
95CC11,1334,662,672,215,87,128,258,135,123,579,290,289,282,150,132
95CC12,1965,1021,944,446,198,248,584,322,262,628,334,294,307,167,140
