GeographyCode,LC6604NI0001,LC6604NI0002,LC6604NI0003,LC6604NI0004,LC6604NI0005,LC6604NI0006,LC6604NI0007,LC6604NI0008,LC6604NI0009,LC6604NI0010,LC6604NI0011,LC6604NI0012,LC6604NI0013,LC6604NI0014,LC6604NI0015,LC6604NI0016,LC6604NI0017,LC6604NI0018,LC6604NI0019,LC6604NI0020,LC6604NI0021,LC6604NI0022,LC6604NI0023,LC6604NI0024,LC6604NI0025,LC6604NI0026,LC6604NI0027,LC6604NI0028,LC6604NI0029,LC6604NI0030,LC6604NI0031,LC6604NI0032,LC6604NI0033,LC6604NI0034,LC6604NI0035,LC6604NI0036,LC6604NI0037,LC6604NI0038,LC6604NI0039,LC6604NI0040,LC6604NI0041,LC6604NI0042,LC6604NI0043,LC6604NI0044,LC6604NI0045
95AA01,2343,543,1800,547,87,460,734,94,640,888,281,607,174,81,93,1363,137,1226,291,17,274,565,38,527,410,55,355,97,27,70,980,406,574,256,70,186,169,56,113,478,226,252,77,54,23
95AA02,826,229,597,98,14,84,198,22,176,375,133,242,155,60,95,425,42,383,46,2,44,147,4,143,149,21,128,83,15,68,401,187,214,52,12,40,51,18,33,226,112,114,72,45,27
95AA03,775,230,545,88,12,76,170,17,153,357,120,237,160,81,79,391,59,332,32,1,31,131,8,123,141,24,117,87,26,61,384,171,213,56,11,45,39,9,30,216,96,120,73,55,18
95AA04,1570,457,1113,355,66,289,531,91,440,571,245,326,113,55,58,848,116,732,169,6,163,394,39,355,229,52,177,56,19,37,722,341,381,186,60,126,137,52,85,342,193,149,57,36,21
95AA05,1276,310,966,317,54,263,374,32,342,477,171,306,108,53,55,657,60,597,143,9,134,303,14,289,149,23,126,62,14,48,619,250,369,174,45,129,71,18,53,328,148,180,46,39,7
95AA06,2093,673,1420,377,46,331,482,78,404,1020,449,571,214,100,114,1031,149,882,193,4,189,345,30,315,365,79,286,128,36,92,1062,524,538,184,42,142,137,48,89,655,370,285,86,64,22
95AA07,1046,272,774,223,49,174,288,30,258,415,137,278,120,56,64,555,68,487,108,11,97,230,15,215,156,25,131,61,17,44,491,204,287,115,38,77,58,15,43,259,112,147,59,39,20
95AA08,700,228,472,75,9,66,150,17,133,340,138,202,135,64,71,335,52,283,33,3,30,112,8,104,130,30,100,60,11,49,365,176,189,42,6,36,38,9,29,210,108,102,75,53,22
95AA09,915,296,619,162,29,133,180,42,138,397,140,257,176,85,91,454,85,369,80,5,75,126,25,101,165,33,132,83,22,61,461,211,250,82,24,58,54,17,37,232,107,125,93,63,30
95AA10,807,250,557,150,32,118,165,24,141,358,137,221,134,57,77,401,71,330,60,5,55,130,13,117,146,38,108,65,15,50,406,179,227,90,27,63,35,11,24,212,99,113,69,42,27
95AA11,2800,663,2137,640,88,552,666,83,583,1151,354,797,343,138,205,1459,180,1279,287,18,269,496,28,468,467,77,390,209,57,152,1341,483,858,353,70,283,170,55,115,684,277,407,134,81,53
95AA12,1459,402,1057,426,77,349,446,71,375,478,201,277,109,53,56,794,97,697,204,11,193,348,32,316,171,28,143,71,26,45,665,305,360,222,66,156,98,39,59,307,173,134,38,27,11
95AA13,1573,384,1189,391,69,322,419,46,373,603,211,392,160,58,102,791,78,713,175,11,164,324,22,302,213,36,177,79,9,70,782,306,476,216,58,158,95,24,71,390,175,215,81,49,32
95AA14,1151,321,830,294,58,236,370,47,323,412,182,230,75,34,41,593,64,529,137,6,131,282,20,262,140,31,109,34,7,27,558,257,301,157,52,105,88,27,61,272,151,121,41,27,14
95AA15,2115,543,1572,461,68,393,438,51,387,874,289,585,342,135,207,1057,139,918,217,13,204,315,25,290,342,64,278,183,37,146,1058,404,654,244,55,189,123,26,97,532,225,307,159,98,61
95AA16,828,225,603,91,12,79,151,11,140,381,121,260,205,81,124,431,49,382,41,3,38,122,5,117,159,25,134,109,16,93,397,176,221,50,9,41,29,6,23,222,96,126,96,65,31
