GeographyCode,LC2101NI0001,LC2101NI0002,LC2101NI0003,LC2101NI0004,LC2101NI0005,LC2101NI0006,LC2101NI0007,LC2101NI0008,LC2101NI0009,LC2101NI0010,LC2101NI0011,LC2101NI0012,LC2101NI0013,LC2101NI0014,LC2101NI0015,LC2101NI0016,LC2101NI0017,LC2101NI0018,LC2101NI0019,LC2101NI0020,LC2101NI0021,LC2101NI0022,LC2101NI0023,LC2101NI0024,LC2101NI0025
N92000002,1810863,722379,457482,379267,251735,379323,139348,106666,82456,50853,471572,159763,134108,99498,78203,502686,202590,126928,101063,72105,457282,220678,89780,96250,50574
BHSCT,348204,134285,94702,65169,54048,65125,23680,20039,12261,9145,103397,31179,31877,19781,20560,93199,36466,25302,17015,14416,86483,42960,17484,16112,9927
NHSCT,463297,226455,73074,96118,67650,96425,43894,17396,21257,13878,114967,49491,20807,25128,19541,130489,64528,20603,25634,19724,121416,68542,14268,24099,14507
SEHSCT,346911,167650,53389,71018,54854,71305,31734,12834,15853,10884,82537,35006,15304,17746,14481,97363,47216,14721,19397,16029,95706,53694,10530,18022,13460
SHSCT,358034,116635,115787,77575,48037,81380,24214,28151,18039,10976,94189,26473,32282,19516,15918,99190,32604,32101,20657,13828,83275,33344,23253,19363,7315
WHSCT,294417,77354,120530,69387,27146,65088,15826,28246,15046,5970,76482,17614,33838,17327,7703,82445,21776,34201,18360,8108,70402,22138,24245,18654,5365
BELB,280962,98532,87312,52633,42485,52283,17502,18260,9619,6902,88165,24085,29878,16606,17596,72935,26134,22758,13203,10840,67579,30811,16416,13205,7147
NEELB,426284,214610,61678,86458,63538,88131,41553,14613,19001,12964,104625,46617,17398,22478,18132,120508,61283,17499,23189,18537,113020,65157,12168,21790,13905
SEELB,414153,203403,60779,83554,66417,84147,37912,14613,18495,13127,97769,42100,17303,20921,17445,117627,57548,17265,23209,19605,114610,65843,11598,20929,16240
SELB,395047,128480,127183,87235,52149,89674,26555,30934,20295,11890,104531,29347,35691,22166,17327,109171,35849,35205,23102,15015,91671,36729,25353,21672,7917
WELB,294417,77354,120530,69387,27146,65088,15826,28246,15046,5970,76482,17614,33838,17327,7703,82445,21776,34201,18360,8108,70402,22138,24245,18654,5365
UKN01,280962,98532,87312,52633,42485,52283,17502,18260,9619,6902,88165,24085,29878,16606,17596,72935,26134,22758,13203,10840,67579,30811,16416,13205,7147
UKN02,390597,204501,47437,73323,65336,78949,37995,11730,16273,12951,94130,43311,13863,19237,17719,111505,58007,13878,20324,19296,106013,65188,7966,17489,15370
UKN03,438823,211619,68741,92176,66287,92571,41958,15966,20727,13920,106594,45350,19051,23091,19102,123997,60306,19293,25087,19311,115661,64005,14431,23271,13954
UKN04,288597,96989,96913,63916,30779,61793,19054,22745,13641,6353,74388,21703,27786,16436,8463,81224,27618,27410,16986,9210,71192,28614,18972,16853,6753
UKN05,411884,110738,157079,97219,46848,93727,22839,37965,22196,10727,108295,25314,43530,24128,15323,113025,30525,43589,25463,13448,96837,32060,31995,25432,7350
95AA,53428,24456,9197,11521,8254,11949,5091,2403,2770,1685,13417,5382,2532,2897,2606,15317,7013,2711,3172,2421,12745,6970,1551,2682,1542
95BB,78078,46385,3867,14526,13300,15265,8972,677,3016,2600,17093,9399,905,3508,3281,22360,13327,1065,3989,3979,23360,14687,1220,4013,3440
95CC,59340,22357,17751,11962,7270,13145,4722,4086,2669,1668,15145,4969,5000,2889,2287,16278,6163,4828,3226,2061,14772,6503,3837,3178,1254
95DD,64044,37060,5642,11017,10325,12859,7124,1276,2347,2112,15106,7901,1420,2741,3044,17907,10444,1614,2942,2907,18172,11591,1332,2987,2262
95EE,31224,16028,4418,6802,3976,6616,3186,1084,1468,878,7811,3642,1257,1830,1082,8978,4672,1255,1857,1194,7819,4528,822,1647,822
95FF,48339,24679,6473,10685,6502,10812,5225,1529,2555,1503,11725,5438,1790,2767,1730,14142,7244,1810,3036,2052,11660,6772,1344,2327,1217
95GG,280962,98532,87312,52633,42485,52283,17502,18260,9619,6902,88165,24085,29878,16606,17596,72935,26134,22758,13203,10840,67579,30811,16416,13205,7147
95HH,39114,24436,1225,6692,6761,7705,4712,204,1442,1347,9030,5258,287,1705,1780,11639,7269,384,1874,2112,10740,7197,350,1671,1522
95II,67242,35753,7390,12536,11563,12842,6178,1779,2642,2243,15232,7094,1999,3175,2964,20264,10332,2544,3812,3576,18904,12149,1068,2907,2780
95JJ,59067,30378,6776,12420,9493,11450,5743,1381,2515,1811,14446,6366,2107,3334,2639,16461,8603,1824,3275,2759,16710,9666,1464,3296,2284
95KK,37013,11845,11396,9660,4112,8294,2341,2783,2256,914,10342,2874,3409,2650,1409,9981,3245,3104,2445,1187,8396,3385,2100,2309,602
95LL,93023,37475,21426,19246,14876,20520,7587,5122,4418,3393,24871,8505,6234,5082,5050,25676,10456,5948,5094,4178,21956,10927,4122,4652,2255
95MM,107877,21369,55949,21310,9249,24214,4353,13357,4567,1937,29554,5100,16218,5537,2699,30144,5901,15829,5664,2750,23965,6015,10545,5542,1863
95NN,69731,23056,19681,18814,8180,14985,4505,4452,4334,1694,17248,4837,5597,4575,2239,19199,6426,5392,5070,2311,18299,7288,4240,4835,1936
95OO,57852,15338,20644,12704,9166,13385,3152,5158,2933,2142,16031,3481,5933,3163,3454,15719,4226,5614,3341,2538,12717,4479,3939,3267,1032
95PP,61805,19729,20635,14799,6642,13141,4043,4479,3162,1457,15005,4326,5299,3536,1844,17180,5439,5956,3798,1987,16479,5921,4901,4303,1354
95QQ,32180,18508,2455,6367,4850,6181,3454,507,1287,933,7134,3888,573,1521,1152,9396,5396,753,1784,1463,9469,5770,622,1775,1302
95RR,33536,12295,9825,8363,3053,7243,2443,2354,1817,629,8773,2839,2892,2257,785,9659,3657,2769,2258,975,7861,3356,1810,2031,664
95SS,120165,54098,25744,22527,17796,26540,10560,6996,5289,3695,30521,11580,7940,5927,5074,33756,15264,7032,6168,5292,29348,16694,3776,5143,3735
95TT,45038,12043,17705,10781,4509,10577,2389,4525,2589,1074,12148,2820,5160,2751,1417,12283,3362,4804,2832,1285,10030,3472,3216,2609,733
95UU,17050,5598,5279,4441,1732,3447,1006,1191,897,353,3861,1171,1287,1005,398,4729,1581,1468,1153,527,5013,1840,1333,1386,454
95VV,99480,16786,49493,22978,10223,23518,3528,12256,5464,2270,26417,4080,13325,5615,3397,27375,4515,13901,5960,2999,22170,4663,10011,5939,1557
95WW,85139,46103,8981,16417,13638,17347,8848,2042,3686,2771,21672,10189,2775,4694,4014,23798,12943,2686,4300,3869,22322,14123,1478,3737,2984
95XX,78937,44111,4097,15151,15578,14515,7697,709,3214,2895,17675,9190,862,3736,3887,22048,12199,1232,4170,4447,24699,15025,1294,4031,4349
95YY,51356,12640,19455,14335,4926,11667,2664,4678,3123,1202,13207,2764,5404,3524,1515,14209,3575,5382,3861,1391,12273,3637,3991,3827,818
95ZZ,39843,11321,14666,10580,3276,8823,2323,3378,2377,745,9943,2585,4025,2473,860,11253,3204,4265,2779,1005,9824,3209,2998,2951,666
