GeographyCode,LC2402NI0001,LC2402NI0002,LC2402NI0003,LC2402NI0004,LC2402NI0005,LC2402NI0006,LC2402NI0007,LC2402NI0008,LC2402NI0009,LC2402NI0010,LC2402NI0011,LC2402NI0012,LC2402NI0013,LC2402NI0014,LC2402NI0015,LC2402NI0016
N92000002,1788339,809383,863163,115793,1285113,567266,651089,66758,219712,104388,100022,15302,283514,137729,112052,33733
BHSCT,342643,149495,161539,31609,204390,88194,101307,14889,72822,31714,35300,5808,65431,29587,24932,10912
NHSCT,457038,153764,272275,30999,347457,117474,210592,19391,41908,11266,27165,3477,67673,25024,34518,8131
SEHSCT,342197,106941,204281,30975,261330,78151,162913,20266,37709,14086,19996,3627,43158,14704,21372,7082
SHSCT,355580,201841,138903,14836,265738,146854,110747,8137,29472,18224,9678,1570,60370,36763,18478,5129
WHSCT,290881,197342,86165,7374,206198,136593,65530,4075,37801,29098,7883,820,46882,31651,12752,2479
BELB,276141,134740,116378,25023,152027,75723,65966,10338,65488,31345,29239,4904,58626,27672,21173,9781
NEELB,420327,131984,258434,29909,318742,100441,199442,18859,39708,10014,26318,3376,61877,21529,32674,7674
SEELB,408699,121696,249442,37561,313693,90622,198254,24817,45043,14455,26057,4531,49963,16619,25131,8213
SELB,392291,223621,152744,15926,294453,163887,121897,8669,31672,19476,10525,1671,66166,40258,20322,5586
WELB,290881,197342,86165,7374,206198,136593,65530,4075,37801,29098,7883,820,46882,31651,12752,2479
UKN01,276141,134740,116378,25023,152027,75723,65966,10338,65488,31345,29239,4904,58626,27672,21173,9781
UKN02,384428,90861,255452,38115,296377,68793,202149,25435,43659,10987,27985,4687,44392,11081,25318,7993
UKN03,434612,155091,248828,30693,328687,112889,196760,19038,39610,14543,21586,3481,66315,27659,30482,8174
UKN04,284667,161386,112915,10366,195977,108133,82022,5822,41299,26594,13457,1248,47391,26659,17436,3296
UKN05,408491,267305,129590,11596,312045,201728,104192,6125,29656,20919,7755,982,66790,44658,17643,4489
95AA,52540,21775,26440,4325,39880,16620,20763,2497,4771,1850,2381,540,7889,3305,3296,1288
95BB,77483,9831,59547,8105,60143,7336,47377,5430,8265,888,6319,1058,9075,1607,5851,1617
95CC,58638,28388,28112,2138,45904,21442,23189,1273,4005,2171,1690,144,8729,4775,3233,721
95DD,63403,14327,45189,3887,48075,10252,35498,2325,5557,1122,3988,447,9771,2953,5703,1115
95EE,31054,9902,19548,1604,23393,7735,14709,949,3030,840,2023,167,4631,1327,2816,488
95FF,48045,15421,29751,2873,38058,11864,24286,1908,3462,1209,1998,255,6525,2348,3467,710
95GG,276141,134740,116378,25023,152027,75723,65966,10338,65488,31345,29239,4904,58626,27672,21173,9781
95HH,38785,3705,30718,4362,29969,2741,24211,3017,4010,305,3192,513,4806,659,3315,832
95II,66502,14755,45161,6586,52363,12471,35341,4551,7334,369,6061,904,6805,1915,3759,1131
95JJ,57761,16128,37817,3816,40116,10822,27161,2133,6627,1675,4506,446,11018,3631,6150,1237
95KK,36711,21780,13841,1090,28715,17033,11150,532,2200,1252,847,101,5796,3495,1844,457
95LL,92513,42577,44341,5595,65735,28765,34020,2950,9465,4784,3925,756,17313,9028,6396,1889
95MM,106500,79860,23689,2951,67455,49523,16352,1580,21450,17637,3433,380,17595,12700,3904,991
95NN,68714,43215,21828,3671,52207,32282,17544,2381,5502,3934,1306,262,11005,6999,2978,1028
95OO,57462,36911,18936,1615,41857,25871,15251,735,4535,3234,1132,169,11070,7806,2553,711
95PP,61064,36180,23010,1874,47282,27523,18686,1073,4376,3059,1142,175,9406,5598,3182,626
95QQ,31914,7945,21732,2237,24589,5770,17272,1547,2588,756,1669,163,4737,1419,2791,527
95RR,32850,19698,12286,866,24394,14545,9325,524,3297,1921,1263,113,5159,3232,1698,229
95SS,118525,43388,66135,9002,88206,30465,52179,5562,17811,8673,7744,1394,12508,4250,6212,2046
95TT,44822,29623,14069,1130,35395,23937,10820,638,2870,1555,1241,74,6557,4131,2008,418
95UU,16907,10073,6254,580,12260,7516,4403,341,1882,862,957,63,2765,1695,894,176
95VV,98922,78544,17763,2615,74184,58912,14001,1271,8005,6826,933,246,16733,12806,2829,1098
95WW,83141,18506,56667,7968,65065,15048,44605,5412,8373,1049,6361,963,9703,2409,5701,1593
95XX,77475,10507,56771,10197,60774,8068,45813,6893,6131,591,4627,913,10570,1848,6331,2391
95YY,50872,35879,13859,1134,38708,27010,11095,603,3665,2822,770,73,8499,6047,1994,458
95ZZ,39595,25725,13321,549,28359,17992,10072,295,5013,3659,1275,79,6223,4074,1974,175
