GeographyCode,LC2404NI0001,LC2404NI0002,LC2404NI0003,LC2404NI0004,LC2404NI0005,LC2404NI0006,LC2404NI0007,LC2404NI0008,LC2404NI0009,LC2404NI0010,LC2404NI0011,LC2404NI0012,LC2404NI0013,LC2404NI0014,LC2404NI0015,LC2404NI0016,LC2404NI0017,LC2404NI0018,LC2404NI0019,LC2404NI0020,LC2404NI0021,LC2404NI0022,LC2404NI0023,LC2404NI0024,LC2404NI0025,LC2404NI0026,LC2404NI0027,LC2404NI0028,LC2404NI0029,LC2404NI0030,LC2404NI0031,LC2404NI0032,LC2404NI0033,LC2404NI0034,LC2404NI0035,LC2404NI0036,LC2404NI0037,LC2404NI0038,LC2404NI0039,LC2404NI0040,LC2404NI0041,LC2404NI0042
N92000002,703275,263153,312808,145109,104505,63194,127314,196414,64591,90401,42295,31388,16718,41422,212286,71816,103304,48093,34469,20742,37166,117920,46618,50442,23327,16799,10316,20860,176655,80128,68661,31394,21849,15418,27866,2.54,2.76,2.42,2.41,2.38,2.52,2.40
BHSCT,148328,50967,62030,26727,20617,14686,35331,50611,14970,22746,9913,7953,4880,12895,45387,14885,20169,8677,6655,4837,10333,23640,9012,9113,3898,3014,2201,5515,28690,12100,10002,4239,2995,2768,6588,2.31,2.50,2.17,2.16,2.11,2.28,2.27
NHSCT,177914,48294,98398,52927,26943,18528,31222,46858,10672,26693,14758,7470,4465,9493,55248,12978,33031,17750,9095,6186,9239,30174,8418,16385,8675,4535,3175,5371,45634,16226,22289,11744,5843,4702,7119,2.57,2.87,2.46,2.43,2.43,2.57,2.44
SEHSCT,136698,34368,73335,35184,23144,15007,28995,36574,7746,20439,9860,6807,3772,8389,44255,9626,25597,12293,8153,5151,9032,23269,6590,11788,5734,3654,2400,4891,32600,10406,15511,7297,4530,3684,6683,2.50,2.77,2.40,2.39,2.33,2.52,2.46
SHSCT,131129,64273,48215,18443,19436,10336,18641,32965,14701,12367,4563,5314,2490,5897,37040,16928,15050,5763,6160,3127,5062,22440,11275,8057,3041,3265,1751,3108,38684,21369,12741,5076,4697,2968,4574,2.71,2.86,2.59,2.63,2.50,2.68,2.51
WHSCT,109206,65251,30830,11828,14365,4637,13125,29406,16502,8156,3201,3844,1111,4748,30356,17399,9457,3610,4406,1441,3500,18397,11323,5099,1979,2331,789,1975,31047,20027,8118,3038,3784,1296,2902,2.66,2.75,2.58,2.55,2.58,2.70,2.40
BELB,120595,46467,45058,19193,15507,10358,29070,42401,13984,17398,7513,6241,3644,11019,36385,13627,14304,6098,4873,3333,8454,19166,8146,6575,2792,2230,1553,4445,22643,10710,6781,2790,2163,1828,5152,2.29,2.48,2.13,2.11,2.09,2.24,2.23
NEELB,165010,41682,93598,50993,24898,17707,29730,43835,9285,25541,14280,6974,4287,9009,51762,11393,31532,17153,8470,5909,8837,28079,7344,15594,8352,4178,3064,5141,41334,13660,20931,11208,5276,4447,6743,2.55,2.85,2.45,2.43,2.41,2.56,2.44
SEELB,164431,38868,90307,42718,28254,19335,35256,44784,8732,25787,12260,8519,5008,10265,53257,10884,31462,14872,9935,6655,10911,27743,7456,14326,6840,4438,3048,5961,38647,11796,18732,8746,5362,4624,8119,2.49,2.77,2.38,2.37,2.31,2.49,2.46
SELB,144033,70885,53015,20377,21481,11157,20133,35988,16088,13519,5041,5810,2668,6381,40526,18513,16549,6360,6785,3404,5464,24535,12349,8848,3364,3622,1862,3338,42984,23935,14099,5612,5264,3223,4950,2.72,2.88,2.60,2.63,2.52,2.69,2.52
WELB,109206,65251,30830,11828,14365,4637,13125,29406,16502,8156,3201,3844,1111,4748,30356,17399,9457,3610,4406,1441,3500,18397,11323,5099,1979,2331,789,1975,31047,20027,8118,3038,3784,1296,2902,2.66,2.75,2.58,2.55,2.58,2.70,2.40
