GeographyCode,LC2608NI0001,LC2608NI0002,LC2608NI0003,LC2608NI0004,LC2608NI0005,LC2608NI0006,LC2608NI0007,LC2608NI0008,LC2608NI0009,LC2608NI0010,LC2608NI0011,LC2608NI0012,LC2608NI0013,LC2608NI0014,LC2608NI0015,LC2608NI0016,LC2608NI0017,LC2608NI0018,LC2608NI0019,LC2608NI0020
N92000002,1313420,591988,647475,73957,339969,145401,175790,18778,288750,121315,153211,14224,463909,207240,232849,23820,220792,118032,85625,17135
BHSCT,257160,112754,122839,21567,72035,32149,33628,6258,46243,19029,23454,3760,86449,34963,45468,6018,52433,26613,20289,5531
NHSCT,335761,112467,204167,19127,85390,28287,52772,4331,76865,25241,47975,3649,123274,39454,77124,6696,50232,19485,26296,4451
SEHSCT,251647,78020,154698,18929,76279,21786,49438,5055,62107,18134,39739,4234,79306,24861,48741,5704,33955,13239,16780,3936
SHSCT,256035,145095,101518,9422,60356,32431,25983,1942,57836,30320,25846,1670,96408,55206,37395,3807,41435,27138,12294,2003
WHSCT,212817,143652,64253,4912,45909,30748,13969,1192,45699,28591,16197,911,78472,52756,24121,1595,42737,31557,9966,1214
BELB,208609,101943,89170,17496,55030,26724,23212,5094,35243,16976,15423,2844,71978,33069,34090,4819,46358,25174,16445,4739
NEELB,309116,96805,193911,18400,79977,25186,50568,4223,70843,21859,45445,3539,112831,33450,73035,6346,45465,16310,24863,4292
SEELB,300198,88831,188367,23000,93284,27211,59854,6219,73107,20187,47770,5150,93777,26755,60119,6903,40030,14678,20624,4728
SELB,282680,160757,111774,10149,65769,35532,28187,2050,63858,33702,28376,1780,106851,61210,41484,4157,46202,30313,13727,2162
WELB,212817,143652,64253,4912,45909,30748,13969,1192,45699,28591,16197,911,78472,52756,24121,1595,42737,31557,9966,1214
UKN01,208609,101943,89170,17496,55030,26724,23212,5094,35243,16976,15423,2844,71978,33069,34090,4819,46358,25174,16445,4739
UKN02,283218,67011,192637,23570,89464,22598,60499,6367,65185,14143,46053,4989,90068,18975,63856,7237,38501,11295,22229,4977
UKN03,317543,112948,185890,18705,83195,27740,51289,4166,75461,25190,46415,3856,116179,42104,67375,6700,42708,17914,20811,3983
UKN04,209839,118140,85043,6656,46170,25061,19507,1602,44311,23087,20046,1178,77013,43024,32008,1981,42345,26968,13482,1895
UKN05,294211,191946,94735,7530,66110,43278,21283,1549,68550,41919,25274,1357,108671,70068,35520,3083,50880,36681,12658,1541
95AA,38597,15768,20174,2655,10708,4288,5752,668,8945,3520,4887,538,13941,5655,7332,954,5003,2305,2203,495
95BB,57290,7438,45057,4795,15659,1888,12673,1098,15367,2079,12193,1095,19551,2519,15443,1589,6713,952,4748,1013
95CC,42544,20702,20448,1394,10271,4829,5135,307,10474,4718,5475,281,15063,7235,7308,520,6736,3920,2530,286
95DD,46337,10565,33437,2335,11888,2805,8612,471,10278,2242,7574,462,18348,4001,13433,914,5823,1517,3818,488
95EE,22558,7071,14555,932,4674,1414,3106,154,5546,1771,3592,183,8839,2614,5901,324,3499,1272,1956,271
95FF,34555,11090,21766,1699,9471,2934,6145,392,8790,2750,5684,356,11944,3842,7507,595,4350,1564,2430,356
95GG,208609,101943,89170,17496,55030,26724,23212,5094,35243,16976,15423,2844,71978,33069,34090,4819,46358,25174,16445,4739
95HH,28657,2827,23195,2635,8108,913,6572,623,6439,607,5325,507,10270,924,8424,922,3840,383,2874,583
95II,48551,10811,33669,4071,17005,5425,10416,1164,11000,2053,8031,916,14471,1894,11378,1199,6075,1439,3844,792
95JJ,43277,12201,28658,2418,10972,2896,7487,589,9465,2478,6585,402,14830,4251,9876,703,8010,2576,4710,724
95KK,26645,15662,10256,727,5413,3101,2204,108,6022,3382,2530,110,10443,6004,4089,350,4767,3175,1433,159
95LL,67061,30842,32663,3556,15857,6266,8934,657,13643,5639,7415,589,27410,13471,12410,1529,10151,5466,3904,781
95MM,78409,58464,17921,2024,17701,12953,4162,586,14192,10026,3837,329,28455,20959,6982,514,18061,14526,2940,595
95NN,50138,31362,16483,2293,13832,8189,5067,576,12849,7664,4658,527,15666,10233,4802,631,7791,5276,1956,559
95OO,41315,26462,13779,1074,9069,5753,3132,184,8993,5204,3649,140,16146,10324,5303,519,7107,5181,1695,231
95PP,44465,26331,16923,1211,9612,5581,3767,264,10824,5777,4798,249,16939,10321,6147,471,7090,4652,2211,227
95QQ,23565,5883,16310,1372,5780,1370,4106,304,5589,1296,4004,289,9319,2383,6448,488,2877,834,1752,291
95RR,24610,14547,9480,583,4814,2671,2029,114,5809,3376,2316,117,9153,5417,3532,204,4834,3083,1603,148
95SS,86371,31020,49914,5437,25989,8551,15948,1490,19694,6473,12091,1130,27917,10007,16209,1701,12771,5989,5666,1116
95TT,31959,20988,10299,672,7425,5176,2119,130,7579,4984,2463,132,11726,7179,4266,281,5229,3649,1451,129
95UU,12375,7349,4668,358,2859,1773,1001,85,3147,1869,1206,72,4320,2395,1797,128,2049,1312,664,73
95VV,70560,55999,12862,1699,15688,12649,2637,402,15936,12009,3623,304,25845,20334,4867,644,13091,11007,1735,349
95WW,61791,14153,42615,5023,17563,4551,11813,1199,13855,3092,9809,954,21238,4048,15558,1632,9135,2462,5435,1238
95XX,57848,8200,43244,6404,20799,3158,15750,1891,14197,1918,10797,1482,16172,2102,12287,1783,6680,1022,4410,1248
95YY,36723,25802,10168,753,8632,6189,2289,154,8722,5845,2736,141,12509,8671,3540,298,6860,5097,1603,160
95ZZ,28610,18508,9761,341,5150,3354,1722,74,6152,3567,2510,75,11416,7388,3920,108,5892,4199,1609,84
