GeographyCode,LC3301NI0001,LC3301NI0002,LC3301NI0003,LC3301NI0004,LC3301NI0005,LC3301NI0006,LC3301NI0007,LC3301NI0008,LC3301NI0009,LC3301NI0010,LC3301NI0011,LC3301NI0012
N92000002,1788339,1429222,359117,203339,23552,179787,156617,61444,95173,1428383,1344226,84157
BHSCT,342643,264200,78443,46025,4740,41285,30981,11615,19366,265637,247845,17792
NHSCT,457038,369457,87581,47155,5718,41437,40202,15911,24291,369681,347828,21853
SEHSCT,342197,278278,63919,34905,4482,30423,30658,12872,17786,276634,260924,15710
SHSCT,355580,287847,67733,39170,4666,34504,28942,11381,17561,287468,271800,15668
WHSCT,290881,229440,61441,36084,3946,32138,25834,9665,16169,228963,215829,13134
BELB,276141,210442,65699,39149,3842,35307,24978,9143,15835,212014,197457,14557
NEELB,420327,340585,79742,42752,5308,37444,37058,14773,22285,340517,320504,20013
SEELB,408699,332036,76663,41781,5380,36401,36661,15344,21317,330257,311312,18945
SELB,392291,316719,75572,43573,5076,38497,32086,12519,19567,316632,299124,17508
WELB,290881,229440,61441,36084,3946,32138,25834,9665,16169,228963,215829,13134
UKN01,276141,210442,65699,39149,3842,35307,24978,9143,15835,212014,197457,14557
UKN02,384428,312575,71853,38817,4942,33875,33940,14103,19837,311671,293530,18141
UKN03,434612,350699,83913,46071,5560,40511,38346,15446,22900,350195,329693,20502
UKN04,284667,224577,60090,34796,3881,30915,25351,9569,15782,224520,211127,13393
UKN05,408491,330929,77562,44506,5327,39179,34002,13183,20819,329983,312419,17564
95AA,52540,43470,9070,4918,622,4296,4155,1722,2433,43467,41126,2341
95BB,77483,61709,15774,8444,1018,7426,7505,3043,4462,61534,57648,3886
95CC,58638,47945,10693,6035,746,5289,4859,1980,2879,47744,45219,2525
95DD,63403,51897,11506,6093,806,5287,5488,2280,3208,51822,48811,3011
95EE,31054,25035,6019,3439,439,3000,2665,1022,1643,24950,23574,1376
95FF,48045,39187,8858,5036,602,4434,3915,1584,2331,39094,37001,2093
95GG,276141,210442,65699,39149,3842,35307,24978,9143,15835,212014,197457,14557
95HH,38785,30921,7864,4157,496,3661,3726,1495,2231,30902,28930,1972
95II,66502,53758,12744,6876,898,5978,6003,2472,3531,53623,50388,3235
95JJ,57761,46734,11027,5783,724,5059,5290,2151,3139,46688,43859,2829
95KK,36711,28872,7839,4403,410,3993,3144,1138,2006,29164,27324,1840
95LL,92513,73318,19195,10830,1174,9656,7918,2962,4956,73765,69182,4583
95MM,106500,83307,23193,14188,1488,12700,9191,3488,5703,83121,78331,4790
95NN,68714,55724,12990,7372,940,6432,6259,2648,3611,55083,52136,2947
95OO,57462,46774,10688,6101,726,5375,4591,1744,2847,46770,44304,2466
95PP,61064,49851,11213,6300,823,5477,5392,2155,3237,49372,46873,2499
95QQ,31914,25394,6520,3378,398,2980,3106,1207,1899,25430,23789,1641
95RR,32850,26220,6630,3713,428,3285,2864,1067,1797,26273,24725,1548
95SS,118525,96908,21617,12074,1574,10500,9826,4063,5763,96625,91271,5354
95TT,44822,36632,8190,4330,543,3787,3777,1363,2414,36715,34726,1989
95UU,16907,13451,3456,1959,256,1703,1534,578,956,13414,12617,797
95VV,98922,80623,18299,11168,1418,9750,7659,3111,4548,80095,76094,4001
95WW,83141,67051,16090,8695,1024,7671,7317,2955,4362,67129,63072,4057
95XX,77475,63937,13538,7015,950,6065,7068,3118,3950,63392,59869,3523
95YY,50872,40232,10640,6169,661,5508,4580,1692,2888,40123,37879,2244
95ZZ,39595,29830,9765,5714,546,5168,3807,1263,2544,30074,28021,2053
