GeographyCode,LC3605NI0001,LC3605NI0002,LC3605NI0003,LC3605NI0004,LC3605NI0005,LC3605NI0006,LC3605NI0007,LC3605NI0008,LC3605NI0009,LC3605NI0010,LC3605NI0011,LC3605NI0012,LC3605NI0013,LC3605NI0014,LC3605NI0015,LC3605NI0016,LC3605NI0017,LC3605NI0018,LC3605NI0019,LC3605NI0020,LC3605NI0021,LC3605NI0022,LC3605NI0023,LC3605NI0024
N92000002,1313420,268146,1045274,795263,61096,734167,230721,22410,208311,564542,38686,525856,518157,207050,311107,170016,84159,85857,95480,85078,10402,252661,37813,214848
BHSCT,257160,56683,200477,150870,11432,139438,46410,4416,41994,104460,7016,97444,106290,45251,61039,31330,17010,14320,22198,20005,2193,52762,8236,44526
NHSCT,335761,64152,271609,210147,16125,194022,59485,5793,53692,150662,10332,140330,125614,48027,77587,45739,21460,24279,20527,18189,2338,59348,8378,50970
SEHSCT,251647,47878,203769,158531,12303,146228,46157,4587,41570,112374,7716,104658,93116,35575,57541,37460,16469,20991,14501,13029,1472,41155,6077,35078
SHSCT,256035,51089,204946,157636,11733,145903,43990,4170,39820,113646,7563,106083,98399,39356,59043,29837,15484,14353,18821,16664,2157,49741,7208,42533
WHSCT,212817,48344,164473,118079,9503,108576,34679,3444,31235,83400,6059,77341,94738,38841,55897,25650,13736,11914,19433,17191,2242,49655,7914,41741
BELB,208609,47957,160652,118754,9088,109666,37529,3545,33984,81225,5543,75682,89855,38869,50986,24126,13752,10374,19833,17850,1983,45896,7267,38629
NEELB,309116,58336,250780,194151,14805,179346,54881,5299,49582,139270,9506,129764,114965,43531,71434,42768,19728,23040,18368,16307,2061,53829,7496,46333
SEELB,300198,56604,243594,190647,14647,176000,55038,5458,49580,135609,9189,126420,109551,41957,67594,44664,19727,24937,16866,15184,1682,48021,7046,40975
SELB,282680,56905,225775,173632,13053,160579,48594,4664,43930,125038,8389,116649,109048,43852,65196,32808,17216,15592,20980,18546,2434,55260,8090,47170
WELB,212817,48344,164473,118079,9503,108576,34679,3444,31235,83400,6059,77341,94738,38841,55897,25650,13736,11914,19433,17191,2242,49655,7914,41741
UKN01,208609,47957,160652,118754,9088,109666,37529,3545,33984,81225,5543,75682,89855,38869,50986,24126,13752,10374,19833,17850,1983,45896,7267,38629
UKN02,283218,51878,231340,182067,13639,168428,52421,5129,47292,129646,8510,121136,101151,38239,62912,41199,18193,23006,15225,13716,1509,44727,6330,38397
