GeographyCode,LC4102NI0001,LC4102NI0002,LC4102NI0003,LC4102NI0004,LC4102NI0005,LC4102NI0006,LC4102NI0007,LC4102NI0008,LC4102NI0009,LC4102NI0010,LC4102NI0011,LC4102NI0012,LC4102NI0013,LC4102NI0014,LC4102NI0015,LC4102NI0016,LC4102NI0017,LC4102NI0018,LC4102NI0019,LC4102NI0020,LC4102NI0021,LC4102NI0022,LC4102NI0023,LC4102NI0024,LC4102NI0025,LC4102NI0026,LC4102NI0027,LC4102NI0028
N92000002,703275,474751,104885,123639,196414,107202,46623,42589,455076,339582,51329,64165,269421,232472,13897,23052,100230,46466,28877,24887,85425,60644,8555,16226,51785,27967,6933,16885
BHSCT,148328,83915,34700,29713,50611,24640,15280,10691,82487,53908,16589,11990,40544,32866,3821,3857,24137,9631,10079,4427,17806,11411,2689,3706,15230,5367,2831,7032
NHSCT,177914,127620,21174,29120,46858,27056,10121,9681,119950,93526,10045,16379,73906,64848,2941,6117,23131,11691,5134,6306,22913,16987,1970,3956,11106,7038,1008,3060
SEHSCT,136698,99826,17644,19228,36574,22087,7567,6920,92625,72852,8990,10783,55946,49330,2437,4179,17532,8948,4847,3737,19147,14574,1706,2867,7499,4887,1087,1525
SHSCT,131129,92001,14218,24910,32965,18624,6629,7712,88923,67997,6759,14167,56199,48847,2151,5201,17986,8991,3438,5557,14738,10159,1170,3409,9241,5380,830,3031
WHSCT,109206,71389,17149,20668,29406,14795,7026,7585,71091,51299,8946,10846,42826,36581,2547,3698,17444,7205,5379,4860,10821,7513,1020,2288,8709,5295,1177,2237
BELB,120595,63019,30818,26758,42401,19300,13311,9790,64315,39197,14859,10259,29604,23062,3347,3195,21020,7903,9221,3896,13691,8232,2291,3168,13879,4522,2648,6709
NEELB,165010,118144,20122,26744,43835,25263,9648,8924,110991,86450,9518,15023,67975,59613,2763,5599,21435,10819,4862,5754,21581,16018,1893,3670,10184,6431,956,2797
SEELB,164431,120722,21526,22183,44784,27427,9536,7821,110797,87563,10720,12514,66886,59134,2911,4841,20649,10676,5705,4268,23262,17753,2104,3405,8850,5732,1270,1848
SELB,144033,101477,15270,27286,35988,20417,7102,8469,97882,75073,7286,15523,62130,54082,2329,5719,19682,9863,3710,6109,16070,11128,1247,3695,10163,5987,882,3294
