GeographyCode,LC5101NI0001,LC5101NI0002,LC5101NI0003,LC5101NI0004,LC5101NI0005,LC5101NI0006,LC5101NI0007,LC5101NI0008,LC5101NI0009,LC5101NI0010,LC5101NI0011,LC5101NI0012,LC5101NI0013,LC5101NI0014,LC5101NI0015,LC5101NI0016,LC5101NI0017,LC5101NI0018,LC5101NI0019,LC5101NI0020,LC5101NI0021,LC5101NI0022,LC5101NI0023,LC5101NI0024,LC5101NI0025,LC5101NI0026,LC5101NI0027,LC5101NI0028,LC5101NI0029,LC5101NI0030,LC5101NI0031,LC5101NI0032,LC5101NI0033,LC5101NI0034,LC5101NI0035,LC5101NI0036,LC5101NI0037,LC5101NI0038,LC5101NI0039,LC5101NI0040,LC5101NI0041,LC5101NI0042,LC5101NI0043,LC5101NI0044,LC5101NI0045,LC5101NI0046,LC5101NI0047,LC5101NI0048,LC5101NI0049
N92000002,1431540,416851,164798,213570,176110,338544,121667,227634,33623,34814,61948,57542,28177,11530,243938,25165,28093,39350,41926,90357,19047,254108,42770,39745,40444,31731,78906,20512,248578,67228,35594,36549,24113,61561,23533,193562,80111,16160,20256,12863,42725,21447,263720,167954,10392,15023,7935,36818,25598
BHSCT,283079,82416,30671,36764,36650,75840,20738,50508,6914,7219,11234,16181,6965,1995,52889,5726,5507,7388,7519,23368,3381,46245,8442,6792,6217,4860,16992,2942,46954,13586,6478,5809,4165,13093,3823,33778,14374,2651,3163,2280,7994,3316,52705,33374,2024,2953,1645,7428,5281
NHSCT,366872,106538,43450,56884,45576,82138,32286,56365,8030,8640,15667,14470,6644,2914,58602,5375,7233,10296,10790,20357,4551,66054,10299,10999,11421,8542,19377,5416,64435,16988,9434,10012,6258,15295,6448,50990,20643,4315,5508,3391,11074,6059,70426,45203,2829,3980,2125,9391,6898
SEHSCT,275606,67575,32900,44203,34752,72479,23697,39677,5775,6429,11758,9166,4730,1819,42860,3497,4979,7227,7957,16508,2692,48194,5889,7789,8050,6492,16585,3389,49169,9686,7285,7871,5514,14267,4546,40893,12930,3822,5130,3365,10847,4799,54813,29798,2596,4167,2258,9542,6452
SHSCT,276654,83107,31412,41914,32571,60400,27250,43856,6751,6672,12490,9548,5386,3009,50333,5328,5604,7767,8830,17296,5508,51542,8757,7675,8249,6568,14845,5448,47648,13614,6773,7317,4450,10338,5156,36112,16411,2980,3711,2078,6832,4100,47163,32246,1708,2380,1097,5703,4029
WHSCT,229329,77215,26365,33805,26561,47687,17696,37228,6153,5854,10799,8177,4452,1793,39254,5239,4770,6672,6830,12828,2915,42073,9383,6490,6507,5269,11107,3317,40372,13354,5624,5540,3726,8568,3560,31789,15753,2392,2744,1749,5978,3173,38613,27333,1235,1543,810,4754,2938
BELB,228679,69498,24585,28773,30052,59536,16235,43173,5950,6091,9099,14269,6025,1739,44992,5209,4772,6263,6205,19590,2953,36478,7517,5317,4740,3683,12890,2331,36457,11896,4965,4238,3024,9356,2978,26688,12144,1980,2315,1690,6043,2516,40891,26782,1460,2118,1181,5632,3718
NEELB,338153,96871,40086,52525,42220,76717,29734,51453,7313,7896,14291,13259,6065,2629,53172,4726,6539,9395,9903,18617,3992,60853,9162,10129,10520,7970,18181,4891,59655,15322,8748,9323,5839,14477,5946,47352,18687,4072,5197,3203,10482,5711,65668,41661,2702,3799,2046,8895,6565
SEELB,330006,80493,38986,52194,41350,88783,28200,47012,6739,7557,13893,11078,5670,2075,50757,4014,5714,8352,9271,20286,3120,57961,6814,9264,9527,7669,20687,4000,59666,11376,8798,9442,6655,18004,5391,47983,15160,4493,5978,3955,12798,5599,66627,36390,3160,5002,2722,11338,8015
SELB,305373,92774,34776,46273,35927,65821,29802,48768,7468,7416,13866,10759,5965,3294,55763,5977,6298,8668,9717,19036,6067,56743,9894,8545,9150,7140,16041,5973,52428,15280,7459,8006,4869,11156,5658,39750,18367,3223,4022,2266,7424,4448,51921,35788,1835,2561,1176,6199,4362
