GeographyCode,LC6103NI0001,LC6103NI0002,LC6103NI0003,LC6103NI0004,LC6103NI0005,LC6103NI0006,LC6103NI0007,LC6103NI0008,LC6103NI0009,LC6103NI0010,LC6103NI0011,LC6103NI0012,LC6103NI0013,LC6103NI0014,LC6103NI0015
N92000002,795263,498273,296990,176791,109142,67649,203720,123158,80562,328877,212705,116172,85875,53268,32607
BHSCT,150870,100148,50722,39239,25713,13526,31132,20305,10827,61596,41754,19842,18903,12376,6527
NHSCT,210147,128594,81553,43770,26454,17316,56739,33634,23105,86653,54754,31899,22985,13752,9233
SEHSCT,158531,94323,64208,36696,20554,16142,40785,23823,16962,66622,41123,25499,14428,8823,5605
SHSCT,157636,101259,56377,33117,21566,11551,42993,26552,16441,64729,42456,22273,16797,10685,6112
WHSCT,118079,73949,44130,23969,14855,9114,32071,18844,13227,49277,32618,16659,12762,7632,5130
BELB,118754,81222,37532,30103,20356,9747,23976,16073,7903,48782,34245,14537,15893,10548,5345
NEELB,194151,117946,76205,40753,24383,16370,51790,30505,21285,80370,50437,29933,21238,12621,8617
SEELB,190647,113249,77398,45832,25911,19921,47941,28055,19886,79436,48632,30804,17438,10651,6787
SELB,173632,111907,61725,36134,23637,12497,47942,29681,18261,71012,46773,24239,18544,11816,6728
WELB,118079,73949,44130,23969,14855,9114,32071,18844,13227,49277,32618,16659,12762,7632,5130
UKN01,118754,81222,37532,30103,20356,9747,23976,16073,7903,48782,34245,14537,15893,10548,5345
UKN02,182067,109574,72493,44538,25913,18625,43103,25664,17439,77197,47571,29626,17229,10426,6803
UKN03,200970,122632,78338,41717,24813,16904,53382,31355,22027,84749,53548,31201,21122,12916,8206
UKN04,114548,71021,43527,23323,13881,9442,30279,17771,12508,48134,31646,16488,12812,7723,5089
UKN05,178924,113824,65100,37110,24179,12931,52980,32295,20685,70015,45695,24320,18819,11655,7164
95AA,25595,16037,9558,5529,3340,2189,6688,4042,2646,10318,6713,3605,3060,1942,1118
95BB,35743,20587,15156,7012,3795,3217,9639,5383,4256,15597,9372,6225,3495,2037,1458
95CC,26586,16435,10151,5555,3541,2014,7439,4434,3005,10786,6704,4082,2806,1756,1050
95DD,29920,18061,11859,6284,3808,2476,7959,4582,3377,12497,7807,4690,3180,1864,1316
95EE,13426,8284,5142,2468,1553,915,4061,2448,1613,5558,3518,2040,1339,765,574
95FF,22621,14085,8536,5020,3175,1845,6319,3815,2504,9199,5844,3355,2083,1251,832
95GG,118754,81222,37532,30103,20356,9747,23976,16073,7903,48782,34245,14537,15893,10548,5345
95HH,18104,10666,7438,3782,2145,1637,4426,2598,1828,8010,4802,3208,1886,1121,765
95II,32116,18926,13190,9136,5357,3779,7156,4232,2924,12814,7509,5305,3010,1828,1182
95JJ,25272,14655,10617,5458,2931,2527,6521,3620,2901,10296,6256,4040,2997,1848,1149
95KK,15996,10648,5348,3017,2071,946,4949,3129,1820,6283,4317,1966,1747,1131,616
95LL,41320,26904,14416,8291,5478,2813,9738,6052,3686,18505,12276,6229,4786,3098,1688
95MM,40612,26114,14498,9100,5437,3663,9185,5601,3584,17874,12304,5570,4453,2772,1681
95NN,30910,18470,12440,6899,3753,3146,8933,5226,3707,12238,7677,4561,2840,1814,1026
95OO,25646,16928,8718,5266,3575,1691,7567,4731,2836,10039,6803,3236,2774,1819,955
95PP,27574,16478,11096,5164,3158,2006,8046,4524,3522,11402,7137,4265,2962,1659,1303
95QQ,14861,8488,6373,2682,1464,1218,4106,2255,1851,6395,3859,2536,1678,910,768
95RR,13217,8342,4875,2391,1510,881,3740,2290,1450,5551,3659,1892,1535,883,652
95SS,54962,33965,20997,13426,7928,5498,13250,8111,5139,23122,14705,8417,5164,3221,1943
95TT,19983,13023,6960,4353,2973,1380,6399,4114,2285,7188,4736,2452,2043,1200,843
95UU,7021,4016,3005,1362,764,598,2322,1226,1096,2522,1560,962,815,466,349
95VV,41463,26907,14556,8985,5797,3188,11930,7520,4410,16200,10829,5371,4348,2761,1587
95WW,39969,24716,15253,8835,5405,3430,9308,5620,3688,17586,11186,6400,4240,2505,1735
95XX,36916,21301,15615,9359,5078,4281,8963,5103,3860,15665,9369,6296,2929,1751,1178
95YY,21676,13405,8271,4770,3064,1706,6650,3843,2807,8117,5169,2948,2139,1329,810
95ZZ,15000,9610,5390,2544,1686,858,4450,2586,1864,6333,4349,1984,1673,989,684
