GeographyCode,LC6109NI0001,LC6109NI0002,LC6109NI0003,LC6109NI0004,LC6109NI0005,LC6109NI0006,LC6109NI0007,LC6109NI0008,LC6109NI0009,LC6109NI0010,LC6109NI0011,LC6109NI0012,LC6109NI0013,LC6109NI0014,LC6109NI0015,LC6109NI0016,LC6109NI0017,LC6109NI0018
N92000002,795263,230721,564542,111007,52911,58096,192481,40573,151908,194785,51755,143030,179652,47986,131666,117338,37496,79842
BHSCT,150870,46410,104460,24543,13893,10650,41132,8739,32393,34473,9070,25403,32246,8778,23468,18476,5930,12546
NHSCT,210147,59485,150662,28328,13016,15312,47553,9960,37593,52713,13747,38966,48676,12534,36142,32877,10228,22649
SEHSCT,158531,46157,112374,20481,9489,10992,34802,7387,27415,39040,10494,28546,37834,9946,27888,26374,8841,17533
SHSCT,157636,43990,113646,21833,9141,12692,40265,8092,32173,39161,10434,28727,34095,9210,24885,22282,7113,15169
WHSCT,118079,34679,83400,15822,7372,8450,28729,6395,22334,29398,8010,21388,26801,7518,19283,17329,5384,11945
BELB,118754,37529,81225,20692,11928,8764,34370,7462,26908,26160,7035,19125,23675,6650,17025,13857,4454,9403
NEELB,194151,54881,139270,25894,11995,13899,43184,9091,34093,48868,12671,36197,45441,11551,33890,30764,9573,21191
SEELB,190647,55038,135609,24332,11454,12878,41564,8664,32900,47353,12529,34824,46405,12074,34331,30993,10317,20676
SELB,173632,48594,125038,24267,10162,14105,44634,8961,35673,43006,11510,31496,37330,10193,27137,24395,7768,16627
WELB,118079,34679,83400,15822,7372,8450,28729,6395,22334,29398,8010,21388,26801,7518,19283,17329,5384,11945
UKN01,118754,37529,81225,20692,11928,8764,34370,7462,26908,26160,7035,19125,23675,6650,17025,13857,4454,9403
UKN02,182067,52421,129646,23490,11584,11906,40404,8362,32042,45680,11838,33842,44104,11264,32840,28389,9373,19016
UKN03,200970,55932,145038,26465,11541,14924,45687,9414,36273,50480,13269,37211,46551,11722,34829,31787,9986,21801
UKN04,114548,35289,79259,15586,7925,7661,26648,6512,20136,28787,8032,20755,26624,7505,19119,16903,5315,11588
UKN05,178924,49550,129374,24774,9933,14841,45372,8823,36549,43678,11581,32097,38698,10845,27853,26402,8368,18034
95AA,25595,6910,18685,3474,1535,1939,5991,1194,4797,6572,1677,4895,5688,1321,4367,3870,1183,2687
95BB,35743,10496,25247,4328,1896,2432,7271,1625,5646,8988,2488,6500,8844,2349,6495,6312,2138,4174
95CC,26586,7409,19177,3644,1390,2254,6306,1279,5027,6485,1727,4758,5944,1607,4337,4207,1406,2801
95DD,29920,8165,21755,3809,1562,2247,6571,1345,5226,7681,1996,5685,6765,1691,5074,5094,1571,3523
95EE,13426,3604,9822,1641,631,1010,3193,663,2530,3450,882,2568,3155,837,2318,1987,591,1396
95FF,22621,5991,16630,2828,1180,1648,5299,968,4331,5958,1521,4437,5225,1346,3879,3311,976,2335
95GG,118754,37529,81225,20692,11928,8764,34370,7462,26908,26160,7035,19125,23675,6650,17025,13857,4454,9403
95HH,18104,5175,12929,2416,1123,1293,3625,791,2834,4625,1212,3413,4598,1149,3449,2840,900,1940
95II,32116,8881,23235,3851,1965,1886,6762,1277,5485,8313,2035,6278,8571,2128,6443,4619,1476,3143
95JJ,25272,8239,17033,3545,2116,1429,5051,1294,3757,6059,1666,4393,6279,1755,4524,4338,1408,2930
95KK,15996,4604,11392,2434,1021,1413,4369,869,3500,3845,1076,2769,3235,983,2252,2113,655,1458
95LL,41320,11369,29951,5711,2620,3091,10899,2218,8681,10294,2627,7667,8888,2205,6683,5528,1699,3829
95MM,40612,13373,27239,5807,3292,2515,10212,2788,7424,10095,2942,7153,9223,2662,6561,5275,1689,3586
95NN,30910,8928,21982,4377,1951,2426,6707,1430,5277,7386,2013,5373,7247,1873,5374,5193,1661,3532
95OO,25646,7000,18646,3623,1391,2232,7027,1330,5697,6278,1655,4623,5243,1486,3757,3475,1138,2337
95PP,27574,7549,20025,3482,1377,2105,6377,1194,5183,6619,1686,4933,6327,1777,4550,4769,1515,3254
95QQ,14861,4073,10788,1938,797,1141,2949,634,2315,3601,947,2654,3894,937,2957,2479,758,1721
95RR,13217,3686,9531,1615,663,952,3182,663,2519,3545,955,2590,2954,795,2159,1921,610,1311
95SS,54962,15966,38996,7417,3592,3825,12880,2699,10181,13668,3680,9988,12834,3322,9512,8163,2673,5490
95TT,19983,5066,14917,2764,1020,1744,5202,888,4314,5057,1219,3838,4191,1109,3082,2769,830,1939
95UU,7021,2017,5004,860,357,503,1409,320,1089,1747,474,1273,1679,489,1190,1326,377,949
95VV,41463,12221,29242,6027,2560,3467,10734,2297,8437,10146,2904,7242,8795,2566,6229,5761,1894,3867
95WW,39969,11632,28337,5447,2854,2593,9193,1962,7231,10076,2598,7478,9192,2263,6929,6061,1955,4106
95XX,36916,10767,26149,4359,2050,2309,7944,1633,6311,8998,2313,6685,8909,2402,6507,6706,2369,4337
95YY,21676,5701,15975,2800,1174,1626,5357,966,4391,5248,1314,3934,4963,1317,3646,3308,930,2378
95ZZ,15000,4370,10630,2118,866,1252,3601,784,2817,3891,1113,2778,3334,967,2367,2056,640,1416
