GeographyCode,LC6303NI0001,LC6303NI0002,LC6303NI0003,LC6303NI0004,LC6303NI0005,LC6303NI0006,LC6303NI0007,LC6303NI0008,LC6303NI0009
N92000002,1431540,213851,1217689,1072902,185193,887709,358638,28658,329980
BHSCT,283079,43158,239921,204816,37411,167405,78263,5747,72516
NHSCT,366872,53975,312897,279085,46775,232310,87787,7200,80587
SEHSCT,275606,43217,232389,211366,37488,173878,64240,5729,58511
SHSCT,276654,39908,236746,209561,34633,174928,67093,5275,61818
WHSCT,229329,33593,195736,168074,28886,139188,61255,4707,56548
BELB,228679,34407,194272,163317,29796,133521,65362,4611,60751
NEELB,338153,50153,288000,258148,43546,214602,80005,6607,73398
SEELB,330006,51968,278038,252865,45103,207762,77141,6865,70276
SELB,305373,43730,261643,230498,37862,192636,74875,5868,69007
WELB,229329,33593,195736,168074,28886,139188,61255,4707,56548
UKN01,228679,34407,194272,163317,29796,133521,65362,4611,60751
UKN02,311648,48632,263016,239266,42340,196926,72382,6292,66090
UKN03,346252,50184,296068,262408,43300,219108,83844,6884,76960
UKN04,226804,32457,194347,166961,27888,139073,59843,4569,55274
UKN05,318157,48171,269986,240950,41869,199081,77207,6302,70905
95AA,41479,5784,35695,32303,5023,27280,9176,761,8415
95BB,62813,9075,53738,47069,7768,39301,15744,1307,14437
95CC,46195,7049,39146,35335,6159,29176,10860,890,9970
95DD,51185,7640,43545,39499,6700,32799,11686,940,10746
95EE,24608,3439,21169,18633,2996,15637,5975,443,5532
95FF,37527,5636,31891,28780,4927,23853,8747,709,8038
95GG,228679,34407,194272,163317,29796,133521,65362,4611,60751
95HH,31409,4677,26732,23511,3990,19521,7898,687,7211
95II,54400,8751,45649,41499,7615,33884,12901,1136,11765
95JJ,47617,7967,39650,36464,6914,29550,11153,1053,10100
95KK,28719,3822,24897,20937,3229,17708,7782,593,7189
95LL,72503,9629,62874,53570,8212,45358,18933,1417,17516
95MM,83663,11510,72153,60707,9771,50936,22956,1739,21217
95NN,54746,8779,45967,41696,7567,34129,13050,1212,11838
95OO,44467,6266,38201,33943,5427,28516,10524,839,9685
95PP,48664,8164,40500,37263,7110,30153,11401,1054,10347
95QQ,25999,3641,22358,19491,3103,16388,6508,538,5970
95RR,26293,3363,22930,19553,2947,16606,6740,416,6324
95SS,93625,14276,79349,72125,12466,59659,21500,1810,19690
95TT,34461,4976,29485,26439,4344,22095,8022,632,7390
95UU,13603,2188,11415,10153,1894,8259,3450,294,3156
95VV,75962,11328,64634,57933,9908,48025,18029,1420,16609
95WW,67792,9841,57951,51655,8582,43073,16137,1259,14878
95XX,64422,11087,53335,50476,9687,40789,13946,1400,12546
95YY,39689,6566,33123,29100,5692,23408,10589,874,9715
95ZZ,31020,3990,27030,21451,3366,18085,9569,624,8945
