GeographyCode,LC6501NI0001,LC6501NI0002,LC6501NI0003,LC6501NI0004,LC6501NI0005,LC6501NI0006,LC6501NI0007,LC6501NI0008,LC6501NI0009,LC6501NI0010,LC6501NI0011,LC6501NI0012,LC6501NI0013,LC6501NI0014,LC6501NI0015,LC6501NI0016,LC6501NI0017,LC6501NI0018,LC6501NI0019,LC6501NI0020,LC6501NI0021
N92000002,1431540,213851,1217689,416851,21470,395381,164798,18501,146297,213570,35417,178153,176110,35827,140283,338544,88448,250096,121667,14188,107479
BHSCT,283079,43158,239921,82416,3386,79030,30671,3159,27512,36764,5823,30941,36650,8562,28088,75840,20043,55797,20738,2185,18553
NHSCT,366872,53975,312897,106538,5672,100866,43450,4810,38640,56884,9257,47627,45576,9033,36543,82138,21387,60751,32286,3816,28470
SEHSCT,275606,43217,232389,67575,3717,63858,32900,3625,29275,44203,7290,36913,34752,6689,28063,72479,19099,53380,23697,2797,20900
SHSCT,276654,39908,236746,83107,4561,78546,31412,3671,27741,41914,6860,35054,32571,6187,26384,60400,15581,44819,27250,3048,24202
WHSCT,229329,33593,195736,77215,4134,73081,26365,3236,23129,33805,6187,27618,26561,5356,21205,47687,12338,35349,17696,2342,15354
BELB,228679,34407,194272,69498,2695,66803,24585,2454,22131,28773,4436,24337,30052,7228,22824,59536,15920,43616,16235,1674,14561
NEELB,338153,50153,288000,96871,5186,91685,40086,4408,35678,52525,8537,43988,42220,8421,33799,76717,20065,56652,29734,3536,26198
SEELB,330006,51968,278038,80493,4408,76085,38986,4330,34656,52194,8677,43517,41350,8023,33327,88783,23222,65561,28200,3308,24892
SELB,305373,43730,261643,92774,5047,87727,34776,4073,30703,46273,7580,38693,35927,6799,29128,65821,16903,48918,29802,3328,26474
WELB,229329,33593,195736,77215,4134,73081,26365,3236,23129,33805,6187,27618,26561,5356,21205,47687,12338,35349,17696,2342,15354
UKN01,228679,34407,194272,69498,2695,66803,24585,2454,22131,28773,4436,24337,30052,7228,22824,59536,15920,43616,16235,1674,14561
UKN02,311648,48632,263016,75167,4071,71096,37367,4023,33344,48673,7975,40698,39865,7831,32034,84597,21799,62798,25979,2933,23046
UKN03,346252,50184,296068,97849,5244,92605,41019,4475,36544,54900,8591,46309,41951,7948,34003,78507,20329,58178,32026,3597,28429
UKN04,226804,32457,194347,75017,3754,71263,26352,3062,23290,33746,5770,27976,27495,5486,22009,47180,12146,35034,17014,2239,14775
UKN05,318157,48171,269986,99320,5706,93614,35475,4487,30988,47478,8645,38833,36747,7334,29413,68724,18254,50470,30413,3745,26668
95AA,41479,5784,35695,10904,571,10333,5097,522,4575,6863,973,5890,4979,903,4076,9828,2423,7405,3808,392,3416
95BB,62813,9075,53738,16755,829,15926,8030,877,7153,10318,1629,8689,7747,1467,6280,14010,3603,10407,5953,670,5283
95CC,46195,7049,39146,14021,823,13198,5139,613,4526,7072,1245,5827,5411,1064,4347,10267,2760,7507,4285,544,3741
95DD,51185,7640,43545,16116,909,15207,5540,635,4905,7595,1321,6274,5914,1129,4785,11263,3073,8190,4757,573,4184
95EE,24608,3439,21169,8229,450,7779,2914,338,2576,3987,644,3343,2886,539,2347,4521,1201,3320,2071,267,1804
95FF,37527,5636,31891,10440,579,9861,4525,519,4006,5855,960,4895,4630,880,3750,8924,2319,6605,3153,379,2774
95GG,228679,34407,194272,69498,2695,66803,24585,2454,22131,28773,4436,24337,30052,7228,22824,59536,15920,43616,16235,1674,14561
95HH,31409,4677,26732,7992,482,7510,4037,430,3607,5074,778,4296,4108,771,3337,7325,1948,5377,2873,268,2605
95II,54400,8751,45649,12918,691,12227,6086,705,5381,7991,1387,6604,6598,1334,5264,16304,4123,12181,4503,511,3992
95JJ,47617,7967,39650,13612,786,12826,5347,658,4689,7116,1291,5825,6189,1472,4717,11646,3230,8416,3707,530,3177
95KK,28719,3822,24897,9667,486,9181,3364,402,2962,4359,720,3639,3356,612,2744,5421,1322,4099,2552,280,2272
95LL,72503,9629,62874,22178,1185,20993,8503,886,7617,11358,1590,9768,8334,1562,6772,15311,3741,11570,6819,665,6154
95MM,83663,11510,72153,27285,1295,25990,9795,1114,8681,12316,2093,10223,10294,1895,8399,18272,4405,13867,5701,708,4993
95NN,54746,8779,45967,14199,831,13368,6077,709,5368,8802,1477,7325,7006,1411,5595,13749,3742,10007,4913,609,4304
95OO,44467,6266,38201,13813,703,13110,4769,561,4208,6390,1068,5322,5053,933,4120,9415,2508,6907,5027,493,4534
95PP,48664,8164,40500,15733,1031,14702,5725,808,4917,7320,1447,5873,5213,1251,3962,10353,2974,7379,4320,653,3667
95QQ,25999,3641,22358,7257,340,6917,3247,327,2920,4109,641,3468,3341,596,2745,5422,1428,3994,2623,309,2314
95RR,26293,3363,22930,9067,376,8691,3079,304,2775,4016,671,3345,3235,637,2598,4753,1113,3640,2143,262,1881
95SS,93625,14276,79349,23658,1293,22365,11398,1132,10266,14760,2366,12394,11629,2164,9465,24633,6448,18185,7547,873,6674
95TT,34461,4976,29485,10871,619,10252,3824,421,3403,5198,900,4298,4152,774,3378,7467,1872,5595,2949,390,2559
95UU,13603,2188,11415,4254,188,4066,1629,228,1401,2058,363,1695,1491,322,1169,2997,916,2081,1174,171,1003
95VV,75962,11328,64634,22655,1271,21384,8476,1092,7384,11239,1997,9242,9143,1748,7395,16483,4253,12230,7966,967,6999
95WW,67792,9841,57951,17636,841,16795,8451,849,7602,10525,1626,8899,9160,1915,7245,16248,3974,12274,5772,636,5136
95XX,64422,11087,53335,12963,764,12199,7395,907,6488,10323,1818,8505,8370,1647,6723,20087,5306,14781,5284,645,4639
95YY,39689,6566,33123,12560,773,11787,4178,590,3588,5900,1268,4632,4419,952,3467,9318,2565,6753,3314,418,2896
95ZZ,31020,3990,27030,12570,659,11911,3588,420,3168,4253,708,3545,3400,621,2779,4991,1281,3710,2218,301,1917
