ColumnVariableCode,ColumnVariableMeasurementUnit,ColumnVariableStatisticalUnit,ColumnVariableDescription
LC6601NI0001,Count,PERSONS,"All categories: Economic Activity, All categories: Voluntary Work"
LC6601NI0002,Count,PERSONS,"All categories: Economic Activity, Voluntary work without pay: Yes"
LC6601NI0003,Count,PERSONS,"All categories: Economic Activity, Voluntary work without pay: No"
LC6601NI0004,Count,PERSONS,"In employment, All categories: Voluntary Work"
LC6601NI0005,Count,PERSONS,"In employment, Voluntary work without pay: Yes"
LC6601NI0006,Count,PERSONS,"In employment, Voluntary work without pay: No"
LC6601NI0007,Count,PERSONS,"In employment: Part-time, All categories: Voluntary Work"
LC6601NI0008,Count,PERSONS,"In employment: Part-time, Voluntary work without pay: Yes"
LC6601NI0009,Count,PERSONS,"In employment: Part-time, Voluntary work without pay: No"
LC6601NI0010,Count,PERSONS,"In employment: Full-time, All categories: Voluntary Work"
LC6601NI0011,Count,PERSONS,"In employment: Full-time, Voluntary work without pay: Yes"
LC6601NI0012,Count,PERSONS,"In employment: Full-time, Voluntary work without pay: No"
LC6601NI0013,Count,PERSONS,"Not in employment, All categories: Voluntary Work"
LC6601NI0014,Count,PERSONS,"Not in employment, Voluntary work without pay: Yes"
LC6601NI0015,Count,PERSONS,"Not in employment, Voluntary work without pay: No"
LC6601NI0016,Count,PERSONS,"Not in employment: Retired, All categories: Voluntary Work"
LC6601NI0017,Count,PERSONS,"Not in employment: Retired, Voluntary work without pay: Yes"
LC6601NI0018,Count,PERSONS,"Not in employment: Retired, Voluntary work without pay: No"
LC6601NI0019,Count,PERSONS,"Not in employment: Student (including full-time students), All categories: Voluntary Work"
LC6601NI0020,Count,PERSONS,"Not in employment: Student (including full-time students), Voluntary work without pay: Yes"
LC6601NI0021,Count,PERSONS,"Not in employment: Student (including full-time students), Voluntary work without pay: No"
LC6601NI0022,Count,PERSONS,"Not in employment: Other, All categories: Voluntary Work"
LC6601NI0023,Count,PERSONS,"Not in employment: Other, Voluntary work without pay: Yes"
LC6601NI0024,Count,PERSONS,"Not in employment: Other, Voluntary work without pay: No"
