GeographyCode,LC6604NI0001,LC6604NI0002,LC6604NI0003,LC6604NI0004,LC6604NI0005,LC6604NI0006,LC6604NI0007,LC6604NI0008,LC6604NI0009,LC6604NI0010,LC6604NI0011,LC6604NI0012,LC6604NI0013,LC6604NI0014,LC6604NI0015,LC6604NI0016,LC6604NI0017,LC6604NI0018,LC6604NI0019,LC6604NI0020,LC6604NI0021,LC6604NI0022,LC6604NI0023,LC6604NI0024,LC6604NI0025,LC6604NI0026,LC6604NI0027,LC6604NI0028,LC6604NI0029,LC6604NI0030,LC6604NI0031,LC6604NI0032,LC6604NI0033,LC6604NI0034,LC6604NI0035,LC6604NI0036,LC6604NI0037,LC6604NI0038,LC6604NI0039,LC6604NI0040,LC6604NI0041,LC6604NI0042,LC6604NI0043,LC6604NI0044,LC6604NI0045
N92000002,795263,230721,564542,176791,29291,147500,203720,32363,171357,328877,127949,200928,85875,41118,44757,412130,60441,351689,84249,5367,78882,154177,16335,137842,126772,25757,101015,46932,12982,33950,383133,170280,212853,92542,23924,68618,49543,16028,33515,202105,102192,99913,38943,28136,10807
BHSCT,150870,46410,104460,39239,5651,33588,31132,5486,25646,61596,25378,36218,18903,9895,9008,75152,12924,62228,19901,1249,18652,21347,2565,18782,23752,5778,17974,10152,3332,6820,75718,33486,42232,19338,4402,14936,9785,2921,6864,37844,19600,18244,8751,6563,2188
NHSCT,210147,59485,150662,43770,7471,36299,56739,8246,48493,86653,33204,53449,22985,10564,12421,109901,14587,95314,20682,1215,19467,43863,4052,39811,32663,6150,26513,12693,3170,9523,100246,44898,55348,23088,6256,16832,12876,4194,8682,53990,27054,26936,10292,7394,2898
SEHSCT,158531,46157,112374,36696,6692,30004,40785,6641,34144,66622,25806,40816,14428,7018,7410,81236,11203,70033,18046,1153,16893,30318,3105,27213,24883,4674,20209,7989,2271,5718,77295,34954,42341,18650,5539,13111,10467,3536,6931,41739,21132,20607,6439,4747,1692
SHSCT,157636,43990,113646,33117,5882,27235,42993,6674,36319,64729,24258,40471,16797,7176,9621,83677,11343,72334,15036,976,14060,33600,3617,29983,25870,4637,21233,9171,2113,7058,73959,32647,41312,18081,4906,13175,9393,3057,6336,38859,19621,19238,7626,5063,2563
WHSCT,118079,34679,83400,23969,3595,20374,32071,5316,26755,49277,19303,29974,12762,6465,6297,62164,10384,51780,10584,774,9810,25049,2996,22053,19604,4518,15086,6927,2096,4831,55915,24295,31620,13385,2821,10564,7022,2320,4702,29673,14785,14888,5835,4369,1466
BELB,118754,37529,81225,30103,4261,25842,23976,4393,19583,48782,20476,28306,15893,8399,7494,59097,10775,48322,15442,1015,14427,16237,2088,14149,18929,4834,14095,8489,2838,5651,59657,26754,32903,14661,3246,11415,7739,2305,5434,29853,15642,14211,7404,5561,1843
NEELB,194151,54881,139270,40753,6894,33859,51790,7455,44335,80370,30743,49627,21238,9789,11449,101241,13318,87923,19384,1131,18253,39845,3560,36285,30258,5678,24580,11754,2949,8805,92910,41563,51347,21369,5763,15606,11945,3895,8050,50112,25065,25047,9484,6840,2644
SEELB,190647,55038,135609,45832,8082,37750,47941,7734,40207,79436,30708,48728,17438,8514,8924,97291,13352,83939,22505,1387,21118,35428,3582,31846,29706,5618,24088,9652,2765,6887,93356,41686,51670,23327,6695,16632,12513,4152,8361,49730,25090,24640,7786,5749,2037
SELB,173632,48594,125038,36134,6459,29675,47942,7465,40477,71012,26719,44293,18544,7951,10593,92337,12612,79725,16334,1060,15274,37618,4109,33509,28275,5109,23166,10110,2334,7776,81295,35982,45313,19800,5399,14401,10324,3356,6968,42737,21610,21127,8434,5617,2817
WELB,118079,34679,83400,23969,3595,20374,32071,5316,26755,49277,19303,29974,12762,6465,6297,62164,10384,51780,10584,774,9810,25049,2996,22053,19604,4518,15086,6927,2096,4831,55915,24295,31620,13385,2821,10564,7022,2320,4702,29673,14785,14888,5835,4369,1466
UKN01,118754,37529,81225,30103,4261,25842,23976,4393,19583,48782,20476,28306,15893,8399,7494,59097,10775,48322,15442,1015,14427,16237,2088,14149,18929,4834,14095,8489,2838,5651,59657,26754,32903,14661,3246,11415,7739,2305,5434,29853,15642,14211,7404,5561,1843
UKN02,182067,52421,129646,44538,7371,37167,43103,6770,36333,77197,30053,47144,17229,8227,9002,92493,12577,79916,22335,1241,21094,31320,3005,28315,29147,5686,23461,9691,2645,7046,89574,39844,49730,22203,6130,16073,11783,3765,8018,48050,24367,23683,7538,5582,1956
UKN03,200970,55932,145038,41717,7526,34191,53382,7804,45578,84749,31247,53502,21122,9355,11767,104503,13217,91286,19525,1208,18317,40867,3700,37167,32441,5533,26908,11670,2776,8894,96467,42715,53752,22192,6318,15874,12515,4104,8411,52308,25714,26594,9452,6579,2873
UKN04,114548,35289,79259,23323,3684,19639,30279,5077,25202,48134,19661,28473,12812,6867,5945,59898,10227,49671,10745,802,9943,23351,2700,20651,18893,4463,14430,6909,2262,4647,54650,25062,29588,12578,2882,9696,6928,2377,4551,29241,15198,14043,5903,4605,1298
UKN05,178924,49550,129374,37110,6449,30661,52980,8319,44661,70015,26512,43503,18819,8270,10549,96139,13645,82494,16202,1101,15101,42402,4842,37560,27362,5241,22121,10173,2461,7712,82785,35905,46880,20908,5348,15560,10578,3477,7101,42653,21271,21382,8646,5809,2837
95AA,25595,6910,18685,5529,899,4630,6688,895,5793,10318,3771,6547,3060,1345,1715,13322,1672,11650,2613,145,2468,5073,386,4687,3990,741,3249,1646,400,1246,12273,5238,7035,2916,754,2162,1615,509,1106,6328,3030,3298,1414,945,469
95BB,35743,10496,25247,7012,1400,5612,9639,1523,8116,15597,5944,9653,3495,1629,1866,18220,2415,15805,3301,234,3067,7312,729,6583,5652,964,4688,1955,488,1467,17523,8081,9442,3711,1166,2545,2327,794,1533,9945,4980,4965,1540,1141,399
95CC,26586,7409,19177,5555,1052,4503,7439,1217,6222,10786,3927,6859,2806,1213,1593,14128,1871,12257,2434,148,2286,5806,620,5186,4390,734,3656,1498,369,1129,12458,5538,6920,3121,904,2217,1633,597,1036,6396,3193,3203,1308,844,464
95DD,29920,8165,21755,6284,1123,5161,7959,1059,6900,12497,4621,7876,3180,1362,1818,15788,1841,13947,2968,157,2811,6273,499,5774,4848,806,4042,1699,379,1320,14132,6324,7808,3316,966,2350,1686,560,1126,7649,3815,3834,1481,983,498
95EE,13426,3604,9822,2468,421,2047,4061,587,3474,5558,2000,3558,1339,596,743,7171,868,6303,1119,65,1054,3256,307,2949,2052,331,1721,744,165,579,6255,2736,3519,1349,356,993,805,280,525,3506,1669,1837,595,431,164
95FF,22621,5991,16630,5020,895,4125,6319,907,5412,9199,3261,5938,2083,928,1155,11945,1369,10576,2369,113,2256,4844,424,4420,3562,560,3002,1170,272,898,10676,4622,6054,2651,782,1869,1475,483,992,5637,2701,2936,913,656,257
95GG,118754,37529,81225,30103,4261,25842,23976,4393,19583,48782,20476,28306,15893,8399,7494,59097,10775,48322,15442,1015,14427,16237,2088,14149,18929,4834,14095,8489,2838,5651,59657,26754,32903,14661,3246,11415,7739,2305,5434,29853,15642,14211,7404,5561,1843
