GeographyCode,LC1105NI0001,LC1105NI0002,LC1105NI0003,LC1105NI0004,LC1105NI0005,LC1105NI0006,LC1105NI0007,LC1105NI0008,LC1105NI0009,LC1105NI0010,LC1105NI0011,LC1105NI0012,LC1105NI0013,LC1105NI0014,LC1105NI0015,LC1105NI0016,LC1105NI0017,LC1105NI0018,LC1105NI0019,LC1105NI0020,LC1105NI0021,LC1105NI0022,LC1105NI0023,LC1105NI0024,LC1105NI0025,LC1105NI0026,LC1105NI0027,LC1105NI0028,LC1105NI0029,LC1105NI0030,LC1105NI0031,LC1105NI0032,LC1105NI0033,LC1105NI0034,LC1105NI0035,LC1105NI0036
N00000001,310,275,35,255,236,19,55,39,16,284,260,24,243,229,14,41,31,10,23,14,9,12,7,5,11,7,4,3,1,2,0,0,0,3,1,2
N00000002,141,77,64,87,60,27,54,17,37,51,30,21,34,23,11,17,7,10,53,30,23,34,23,11,19,7,12,37,17,20,19,14,5,18,3,15
N00000003,78,59,19,53,45,8,25,14,11,20,17,3,14,13,1,6,4,2,38,31,7,28,23,5,10,8,2,20,11,9,11,9,2,9,2,7
N00000004,195,155,40,136,117,19,59,38,21,59,48,11,44,36,8,15,12,3,102,89,13,76,69,7,26,20,6,34,18,16,16,12,4,18,6,12
N00000005,124,96,28,88,74,14,36,22,14,46,36,10,31,25,6,15,11,4,58,48,10,45,39,6,13,9,4,20,12,8,12,10,2,8,2,6
N00000006,86,56,30,53,44,9,33,12,21,29,23,6,19,17,2,10,6,4,34,26,8,27,22,5,7,4,3,23,7,16,7,5,2,16,2,14
N00000007,89,61,28,58,47,11,31,14,17,27,21,6,20,17,3,7,4,3,38,28,10,28,23,5,10,5,5,24,12,12,10,7,3,14,5,9
N00000008,138,63,75,82,46,36,56,17,39,57,30,27,34,21,13,23,9,14,59,26,33,40,20,20,19,6,13,22,7,15,8,5,3,14,2,12
N00000009,275,177,98,178,142,36,97,35,62,150,93,57,90,73,17,60,20,40,85,62,23,63,51,12,22,11,11,40,22,18,25,18,7,15,4,11
N00000010,86,50,36,55,43,12,31,7,24,21,14,7,16,13,3,5,1,4,36,26,10,24,21,3,12,5,7,29,10,19,15,9,6,14,1,13
N00000011,136,68,68,83,51,32,53,17,36,29,20,9,23,17,6,6,3,3,49,29,20,33,22,11,16,7,9,58,19,39,27,12,15,31,7,24
