GeographyCode,LC2114NI0001,LC2114NI0002,LC2114NI0003,LC2114NI0004,LC2114NI0005,LC2114NI0006,LC2114NI0007,LC2114NI0008,LC2114NI0009,LC2114NI0010,LC2114NI0011,LC2114NI0012,LC2114NI0013,LC2114NI0014,LC2114NI0015
N00000001,1003,47,956,412,20,392,552,24,528,35,3,32,4,0,4
N00000002,332,16,316,90,0,90,104,4,100,85,5,80,53,7,46
N00000003,236,27,209,75,2,73,49,5,44,79,11,68,33,9,24
N00000004,595,38,557,214,2,212,134,8,126,193,20,173,54,8,46
N00000005,359,21,338,121,3,118,103,3,100,102,9,93,33,6,27
N00000006,242,17,225,66,3,63,70,4,66,67,5,62,39,5,34
N00000007,238,37,201,71,9,62,60,6,54,71,12,59,36,10,26
N00000008,277,35,242,62,2,60,92,5,87,87,19,68,36,9,27
N00000009,688,59,629,187,4,183,282,24,258,150,18,132,69,13,56
N00000010,232,24,208,68,4,64,54,5,49,68,11,57,42,4,38
N00000011,284,16,268,61,0,61,66,5,61,81,6,75,76,5,71
N00000012,259,36,223,61,6,55,73,8,65,64,13,51,61,9,52
N00000013,257,30,227,57,5,52,69,8,61,69,11,58,62,6,56
N00000014,444,48,396,115,6,109,168,16,152,102,14,88,59,12,47
N00000015,222,17,205,47,3,44,51,3,48,60,4,56,64,7,57
N00000016,217,36,181,46,8,38,59,6,53,67,10,57,45,12,33
N00000017,319,38,281,111,9,102,91,10,81,78,12,66,39,7,32
N00000018,215,31,184,66,5,61,63,9,54,53,11,42,33,6,27
N00000019,250,28,222,68,4,64,67,9,58,69,10,59,46,5,41
N00000020,221,26,195,72,3,69,67,8,59,50,13,37,32,2,30
N00000021,261,32,229,70,3,67,80,7,73,66,13,53,45,9,36
N00000022,260,29,231,79,4,75,60,6,54,64,11,53,57,8,49
N00000023,210,22,188,43,2,41,61,4,57,47,6,41,59,10,49
N00000024,520,51,469,174,6,168,145,7,138,143,25,118,58,13,45
N00000025,454,53,401,129,8,121,91,6,85,168,25,143,66,14,52
N00000026,448,40,408,135,9,126,106,3,103,144,15,129,63,13,50
N00000027,508,41,467,171,9,162,152,9,143,131,12,119,54,11,43
N00000028,233,7,226,83,1,82,50,1,49,79,1,78,21,4,17
N00000029,395,52,343,129,7,122,96,9,87,111,22,89,59,14,45
N00000030,364,51,313,108,10,98,73,9,64,111,20,91,72,12,60
N00000031,680,48,632,255,9,246,169,14,155,184,11,173,72,14,58
N00000032,371,37,334,120,1,119,97,7,90,92,14,78,62,15,47
N00000033,478,59,419,151,7,144,131,15,116,127,24,103,69,13,56
N00000034,452,58,394,129,5,124,123,14,109,103,23,80,97,16,81
N00000035,278,11,267,78,0,78,93,2,91,71,6,65,36,3,33
N00000036,327,17,310,96,0,96,91,10,81,101,3,98,39,4,35
N00000037,279,22,257,69,1,68,72,10,62,81,5,76,57,6,51
N00000038,394,14,380,145,1,144,73,5,68,114,4,110,62,4,58
N00000039,1187,41,1146,453,8,445,389,7,382,226,13,213,119,13,106
N00000040,254,5,249,78,2,76,84,2,82,58,1,57,34,0,34
N00000041,439,14,425,176,0,176,139,6,133,99,3,96,25,5,20
N00000042,399,3,396,159,1,158,92,0,92,119,1,118,29,1,28
N00000043,1171,44,1127,479,7,472,373,14,359,232,19,213,87,4,83
N00000044,298,13,285,121,3,118,76,4,72,63,1,62,38,5,33
N00000045,496,83,413,156,10,146,158,23,135,124,38,86,58,12,46
N00000046,382,74,308,115,13,102,88,19,69,116,29,87,63,13,50
N00000047,362,80,282,76,5,71,73,20,53,131,29,102,82,26,56
N00000048,293,38,255,95,5,90,93,14,79,62,6,56,43,13,30
N00000049,245,30,215,64,1,63,84,8,76,67,15,52,30,6,24
N00000050,292,68,224,67,6,61,71,13,58,94,28,66,60,21,39
N00000051,297,22,275,102,9,93,84,6,78,75,4,71,36,3,33
N00000052,296,24,272,86,3,83,84,3,81,81,9,72,45,9,36
N00000053,248,7,241,80,1,79,80,2,78,58,3,55,30,1,29
N00000054,249,14,235,84,0,84,84,5,79,62,6,56,19,3,16
N00000055,256,28,228,62,1,61,60,2,58,71,11,60,63,14,49
N00000056,270,37,233,59,10,49,81,7,74,72,8,64,58,12,46
N00000057,256,25,231,91,1,90,91,10,81,56,11,45,18,3,15
N00000058,244,15,229,82,2,80,80,5,75,63,7,56,19,1,18
N00000059,212,24,188,61,4,57,75,8,67,54,8,46,22,4,18
N00000060,374,20,354,114,4,110,123,4,119,86,4,82,51,8,43
N00000061,267,38,229,47,2,45,55,2,53,80,12,68,85,22,63
N00000062,340,55,285,90,8,82,71,8,63,105,16,89,74,23,51
N00000063,412,48,364,101,12,89,113,10,103,94,22,72,104,4,100
N00000064,271,17,254,88,3,85,80,6,74,73,4,69,30,4,26
N00000065,379,44,335,100,2,98,76,8,68,130,22,108,73,12,61
N00000066,256,38,218,46,1,45,61,4,57,82,14,68,67,19,48
N00000067,298,19,279,95,2,93,93,2,91,74,7,67,36,8,28
N00000068,361,26,335,116,3,113,82,1,81,106,8,98,57,14,43
N00000069,319,16,303,141,5,136,81,4,77,63,6,57,34,1,33
N00000070,242,20,222,46,0,46,37,2,35,77,9,68,82,9,73
N00000071,274,21,253,36,1,35,71,2,69,77,5,72,90,13,77
N00000072,1663,109,1554,538,14,524,695,31,664,317,39,278,113,25,88
N00000073,506,47,459,79,3,76,158,17,141,105,13,92,164,14,150
N00000074,968,75,893,275,16,259,483,30,453,164,21,143,46,8,38
N00000075,401,36,365,154,9,145,113,7,106,82,10,72,52,10,42
N00000076,328,30,298,114,2,112,97,11,86,71,8,63,46,9,37
N00000077,270,20,250,85,2,83,62,3,59,85,5,80,38,10,28
N00000078,457,26,431,168,3,165,192,12,180,69,4,65,28,7,21
N00000079,541,74,467,184,7,177,137,14,123,158,30,128,62,23,39
N00000080,404,60,344,128,9,119,102,11,91,132,30,102,42,10,32
N00000081,328,46,282,80,7,73,78,12,66,106,11,95,64,16,48
N00000082,336,98,238,94,14,80,72,14,58,106,39,67,64,31,33
N00000083,637,147,490,218,25,193,171,41,130,190,50,140,58,31,27
N00000084,444,90,354,141,12,129,95,19,76,140,27,113,68,32,36
N00000085,417,36,381,114,3,111,108,6,102,99,16,83,96,11,85
N00000086,369,10,359,128,2,126,113,2,111,95,4,91,33,2,31
N00000087,874,68,806,296,9,287,236,15,221,246,30,216,96,14,82
