GeographyCode,LC2115NI0001,LC2115NI0002,LC2115NI0003,LC2115NI0004,LC2115NI0005,LC2115NI0006,LC2115NI0007,LC2115NI0008,LC2115NI0009
N00000001,1003,45,958,553,27,526,450,18,432
N00000002,332,43,289,169,23,146,163,20,143
N00000003,236,28,208,118,14,104,118,14,104
N00000004,595,68,527,296,38,258,299,30,269
N00000005,359,44,315,188,20,168,171,24,147
N00000006,242,39,203,114,21,93,128,18,110
N00000007,238,11,227,121,6,115,117,5,112
N00000008,277,14,263,140,8,132,137,6,131
N00000009,688,33,655,334,13,321,354,20,334
N00000010,232,4,228,113,3,110,119,1,118
N00000011,284,8,276,140,5,135,144,3,141
N00000012,259,19,240,128,11,117,131,8,123
N00000013,257,19,238,131,12,119,126,7,119
N00000014,444,27,417,216,14,202,228,13,215
N00000015,222,12,210,106,4,102,116,8,108
N00000016,217,14,203,109,6,103,108,8,100
N00000017,319,11,308,135,6,129,184,5,179
N00000018,215,5,210,108,3,105,107,2,105
N00000019,250,7,243,124,5,119,126,2,124
N00000020,221,7,214,92,2,90,129,5,124
N00000021,261,12,249,129,5,124,132,7,125
N00000022,260,15,245,117,5,112,143,10,133
N00000023,210,3,207,102,0,102,108,3,105
N00000024,520,17,503,274,11,263,246,6,240
N00000025,454,22,432,231,10,221,223,12,211
N00000026,448,19,429,221,10,211,227,9,218
N00000027,508,56,452,271,32,239,237,24,213
N00000028,233,40,193,124,20,104,109,20,89
N00000029,395,12,383,209,8,201,186,4,182
N00000030,364,21,343,187,13,174,177,8,169
N00000031,680,194,486,356,85,271,324,109,215
N00000032,371,35,336,171,14,157,200,21,179
N00000033,478,93,385,258,47,211,220,46,174
N00000034,452,45,407,222,24,198,230,21,209
N00000035,278,26,252,126,13,113,152,13,139
N00000036,327,30,297,157,14,143,170,16,154
N00000037,279,50,229,135,26,109,144,24,120
N00000038,394,71,323,190,31,159,204,40,164
N00000039,1187,244,943,576,120,456,611,124,487
N00000040,254,16,238,113,6,107,141,10,131
N00000041,439,105,334,197,47,150,242,58,184
N00000042,399,83,316,190,41,149,209,42,167
N00000043,1171,229,942,562,115,447,609,114,495
N00000044,298,37,261,141,23,118,157,14,143
N00000045,496,13,483,261,6,255,235,7,228
N00000046,382,3,379,193,1,192,189,2,187
N00000047,362,17,345,174,5,169,188,12,176
N00000048,293,5,288,134,1,133,159,4,155
N00000049,245,12,233,118,5,113,127,7,120
N00000050,292,9,283,150,6,144,142,3,139
N00000051,297,24,273,138,9,129,159,15,144
N00000052,296,33,263,152,16,136,144,17,127
N00000053,248,25,223,124,14,110,124,11,113
N00000054,249,10,239,104,3,101,145,7,138
N00000055,256,6,250,122,5,117,134,1,133
N00000056,270,6,264,136,0,136,134,6,128
N00000057,256,7,249,122,4,118,134,3,131
N00000058,244,7,237,113,5,108,131,2,129
N00000059,212,10,202,113,3,110,99,7,92
N00000060,374,17,357,172,9,163,202,8,194
N00000061,267,12,255,129,3,126,138,9,129
N00000062,340,13,327,162,5,157,178,8,170
N00000063,412,10,402,180,7,173,232,3,229
N00000064,271,23,248,138,12,126,133,11,122
N00000065,379,6,373,185,2,183,194,4,190
N00000066,256,19,237,123,7,116,133,12,121
N00000067,298,18,280,136,11,125,162,7,155
N00000068,361,10,351,181,4,177,180,6,174
N00000069,319,17,302,150,8,142,169,9,160
N00000070,242,12,230,110,6,104,132,6,126
N00000071,274,16,258,123,7,116,151,9,142
N00000072,1663,81,1582,832,38,794,831,43,788
N00000073,506,25,481,224,12,212,282,13,269
N00000074,968,58,910,482,23,459,486,35,451
N00000075,401,21,380,248,13,235,153,8,145
N00000076,328,28,300,163,20,143,165,8,157
N00000077,270,23,247,132,9,123,138,14,124
N00000078,457,37,420,233,15,218,224,22,202
