GeographyCode,LC2407NI0001,LC2407NI0002,LC2407NI0003,LC2407NI0004,LC2407NI0005,LC2407NI0006,LC2407NI0007,LC2407NI0008,LC2407NI0009,LC2407NI0010,LC2407NI0011,LC2407NI0012,LC2407NI0013,LC2407NI0014,LC2407NI0015,LC2407NI0016,LC2407NI0017,LC2407NI0018,LC2407NI0019,LC2407NI0020,LC2407NI0021,LC2407NI0022,LC2407NI0023,LC2407NI0024,LC2407NI0025,LC2407NI0026,LC2407NI0027,LC2407NI0028
N00000001,310,46,137,19,16,102,127,23,6,8,2,1,5,9,199,30,79,6,9,64,90,88,10,50,11,6,33,28
N00000002,141,75,40,22,14,4,26,15,6,7,3,3,1,2,69,35,20,13,6,1,14,57,34,13,6,5,2,10
N00000003,78,31,38,13,13,12,9,6,3,3,0,3,0,0,22,8,11,4,3,4,3,50,20,24,9,7,8,6
N00000004,195,78,86,33,38,15,31,11,4,5,4,0,1,2,52,15,25,10,10,5,12,132,59,56,19,28,9,17
N00000005,124,47,52,31,15,6,25,4,2,1,0,1,0,1,36,13,13,9,3,1,10,84,32,38,22,11,5,14
N00000006,86,46,32,17,11,4,8,8,4,4,2,1,1,0,30,16,11,6,5,0,3,48,26,17,9,5,3,5
N00000007,89,16,54,29,20,5,19,5,0,4,1,3,0,1,26,4,14,10,4,0,8,58,12,36,18,13,5,10
N00000008,138,30,72,41,18,13,36,21,2,13,7,5,1,6,67,15,31,19,6,6,21,50,13,28,15,7,6,9
N00000009,275,50,164,111,24,29,61,13,4,9,7,0,2,0,97,21,52,36,12,4,24,165,25,103,68,12,23,37
N00000010,86,7,63,49,7,7,16,7,2,4,4,0,0,1,29,1,21,18,2,1,7,50,4,38,27,5,6,8
N00000011,136,33,81,42,30,9,22,47,12,27,13,10,4,8,62,12,40,23,13,4,10,27,9,14,6,7,1,4
N00000012,121,31,65,37,25,3,25,34,13,12,8,4,0,9,62,16,34,19,13,2,12,25,2,19,10,8,1,4
N00000013,136,33,73,34,29,10,30,50,13,25,10,10,5,12,59,14,34,16,14,4,11,27,6,14,8,5,1,7
N00000014,205,67,91,57,26,8,47,49,17,19,9,8,2,13,100,35,43,30,11,2,22,56,15,29,18,7,4,12
N00000015,119,33,68,42,24,2,18,58,14,37,23,13,1,7,48,16,24,14,10,0,8,13,3,7,5,1,1,3
N00000016,122,26,73,37,26,10,23,49,11,29,16,10,3,9,61,13,34,18,12,4,14,12,2,10,3,4,3,0
N00000017,144,8,105,60,27,18,31,48,0,39,21,10,8,9,62,1,45,26,14,5,16,34,7,21,13,3,5,6
N00000018,94,12,64,40,16,8,18,27,2,20,11,6,3,5,43,7,28,20,4,4,8,24,3,16,9,6,1,5
