GeographyCode,LC2408NI0001,LC2408NI0002,LC2408NI0003,LC2408NI0004,LC2408NI0005,LC2408NI0006,LC2408NI0007,LC2408NI0008,LC2408NI0009,LC2408NI0010,LC2408NI0011,LC2408NI0012,LC2408NI0013,LC2408NI0014,LC2408NI0015,LC2408NI0016
N00000001,310,54,161,95,23,6,11,6,199,36,95,68,88,12,55,21
N00000002,141,83,51,7,15,7,8,0,69,40,26,3,57,36,17,4
N00000003,78,33,44,1,6,3,3,0,22,9,13,0,50,21,28,1
N00000004,195,87,103,5,11,5,6,0,52,18,32,2,132,64,65,3
N00000005,124,52,66,6,4,2,2,0,36,16,16,4,84,34,48,2
N00000006,86,47,35,4,8,4,4,0,30,16,12,2,48,27,19,2
N00000007,89,17,67,5,5,0,5,0,26,4,19,3,58,13,43,2
N00000008,138,35,88,15,21,3,16,2,67,18,42,7,50,14,30,6
N00000009,275,58,197,20,13,4,9,0,97,26,62,9,165,28,126,11
N00000010,86,10,71,5,7,2,5,0,29,2,24,3,50,6,42,2
N00000011,136,42,91,3,47,17,30,0,62,16,46,0,27,9,15,3
N00000012,121,34,81,6,34,14,20,0,62,17,40,5,25,3,21,1
N00000013,136,40,94,2,50,15,33,2,59,18,41,0,27,7,20,0
N00000014,205,76,116,13,49,20,27,2,100,40,53,7,56,16,36,4
N00000015,119,36,79,4,58,15,42,1,48,18,29,1,13,3,8,2
N00000016,122,31,85,6,49,12,34,3,61,17,41,3,12,2,10,0
N00000017,144,11,120,13,48,2,43,3,62,2,53,7,34,7,24,3
N00000018,94,13,77,4,27,2,25,0,43,7,34,2,24,4,18,2
N00000019,116,6,101,9,38,0,34,4,52,3,44,5,26,3,23,0
N00000020,122,9,104,9,45,2,41,2,64,6,51,7,13,1,12,0
N00000021,128,25,93,10,48,8,35,5,58,10,44,4,22,7,14,1
N00000022,126,17,101,8,45,6,36,3,63,9,50,4,18,2,15,1
N00000023,115,6,103,6,42,4,36,2,57,2,51,4,16,0,16,0
N00000024,174,20,149,5,4,0,4,0,48,9,38,1,122,11,107,4
N00000025,159,24,128,7,5,1,4,0,47,5,39,3,107,18,85,4
N00000026,151,35,110,6,5,2,3,0,33,8,23,2,113,25,84,4
N00000027,178,98,71,9,14,6,8,0,68,43,20,5,96,49,43,4
N00000028,85,58,26,1,6,1,5,0,46,30,15,1,33,27,6,0
N00000029,136,13,112,11,7,2,5,0,34,2,29,3,95,9,78,8
N00000030,131,26,101,4,5,2,3,0,36,6,29,1,90,18,69,3
N00000031,201,174,26,1,9,8,1,0,55,45,10,0,137,121,15,1
N00000032,133,70,61,2,8,3,5,0,57,34,23,0,68,33,33,2
N00000033,166,86,75,5,9,5,4,0,49,19,29,1,108,62,42,4
N00000034,158,56,92,10,11,4,6,1,61,17,42,2,86,35,44,7
N00000035,128,71,53,4,27,18,8,1,75,46,27,2,26,7,18,1
N00000036,134,75,50,9,22,8,11,3,60,38,20,2,52,29,19,4
N00000037,124,96,26,2,18,11,6,1,74,60,13,1,32,25,7,0
N00000038,138,100,33,5,15,11,4,0,54,39,13,2,69,50,16,3
N00000039,448,340,94,14,92,64,25,3,174,132,36,6,182,144,33,5
N00000040,114,76,36,2,37,23,13,1,50,33,16,1,27,20,7,0
N00000041,144,128,16,0,11,8,3,0,62,55,7,0,71,65,6,0
N00000042,126,90,33,3,8,5,3,0,54,36,16,2,64,49,14,1
N00000043,368,282,78,8,50,35,13,2,142,107,32,3,176,140,33,3
N00000044,108,69,35,4,20,13,7,0,59,33,22,4,29,23,6,0
N00000045,170,18,147,5,7,1,5,1,41,4,36,1,122,13,106,3
N00000046,129,4,119,6,7,0,5,2,42,1,40,1,80,3,74,3
N00000047,138,18,117,3,9,1,8,0,48,7,41,0,81,10,68,3
N00000048,125,20,100,5,31,3,27,1,70,14,54,2,24,3,19,2
N00000049,123,34,85,4,33,12,19,2,65,19,45,1,25,3,21,1
N00000050,135,27,105,3,20,5,14,1,53,9,43,1,62,13,48,1
N00000051,124,100,19,5,56,48,7,1,56,46,7,3,12,6,5,1
N00000052,120,74,40,6,38,27,8,3,53,31,20,2,29,16,12,1
N00000053,108,58,37,13,46,26,14,6,46,24,16,6,16,8,7,1
N00000054,111,19,75,17,29,5,18,6,57,10,40,7,25,4,17,4
N00000055,117,22,89,6,22,7,15,0,71,12,54,5,24,3,20,1
N00000056,119,32,76,11,39,13,23,3,50,10,33,7,30,9,20,1
