GeographyCode,LC4103NI0001,LC4103NI0002,LC4103NI0003,LC4103NI0004,LC4103NI0005,LC4103NI0006,LC4103NI0007,LC4103NI0008,LC4103NI0009,LC4103NI0010,LC4103NI0011,LC4103NI0012,LC4103NI0013,LC4103NI0014,LC4103NI0015,LC4103NI0016,LC4103NI0017,LC4103NI0018,LC4103NI0019,LC4103NI0020
N00000001,982,589,332,57,4,93,19,39,32,3,26,18,8,0,0,863,552,285,25,1
N00000002,351,54,111,123,63,292,26,98,112,56,11,5,1,4,1,48,23,12,7,6
N00000003,233,9,71,113,40,218,8,65,111,34,0,0,0,0,0,15,1,6,2,6
N00000004,616,45,172,338,61,548,27,150,316,55,11,0,7,2,2,57,18,15,20,4
N00000005,374,49,94,193,38,349,34,90,187,38,0,0,0,0,0,25,15,4,6,0
N00000006,240,26,73,101,40,216,13,70,93,40,0,0,0,0,0,24,13,3,8,0
N00000007,245,28,58,115,44,184,11,39,93,41,3,0,3,0,0,58,17,16,22,3
N00000008,288,53,81,119,35,218,24,65,100,29,3,0,3,0,0,67,29,13,19,6
N00000009,727,176,221,250,80,622,132,190,231,69,2,0,0,2,0,103,44,31,17,11
N00000010,234,21,49,115,49,208,9,49,105,45,0,0,0,0,0,26,12,0,10,4
N00000011,293,25,54,128,86,223,15,48,96,64,30,0,2,19,9,40,10,4,13,13
N00000012,264,36,74,80,74,209,24,63,63,59,26,4,4,10,8,29,8,7,7,7
N00000013,268,60,54,84,70,178,19,40,67,52,14,6,0,1,7,76,35,14,16,11
N00000014,460,128,116,151,65,303,46,87,123,47,47,13,7,17,10,110,69,22,11,8
N00000015,226,20,57,79,70,125,4,34,53,34,67,2,15,18,32,34,14,8,8,4
N00000016,223,32,43,90,58,118,8,32,46,32,47,11,5,17,14,58,13,6,27,12
N00000017,340,78,89,131,42,222,30,63,103,26,86,25,22,25,14,32,23,4,3,2
N00000018,229,58,56,77,38,182,30,55,60,37,3,0,0,3,0,44,28,1,14,1
N00000019,261,52,62,94,53,172,13,49,75,35,50,16,7,14,13,39,23,6,5,5
N00000020,236,90,53,56,37,82,13,20,30,19,125,65,30,18,12,29,12,3,8,6
N00000021,269,58,70,85,56,181,27,52,55,47,33,12,2,13,6,55,19,16,17,3
N00000022,269,52,64,90,63,170,11,43,68,48,49,20,3,13,13,50,21,18,9,2
N00000023,218,46,34,65,73,123,22,22,38,41,73,14,6,24,29,22,10,6,3,3
N00000024,533,46,167,247,73,498,39,154,234,71,1,0,0,1,0,34,7,13,12,2
N00000025,460,32,60,289,79,441,27,59,282,73,4,4,0,0,0,15,1,1,7,6
N00000026,460,28,103,252,77,430,21,95,239,75,5,0,2,3,0,25,7,6,10,2
N00000027,535,93,137,243,62,475,66,118,235,56,0,0,0,0,0,60,27,19,8,6
N00000028,236,9,70,135,22,221,5,63,131,22,0,0,0,0,0,15,4,7,4,0
N00000029,403,24,97,214,68,379,15,97,205,62,3,0,0,3,0,21,9,0,6,6
N00000030,375,33,61,206,75,347,28,48,201,70,0,0,0,0,0,28,5,13,5,5
N00000031,699,79,199,340,81,639,58,187,324,70,11,7,3,0,1,49,14,9,16,10
N00000032,386,28,111,175,72,354,23,105,166,60,0,0,0,0,0,32,5,6,9,12
N00000033,495,61,140,219,75,448,55,132,191,70,3,0,0,3,0,44,6,8,25,5
N00000034,438,50,141,172,75,376,30,127,150,69,10,5,2,1,2,52,15,12,21,4
N00000035,291,77,61,112,41,159,21,24,83,31,71,27,16,21,7,61,29,21,8,3
N00000036,345,48,84,165,48,253,22,62,137,32,37,7,1,17,12,55,19,21,11,4
N00000037,285,31,62,121,71,264,19,60,119,66,8,4,0,0,4,13,8,2,2,1
N00000038,406,39,92,208,67,340,20,79,187,54,7,0,0,1,6,59,19,13,20,7
N00000039,1262,270,461,399,132,1009,190,373,366,80,106,30,20,11,45,147,50,68,22,7
N00000040,265,54,70,99,42,165,29,52,70,14,50,4,10,16,20,50,21,8,13,8
N00000041,462,76,184,174,28,414,56,167,165,26,5,0,0,4,1,43,20,17,5,1
N00000042,410,42,113,221,34,390,35,110,212,33,5,0,0,5,0,15,7,3,4,1
N00000043,1202,212,514,408,68,1016,147,460,366,43,87,16,24,30,17,99,49,30,12,8
N00000044,312,62,100,108,42,227,34,64,97,32,61,15,33,9,4,24,13,3,2,6
N00000045,515,67,183,195,70,462,52,171,174,65,7,0,5,2,0,46,15,7,19,5
N00000046,394,12,105,207,70,357,12,91,192,62,12,0,0,8,4,25,0,14,7,4
N00000047,353,19,68,174,92,303,7,60,151,85,10,0,4,3,3,40,12,4,20,4
N00000048,304,59,93,99,53,175,18,52,65,40,56,13,24,14,5,73,28,17,20,8
N00000049,254,71,52,94,37,144,25,33,63,23,51,18,9,15,9,59,28,10,16,5
N00000050,299,21,60,150,68,239,15,48,123,53,10,0,5,1,4,50,6,7,26,11
N00000051,313,78,57,125,53,142,16,35,60,31,150,52,18,60,20,21,10,4,5,2
N00000052,309,61,58,138,52,173,25,12,101,35,92,29,32,24,7,44,7,14,13,10
N00000053,252,64,87,77,24,149,20,59,50,20,29,6,9,13,1,74,38,19,14,3
N00000054,266,64,83,99,20,153,23,44,71,15,62,26,12,20,4,51,15,27,8,1
N00000055,266,37,54,109,66,215,17,51,87,60,15,5,0,7,3,36,15,3,15,3
N00000056,270,50,54,93,73,189,24,34,67,64,41,9,5,19,8,40,17,15,7,1
N00000057,279,101,79,79,20,105,20,28,50,7,133,59,38,25,11,41,22,13,4,2
N00000058,266,79,73,91,23,132,17,44,55,16,76,22,22,28,4,58,40,7,8,3
N00000059,226,67,63,68,28,97,14,30,41,12,87,36,20,18,13,42,17,13,9,3
N00000060,394,112,110,107,65,178,43,39,66,30,138,36,40,37,25,78,33,31,4,10
N00000061,273,29,34,114,96,231,16,30,97,88,17,7,1,4,5,25,6,3,13,3
N00000062,351,31,68,168,84,307,12,49,166,80,14,5,7,0,2,30,14,12,2,2
N00000063,354,94,91,135,34,198,21,51,109,17,92,33,21,23,15,64,40,19,3,2
N00000064,279,92,48,104,35,87,13,9,59,6,140,59,31,23,27,52,20,8,22,2
N00000065,389,25,91,195,78,361,14,91,184,72,9,0,0,9,0,19,11,0,2,6
N00000066,264,24,47,111,82,234,10,37,111,76,10,3,7,0,0,20,11,3,0,6
N00000067,316,85,71,112,48,160,22,36,70,32,115,34,29,41,11,41,29,6,1,5
N00000068,371,25,99,179,68,340,16,86,178,60,3,0,3,0,0,28,9,10,1,8
N00000069,334,112,93,90,39,122,31,41,33,17,179,69,39,49,22,33,12,13,8,0
N00000070,243,0,39,113,91,215,0,20,104,91,0,0,0,0,0,28,0,19,9,0
N00000071,258,44,39,92,83,165,12,21,68,64,20,14,1,3,2,73,18,17,21,17
N00000072,1753,389,700,531,133,1410,220,621,471,98,71,13,7,32,19,272,156,72,28,16
N00000073,444,119,89,138,98,236,60,39,90,47,58,3,6,17,32,150,56,44,31,19
N00000074,1047,307,426,267,47,895,241,385,227,42,11,2,0,6,3,141,64,41,34,2
N00000075,277,50,64,103,60,217,13,57,91,56,15,8,0,7,0,45,29,7,5,4
N00000076,344,25,140,130,49,299,11,124,122,42,0,0,0,0,0,45,14,16,8,7
N00000077,275,29,57,142,47,254,19,48,141,46,0,0,0,0,0,21,10,9,1,1
N00000078,488,79,242,131,36,447,55,230,126,36,6,6,0,0,0,35,18,12,5,0
N00000079,564,49,177,277,61,516,35,160,265,56,4,0,4,0,0,44,14,13,12,5
N00000080,424,20,144,212,48,388,16,138,197,37,8,0,4,4,0,28,4,2,11,11
N00000081,339,27,80,165,67,240,10,62,139,29,56,8,4,19,25,43,9,14,7,13
N00000082,342,27,64,172,79,303,20,51,156,76,0,0,0,0,0,39,7,13,16,3
