GeographyCode,LC6102NI0001,LC6102NI0002,LC6102NI0003,LC6102NI0004,LC6102NI0005,LC6102NI0006,LC6102NI0007,LC6102NI0008,LC6102NI0009,LC6102NI0010,LC6102NI0011,LC6102NI0012,LC6102NI0013,LC6102NI0014,LC6102NI0015,LC6102NI0016,LC6102NI0017,LC6102NI0018,LC6102NI0019,LC6102NI0020,LC6102NI0021,LC6102NI0022,LC6102NI0023,LC6102NI0024,LC6102NI0025,LC6102NI0026,LC6102NI0027
N00000001,591,2,26,15,51,19,91,373,14,561,2,23,14,48,15,87,361,11,30,0,3,1,3,4,4,12,3
N00000002,170,4,18,10,38,18,29,48,5,99,2,9,6,25,11,23,21,2,71,2,9,4,13,7,6,27,3
N00000003,115,2,12,14,14,9,13,42,9,46,0,6,5,7,4,5,17,2,69,2,6,9,7,5,8,25,7
N00000004,310,34,39,22,64,25,34,82,10,159,12,18,11,41,11,20,39,7,151,22,21,11,23,14,14,43,3
N00000005,210,14,13,26,41,20,21,68,7,123,4,4,16,29,11,15,40,4,87,10,9,10,12,9,6,28,3
N00000006,134,11,16,11,30,6,17,43,0,77,6,14,5,19,4,11,18,0,57,5,2,6,11,2,6,25,0
N00000007,130,6,17,15,21,10,12,44,5,67,3,9,6,15,3,5,22,4,63,3,8,9,6,7,7,22,1
N00000008,162,8,24,11,25,12,16,57,9,95,2,17,5,16,8,8,32,7,67,6,7,6,9,4,8,25,2
N00000009,408,17,37,26,84,41,55,135,13,294,9,29,17,66,27,36,101,9,114,8,8,9,18,14,19,34,4
N00000010,113,9,12,10,27,10,12,28,5,62,5,6,5,17,3,8,15,3,51,4,6,5,10,7,4,13,2
N00000011,130,1,8,7,38,8,25,38,5,75,1,6,3,23,4,18,17,3,55,0,2,4,15,4,7,21,2
N00000012,132,3,15,6,39,15,9,42,3,85,2,10,2,29,6,5,28,3,47,1,5,4,10,9,4,14,0
N00000013,116,1,10,7,26,12,9,46,5,65,0,7,3,18,5,5,23,4,51,1,3,4,8,7,4,23,1
N00000014,265,5,33,13,77,31,24,67,15,193,5,23,9,54,26,16,47,13,72,0,10,4,23,5,8,20,2
N00000015,85,1,8,3,25,6,4,30,8,47,0,6,2,16,4,2,14,3,38,1,2,1,9,2,2,16,5
N00000016,98,0,10,7,26,6,11,30,8,57,0,7,3,20,4,7,12,4,41,0,3,4,6,2,4,18,4
N00000017,150,2,14,9,40,21,18,41,5,97,0,8,7,32,10,9,26,5,53,2,6,2,8,11,9,15,0
N00000018,109,3,18,4,32,11,10,27,4,69,2,12,3,26,5,6,11,4,40,1,6,1,6,6,4,16,0
N00000019,116,1,11,5,36,14,7,34,8,73,1,6,2,31,5,3,19,6,43,0,5,3,5,9,4,15,2
N00000020,88,2,10,4,19,11,9,31,2,59,2,6,4,12,7,8,20,0,29,0,4,0,7,4,1,11,2
N00000021,114,0,12,3,31,10,20,33,5,78,0,9,1,24,6,14,21,3,36,0,3,2,7,4,6,12,2
N00000022,110,1,7,9,23,11,9,44,6,63,1,5,2,16,6,5,23,5,47,0,2,7,7,5,4,21,1
N00000023,88,1,12,8,23,8,6,28,2,58,1,6,5,16,5,2,22,1,30,0,6,3,7,3,4,6,1
N00000024,281,13,32,16,56,24,40,90,10,156,3,19,10,37,15,24,40,8,125,10,13,6,19,9,16,50,2
N00000025,241,22,18,28,49,27,19,65,13,104,6,7,12,35,10,8,22,4,137,16,11,16,14,17,11,43,9
N00000026,260,15,21,17,60,32,28,71,16,131,9,12,11,33,12,11,32,11,129,6,9,6,27,20,17,39,5
N00000027,257,23,19,18,61,22,27,76,11,152,9,10,7,40,12,16,50,8,105,14,9,11,21,10,11,26,3
N00000028,123,3,11,6,27,13,13,44,6,61,0,6,1,15,6,10,20,3,62,3,5,5,12,7,3,24,3
N00000029,218,22,11,26,51,18,28,54,8,115,10,6,15,33,7,18,22,4,103,12,5,11,18,11,10,32,4
N00000030,190,17,18,13,37,11,18,67,9,91,2,9,5,21,8,7,34,5,99,15,9,8,16,3,11,33,4
N00000031,338,19,24,64,54,20,32,115,10,209,9,12,43,40,13,21,67,4,129,10,12,21,14,7,11,48,6
N00000032,174,7,22,27,36,5,12,62,3,104,6,12,18,25,3,7,32,1,70,1,10,9,11,2,5,30,2
N00000033,246,21,26,36,42,16,24,75,6,145,9,13,24,29,12,11,45,2,101,12,13,12,13,4,13,30,4
N00000034,224,3,22,26,47,16,27,76,7,145,2,14,20,32,11,20,41,5,79,1,8,6,15,5,7,35,2
N00000035,120,2,7,15,27,6,11,50,2,78,1,5,9,21,3,8,29,2,42,1,2,6,6,3,3,21,0
N00000036,174,5,17,23,30,8,13,72,6,98,2,6,18,18,2,7,42,3,76,3,11,5,12,6,6,30,3
N00000037,120,2,11,11,28,12,12,40,4,70,0,5,8,18,8,7,22,2,50,2,6,3,10,4,5,18,2
N00000038,182,13,21,15,47,11,21,50,4,88,6,10,8,33,4,9,16,2,94,7,11,7,14,7,12,34,2
N00000039,590,4,48,48,131,57,58,222,22,415,4,33,34,104,35,46,145,14,175,0,15,14,27,22,12,77,8
N00000040,118,6,6,12,33,18,8,30,5,83,4,3,8,24,12,8,19,5,35,2,3,4,9,6,0,11,0
