GeographyCode,LC6109NI0001,LC6109NI0002,LC6109NI0003,LC6109NI0004,LC6109NI0005,LC6109NI0006,LC6109NI0007,LC6109NI0008,LC6109NI0009,LC6109NI0010,LC6109NI0011,LC6109NI0012,LC6109NI0013,LC6109NI0014,LC6109NI0015,LC6109NI0016,LC6109NI0017,LC6109NI0018
N00000001,591,97,494,118,15,103,292,39,253,151,36,115,25,6,19,5,1,4
N00000002,170,45,125,18,9,9,39,7,32,42,10,32,38,9,29,33,10,23
N00000003,115,31,84,4,2,2,11,3,8,31,6,25,44,11,33,25,9,16
N00000004,310,95,215,44,25,19,42,7,35,73,23,50,90,26,64,61,14,47
N00000005,210,48,162,30,12,18,37,6,31,56,11,45,45,7,38,42,12,30
N00000006,134,41,93,15,8,7,28,5,23,34,9,25,30,7,23,27,12,15
N00000007,130,28,102,15,4,11,17,1,16,35,10,25,31,8,23,32,5,27
N00000008,162,30,132,13,0,13,40,7,33,42,7,35,43,11,32,24,5,19
N00000009,408,97,311,38,17,21,144,29,115,112,22,90,67,19,48,47,10,37
N00000010,113,31,82,16,9,7,20,2,18,26,8,18,33,7,26,18,5,13
N00000011,130,40,90,17,11,6,26,8,18,32,7,25,29,8,21,26,6,20
N00000012,132,43,89,18,11,7,28,8,20,39,10,29,20,4,16,27,10,17
N00000013,116,25,91,15,5,10,27,5,22,23,3,20,22,1,21,29,11,18
N00000014,265,71,194,43,13,30,79,20,59,71,19,52,39,10,29,33,9,24
N00000015,85,30,55,13,8,5,12,3,9,22,8,14,18,5,13,20,6,14
N00000016,98,20,78,11,4,7,21,5,16,25,5,20,27,3,24,14,3,11
N00000017,150,50,100,26,17,9,38,11,27,33,8,25,34,9,25,19,5,14
N00000018,109,24,85,20,8,12,25,3,22,24,3,21,22,4,18,18,6,12
N00000019,116,34,82,20,6,14,20,8,12,33,10,23,22,5,17,21,5,16
N00000020,88,28,60,14,6,8,20,7,13,25,5,20,17,5,12,12,5,7
N00000021,114,27,87,16,4,12,27,3,24,35,9,26,18,6,12,18,5,13
N00000022,110,35,75,19,10,9,19,4,15,25,5,20,30,8,22,17,8,9
N00000023,88,32,56,11,10,1,25,6,19,22,7,15,18,5,13,12,4,8
N00000024,281,86,195,30,21,9,40,9,31,86,26,60,86,17,69,39,13,26
N00000025,241,67,174,31,16,15,34,6,28,39,8,31,83,17,66,54,20,34
N00000026,260,74,186,40,12,28,30,7,23,61,18,43,81,25,56,48,12,36
N00000027,257,72,185,32,18,14,65,14,51,55,16,39,59,12,47,46,12,34
N00000028,123,36,87,19,8,11,10,2,8,32,11,21,42,9,33,20,6,14
N00000029,218,70,148,33,14,19,30,5,25,52,20,32,57,15,42,46,16,30
N00000030,190,52,138,28,10,18,30,5,25,33,9,24,60,17,43,39,11,28
N00000031,338,82,256,54,22,32,72,7,65,83,21,62,81,17,64,48,15,33
N00000032,174,44,130,21,6,15,33,5,28,50,12,38,47,10,37,23,11,12
N00000033,246,54,192,28,9,19,55,10,45,62,17,45,50,10,40,51,8,43
N00000034,224,62,162,31,16,15,41,6,35,73,17,56,41,13,28,38,10,28
N00000035,120,33,87,19,8,11,38,8,30,21,6,15,22,5,17,20,6,14
N00000036,174,35,139,24,8,16,33,6,27,41,6,35,56,13,43,20,2,18
N00000037,120,39,81,16,6,10,29,8,21,25,7,18,25,6,19,25,12,13
N00000038,182,55,127,32,18,14,21,5,16,35,12,23,56,9,47,38,11,27
N00000039,590,204,386,91,53,38,152,45,107,172,54,118,115,29,86,60,23,37
N00000040,118,46,72,15,8,7,33,11,22,35,7,28,19,10,9,16,10,6
N00000041,225,59,166,34,18,16,44,10,34,73,14,59,57,12,45,17,5,12
N00000042,198,62,136,42,15,27,24,4,20,47,15,32,61,22,39,24,6,18
N00000043,547,175,372,76,45,31,119,38,81,194,61,133,122,22,100,36,9,27
N00000044,113,33,80,17,4,13,27,8,19,28,11,17,23,4,19,18,6,12
N00000045,269,67,202,22,6,16,55,12,43,86,26,60,61,10,51,45,13,32
N00000046,191,55,136,24,10,14,26,2,24,41,13,28,46,13,33,54,17,37
N00000047,184,41,143,18,9,9,23,5,18,38,10,28,55,11,44,50,6,44
N00000048,135,44,91,27,12,15,34,8,26,32,11,21,24,6,18,18,7,11
N00000049,120,36,84,18,7,11,37,10,27,22,4,18,20,6,14,23,9,14
N00000050,147,29,118,15,4,11,23,5,18,37,5,32,38,4,34,34,11,23
N00000051,110,44,66,19,9,10,30,12,18,25,12,13,16,4,12,20,7,13
N00000052,124,42,82,17,8,9,39,11,28,17,6,11,23,8,15,28,9,19
N00000053,112,37,75,19,6,13,30,11,19,31,11,20,20,5,15,12,4,8
N00000054,116,39,77,13,7,6,33,9,24,32,15,17,23,5,18,15,3,12
N00000055,113,37,76,14,9,5,21,4,17,26,8,18,27,6,21,25,10,15
N00000056,125,29,96,20,6,14,28,6,22,28,6,22,25,5,20,24,6,18
N00000057,106,40,66,12,7,5,30,7,23,30,15,15,17,5,12,17,6,11
N00000058,120,27,93,18,5,13,32,7,25,27,5,22,23,6,17,20,4,16
N00000059,99,32,67,15,7,8,32,11,21,26,6,20,13,3,10,13,5,8
N00000060,161,63,98,24,12,12,54,27,27,38,11,27,24,8,16,21,5,16
N00000061,124,40,84,8,3,5,28,9,19,23,5,18,30,6,24,35,17,18
N00000062,159,46,113,24,13,11,22,6,16,38,9,29,35,9,26,40,9,31
N00000063,146,48,98,19,14,5,38,11,27,38,13,25,37,8,29,14,2,12
N00000064,88,25,63,18,6,12,22,6,16,15,2,13,22,5,17,11,6,5
N00000065,192,57,135,31,16,15,30,6,24,41,11,30,44,13,31,46,11,35
N00000066,146,42,104,21,11,10,27,3,24,30,8,22,28,7,21,40,13,27
N00000067,111,28,83,13,3,10,32,7,25,30,10,20,21,3,18,15,5,10
N00000068,183,62,121,29,19,10,26,6,20,49,8,41,41,8,33,38,21,17
N00000069,87,36,51,21,13,8,25,6,19,21,9,12,14,7,7,6,1,5
N00000070,102,22,80,8,1,7,12,1,11,21,4,17,30,7,23,31,9,22
N00000071,123,37,86,13,7,6,33,11,22,23,6,17,28,2,26,26,11,15
N00000072,943,222,721,89,48,41,269,45,224,335,71,264,183,39,144,67,19,48
