GeographyCode,LC6502NI0001,LC6502NI0002,LC6502NI0003,LC6502NI0004,LC6502NI0005,LC6502NI0006,LC6502NI0007,LC6502NI0008,LC6502NI0009,LC6502NI0010,LC6502NI0011,LC6502NI0012,LC6502NI0013,LC6502NI0014,LC6502NI0015,LC6502NI0016,LC6502NI0017,LC6502NI0018,LC6502NI0019,LC6502NI0020,LC6502NI0021,LC6502NI0022,LC6502NI0023,LC6502NI0024,LC6502NI0025,LC6502NI0026,LC6502NI0027,LC6502NI0028,LC6502NI0029,LC6502NI0030,LC6502NI0031,LC6502NI0032,LC6502NI0033,LC6502NI0034,LC6502NI0035
N00000001,754,42,114,190,176,189,43,331,4,41,68,75,130,13,215,8,32,63,59,38,15,164,18,30,48,37,18,13,44,12,11,11,5,3,2
N00000002,249,52,24,38,25,89,21,104,6,5,11,7,73,2,45,9,8,10,7,8,3,69,29,11,9,4,4,12,31,8,0,8,7,4,4
N00000003,166,29,21,26,19,61,10,64,1,3,6,7,45,2,45,6,10,11,4,11,3,36,15,6,3,5,2,5,21,7,2,6,3,3,0
N00000004,449,94,59,79,77,114,26,117,5,6,11,21,69,5,136,30,16,23,24,32,11,130,43,28,21,19,10,9,66,16,9,24,13,3,1
N00000005,275,58,24,40,44,89,20,99,5,4,7,12,68,3,85,23,11,13,12,16,10,68,25,6,11,14,5,7,23,5,3,9,6,0,0
N00000006,174,19,18,42,22,50,23,53,0,2,4,5,37,5,55,3,9,22,5,8,8,45,8,6,10,7,5,9,21,8,1,6,5,0,1
N00000007,176,26,17,35,28,50,20,55,2,1,7,7,36,2,51,6,4,14,9,9,9,51,10,12,9,8,3,9,19,8,0,5,4,2,0
N00000008,229,41,28,30,24,80,26,79,2,8,4,4,57,4,61,10,6,14,12,13,6,67,24,8,8,6,7,14,22,5,6,4,2,3,2
N00000009,533,69,60,86,76,192,50,227,8,18,18,24,152,7,133,20,16,28,22,32,15,120,26,21,27,16,6,24,53,15,5,13,14,2,4
N00000010,172,43,24,28,17,42,18,38,1,2,6,3,25,1,55,13,10,7,7,9,9,54,23,6,10,4,4,7,25,6,6,5,3,4,1
N00000011,214,63,37,36,20,36,22,44,3,4,8,2,23,4,35,3,9,8,4,6,5,111,49,23,10,10,7,12,24,8,1,10,4,0,1
N00000012,207,67,25,32,26,33,24,35,3,4,1,11,14,2,37,8,6,9,5,6,3,119,52,13,17,9,11,17,16,4,2,5,1,2,2
N00000013,197,53,28,32,24,40,20,41,5,3,3,4,24,2,45,5,11,12,5,7,5,85,34,11,10,11,8,11,26,9,3,7,4,1,2
N00000014,359,92,58,75,35,67,32,80,3,9,14,5,47,2,69,17,12,14,12,7,7,174,60,29,40,12,10,23,36,12,8,7,6,3,0
N00000015,170,73,29,22,15,19,12,26,6,1,1,3,13,2,27,10,2,4,4,4,3,94,47,22,13,6,1,5,23,10,4,4,2,1,2
N00000016,172,48,25,36,16,23,24,30,1,2,8,3,14,2,39,9,4,11,4,6,5,87,32,15,16,6,2,16,16,6,4,1,3,1,1
N00000017,244,81,38,39,32,39,15,41,9,2,6,3,21,0,47,11,5,8,7,8,8,127,52,26,18,16,10,5,29,9,5,7,6,0,2
