ColumnVariableCode,ColumnVariableMeasurementUnit,ColumnVariableStatisticalUnit,ColumnVariableDescription
LC6603NI0001,Count,PERSONS,"All categories: Sex, All categories: NS-SeC, All categories: Economic Activity"
LC6603NI0002,Count,PERSONS,"All categories: Sex, All categories: NS-SeC, Economically active "
LC6603NI0003,Count,PERSONS,"All categories: Sex, All categories: NS-SeC, Economically inactive"
LC6603NI0004,Count,PERSONS,"All categories: Sex, Managerial, administrative and professional occupations, All categories: Economic Activity"
LC6603NI0005,Count,PERSONS,"All categories: Sex, Managerial, administrative and professional occupations, Economically active "
LC6603NI0006,Count,PERSONS,"All categories: Sex, Managerial, administrative and professional occupations, Economically inactive"
LC6603NI0007,Count,PERSONS,"All categories: Sex, Intermediate occupations and small employers, All categories: Economic Activity"
LC6603NI0008,Count,PERSONS,"All categories: Sex, Intermediate occupations and small employers, Economically active "
LC6603NI0009,Count,PERSONS,"All categories: Sex, Intermediate occupations and small employers, Economically inactive"
LC6603NI0010,Count,PERSONS,"All categories: Sex, Routine and manual occupations , All categories: Economic Activity"
LC6603NI0011,Count,PERSONS,"All categories: Sex, Routine and manual occupations , Economically active "
LC6603NI0012,Count,PERSONS,"All categories: Sex, Routine and manual occupations , Economically inactive"
LC6603NI0013,Count,PERSONS,"All categories: Sex, Never worked, long-term unemployed and full-time students, All categories: Economic Activity"
LC6603NI0014,Count,PERSONS,"All categories: Sex, Never worked, long-term unemployed and full-time students, Economically active "
LC6603NI0015,Count,PERSONS,"All categories: Sex, Never worked, long-term unemployed and full-time students, Economically inactive"
LC6603NI0016,Count,PERSONS,"Males, All categories: NS-SeC, All categories: Economic Activity"
LC6603NI0017,Count,PERSONS,"Males, All categories: NS-SeC, Economically active "
LC6603NI0018,Count,PERSONS,"Males, All categories: NS-SeC, Economically inactive"
LC6603NI0019,Count,PERSONS,"Males, Managerial, administrative and professional occupations, All categories: Economic Activity"
LC6603NI0020,Count,PERSONS,"Males, Managerial, administrative and professional occupations, Economically active "
LC6603NI0021,Count,PERSONS,"Males, Managerial, administrative and professional occupations, Economically inactive"
LC6603NI0022,Count,PERSONS,"Males, Intermediate occupations and small employers, All categories: Economic Activity"
LC6603NI0023,Count,PERSONS,"Males, Intermediate occupations and small employers, Economically active "
LC6603NI0024,Count,PERSONS,"Males, Intermediate occupations and small employers, Economically inactive"
LC6603NI0025,Count,PERSONS,"Males, Routine and manual occupations , All categories: Economic Activity"
LC6603NI0026,Count,PERSONS,"Males, Routine and manual occupations , Economically active "
LC6603NI0027,Count,PERSONS,"Males, Routine and manual occupations , Economically inactive"
LC6603NI0028,Count,PERSONS,"Males, Never worked, long-term unemployed and full-time students, All categories: Economic Activity"
LC6603NI0029,Count,PERSONS,"Males, Never worked, long-term unemployed and full-time students, Economically active "
LC6603NI0030,Count,PERSONS,"Males, Never worked, long-term unemployed and full-time students, Economically inactive"
LC6603NI0031,Count,PERSONS,"Females, All categories: NS-SeC, All categories: Economic Activity"
LC6603NI0032,Count,PERSONS,"Females, All categories: NS-SeC, Economically active "
LC6603NI0033,Count,PERSONS,"Females, All categories: NS-SeC, Economically inactive"
LC6603NI0034,Count,PERSONS,"Females, Managerial, administrative and professional occupations, All categories: Economic Activity"
LC6603NI0035,Count,PERSONS,"Females, Managerial, administrative and professional occupations, Economically active "
LC6603NI0036,Count,PERSONS,"Females, Managerial, administrative and professional occupations, Economically inactive"
LC6603NI0037,Count,PERSONS,"Females, Intermediate occupations and small employers, All categories: Economic Activity"
LC6603NI0038,Count,PERSONS,"Females, Intermediate occupations and small employers, Economically active "
LC6603NI0039,Count,PERSONS,"Females, Intermediate occupations and small employers, Economically inactive"
LC6603NI0040,Count,PERSONS,"Females, Routine and manual occupations , All categories: Economic Activity"
LC6603NI0041,Count,PERSONS,"Females, Routine and manual occupations , Economically active "
LC6603NI0042,Count,PERSONS,"Females, Routine and manual occupations , Economically inactive"
LC6603NI0043,Count,PERSONS,"Females, Never worked, long-term unemployed and full-time students, All categories: Economic Activity"
LC6603NI0044,Count,PERSONS,"Females, Never worked, long-term unemployed and full-time students, Economically active "
LC6603NI0045,Count,PERSONS,"Females, Never worked, long-term unemployed and full-time students, Economically inactive"
